config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,20.0,-525.8856201171875,-525.8800048828125,0.005615234375,3.153085708618164e-05,0.005615234375,0.00018915720283985138,1.9420684111537412e-05,0.00020857788331340998
1,20.0,-525.8223876953125,-525.8074340820312,0.01495361328125,0.0002236105501651764,0.01495361328125,0.0001956694759428501,6.762948032701388e-05,0.0002632989489939064
2,22.0,-613.390625,-613.3871459960938,0.00347900390625,1.2103468179702759e-05,0.00347900390625,0.0001560521632200107,5.852468166267499e-05,0.00021457683760672808
3,23.0,-675.6206665039062,-675.6094970703125,0.01116943359375,0.00012475624680519104,0.01116943359375,0.00019469238759484142,7.344000187003985e-05,0.0002681323967408389
4,23.0,-675.6397705078125,-675.6547241210938,-0.01495361328125,0.0002236105501651764,0.01495361328125,0.00016483238141518086,8.79677027114667e-05,0.0002528000914026052
5,24.0,-732.7080078125,-732.7091674804688,-0.00115966796875,1.344829797744751e-06,0.00115966796875,0.00015363542479462922,2.7119740479975007e-05,0.000180755159817636
6,21.0,-598.203369140625,-598.2213134765625,-0.0179443359375,0.000321999192237854,0.0179443359375,0.00022952114522922784,6.571281846845523e-05,0.0002952339709736407
7,22.0,-663.9970703125,-663.9880981445312,0.00897216796875,8.04997980594635e-05,0.00897216796875,0.000150212537846528,2.2592395907850005e-05,0.0001728049392113462
8,22.0,-664.012939453125,-664.0104370117188,0.00250244140625,6.2622129917144775e-06,0.00250244140625,0.00015618681209161878,4.482921212911606e-05,0.00020101602422073483
9,22.0,-664.0593872070312,-664.05859375,0.00079345703125,6.295740604400635e-07,0.00079345703125,0.00016423843044321984,3.2678617571946234e-05,0.00019691704073920846
10,23.0,-724.0663452148438,-724.0565795898438,0.009765625,9.5367431640625e-05,0.009765625,0.00014636533160228282,6.030388249200769e-05,0.0002066692104563117
11,22.0,-546.4611206054688,-546.4617309570312,-0.0006103515625,3.725290298461914e-07,0.0006103515625,0.000202802344574593,4.2634084820747375e-05,0.0002454364439472556
12,24.0,-671.345703125,-671.3434448242188,0.00225830078125,5.09992241859436e-06,0.00225830078125,0.00014178722631186247,9.017829142976552e-05,0.000231965517741628
13,24.0,-624.9403686523438,-624.9337158203125,0.00665283203125,4.4260174036026e-05,0.00665283203125,0.00015892114606685936,6.386022869264707e-05,0.00022278138203546405
14,24.0,-624.9721069335938,-624.9677124023438,0.00439453125,1.9311904907226562e-05,0.00439453125,0.00020964797295164317,6.31403163424693e-05,0.00027278828201815486
15,24.0,-624.9995727539062,-624.9892578125,0.01031494140625,0.00010639801621437073,0.01031494140625,0.0001550335146021098,4.668254405260086e-05,0.00020171605865471065
