config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,48.0,-156.2294464111328,-156.23114013671875,-0.0016937255859375,2.8687063604593277e-06,0.0016937255859375,5.049430183134973e-05,2.27498821914196e-06,5.276929005049169e-05
1,48.0,-156.23074340820312,-156.23313903808594,-0.0023956298828125,5.7390425354242325e-06,0.0023956298828125,3.549777829903178e-05,1.2272154208403663e-06,3.6724992241943255e-05
2,48.0,-156.2325439453125,-156.23574829101562,-0.003204345703125,1.026783138513565e-05,0.003204345703125,3.4241602406837046e-05,9.572249837219715e-07,3.519882739055902e-05
3,48.0,-156.2357635498047,-156.23878479003906,-0.003021240234375,9.127892553806305e-06,0.003021240234375,3.899324292433448e-05,2.8511742584669264e-06,4.1844417864922434e-05
4,48.0,-156.2245330810547,-156.2280731201172,-0.0035400390625,1.2531876564025879e-05,0.0035400390625,3.724684574990533e-05,2.399645836703712e-06,3.96464929508511e-05
5,48.0,-156.2265625,-156.2295379638672,-0.0029754638671875,8.853385224938393e-06,0.0029754638671875,3.8619193219346926e-05,6.67195990899927e-06,4.529115176410414e-05
6,48.0,-156.22779846191406,-156.2300262451172,-0.002227783203125,4.963018000125885e-06,0.002227783203125,5.1904236897826195e-05,2.24248515223735e-06,5.41467234143056e-05
7,48.0,-156.2367706298828,-156.2332763671875,0.0034942626953125,1.2209871783852577e-05,0.0034942626953125,3.7222100218059495e-05,4.257354703440797e-06,4.1479455830994993e-05
8,48.0,-156.22869873046875,-156.2300262451172,-0.0013275146484375,1.7622951418161392e-06,0.0013275146484375,4.420285040396266e-05,2.2573863134311978e-06,4.646023808163591e-05
9,48.0,-156.23988342285156,-156.23309326171875,0.0067901611328125,4.610628820955753e-05,0.0067901611328125,3.6589593946700916e-05,1.8783845234793262e-06,3.846797699225135e-05
10,48.0,-156.22142028808594,-156.23106384277344,-0.0096435546875,9.299814701080322e-05,0.0096435546875,4.2132462112931535e-05,3.91367348129279e-06,4.604613422998227e-05
11,48.0,-156.22901916503906,-156.22817993164062,0.0008392333984375,7.043126970529556e-07,0.0008392333984375,4.144525155425072e-05,3.1895585834718077e-06,4.46348094556015e-05
12,48.0,-156.2252960205078,-156.23106384277344,-0.005767822265625,3.326777368783951e-05,0.005767822265625,3.834289236692712e-05,2.9922928206360666e-06,4.133518450544216e-05
13,48.0,-156.23199462890625,-156.23501586914062,-0.003021240234375,9.127892553806305e-06,0.003021240234375,3.661756272776984e-05,8.479808570882597e-07,3.746554284589365e-05
14,48.0,-156.2285614013672,-156.2305145263672,-0.001953125,3.814697265625e-06,0.001953125,4.2388895963085815e-05,2.477958332747221e-06,4.4866854295833036e-05
15,48.0,-156.23141479492188,-156.23402404785156,-0.0026092529296875,6.808200851082802e-06,0.0026092529296875,3.956259024562314e-05,3.20173558066017e-06,4.276432446204126e-05
16,48.0,-156.2326202392578,-156.23472595214844,-0.002105712890625,4.434026777744293e-06,0.002105712890625,3.231971641071141e-05,6.4389196268166415e-06,3.875863694702275e-05
17,48.0,-156.2386932373047,-156.23377990722656,0.004913330078125,2.414081245660782e-05,0.004913330078125,4.088427886017598e-05,3.0776368475926574e-06,4.396191434352659e-05
18,48.0,-156.2305450439453,-156.23532104492188,-0.0047760009765625,2.2810185328125954e-05,0.0047760009765625,5.548974149860442e-05,3.634602762758732e-06,5.912434426136315e-05
19,48.0,-156.22665405273438,-156.227783203125,-0.001129150390625,1.27498060464859e-06,0.001129150390625,4.654924850910902e-05,4.436774361238349e-06,5.098602196085267e-05
