epoch,au_var,eu_var,tu_var,rmse_energy
0,0.01241253412119113,0.0030108429060317576,0.01542337702671066,0.08942775689438101
10,0.003200968329323223,0.0012940002066876332,0.004494968547101599,0.02600656744347213
20,0.0018123350530921017,0.0007577717313535686,0.0025701067728572525,0.01805638435866872
30,0.0012842733861281885,0.0003885958413367916,0.0016728692312608473,0.015349872539468977
40,0.000643754829725367,0.0003184085302582389,0.0009621633599759662,0.012423987405805716
50,0.0011651702182527515,0.0004347160171477299,0.0015998862373104202,0.010400012826549863
60,0.002140660073379695,0.0002942492362402845,0.0024349093093624105,0.00964727983595322
70,0.00046517884476998005,0.0003157186868668759,0.0007808975295803976,0.008820246793368744
80,0.00021486572799040004,0.0001357374175008772,0.00035060314568545437,0.0066637897962526504
90,0.0002145385886564327,0.00011046367055269002,0.0003250022594816983,0.005854856330230649
100,0.00016599102411128116,0.00013569685479433247,0.0003016878786067537,0.005757509912830622
110,0.0001507589491069666,0.00011422914810427756,0.0002649880977427529,0.004960449135576907
120,0.00014570028059933976,9.235556842286315e-05,0.00023805584915389773,0.0045245263503393566
130,0.000101168908607724,7.841507512166572e-05,0.00017958398392802337,0.004189537432073512
140,0.00014413418469412135,8.259814190723774e-05,0.00022673232632005238,0.004609487540277457
150,7.691966627044166e-05,5.311856839280154e-05,0.000130038234672611,0.0036785208830462167
160,0.00010313787049326493,5.2139531902639646e-05,0.000155277402131469,0.0032051378415418304
170,6.562897311287088e-05,5.712322433923873e-05,0.00012275219739967723,0.003256467915663988
180,8.143204760071967e-05,4.3153312698768787e-05,0.00012458536070880655,0.003267213909420072
190,0.00010280298571287859,5.5295354166719333e-05,0.00015809833957464435,0.0034262473937568855
200,5.539495186367276e-05,4.946360014091624e-05,0.00010485855234383052,0.002896382391144489
210,4.522249610627114e-05,3.863679773894546e-05,8.385929379601293e-05,0.002695187344616919
220,3.745156852237415e-05,2.6780127700521918e-05,6.423169614627114e-05,0.0025076312143691294
230,4.2205578560697174e-05,2.5399159963626518e-05,6.760473857684702e-05,0.0023246820673236165
240,3.312805115983792e-05,2.608872596082392e-05,5.921677707592608e-05,0.0024367061768158804
250,3.202408609467966e-05,1.7307749184419663e-05,4.933183540651953e-05,0.00214006020715769
260,2.7499873576743995e-05,2.5990035616746355e-05,5.348990917564151e-05,0.002289326054532542
270,3.701662828252665e-05,2.9470329367552496e-05,6.648695784861047e-05,0.0026774243631657734
280,2.1760052401668872e-05,1.4869253693109385e-05,3.6629306067879955e-05,0.0021472154956703082
290,2.141527322487491e-05,1.5520721825498642e-05,3.6935995078601994e-05,0.0018929627281648934
