config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,48.0,-156.23062133789062,-156.22996520996094,0.0006561279296875,4.3050386011600494e-07,0.0006561279296875,5.060823241365142e-05,2.0957552351319464e-06,5.2703988330904394e-05
1,48.0,-156.2349090576172,-156.2327117919922,0.002197265625,4.827976226806641e-06,0.002197265625,4.8884772695600986e-05,2.9850866667402443e-06,5.186985799809918e-05
2,48.0,-156.23313903808594,-156.2346649169922,-0.00152587890625,2.3283064365386963e-06,0.00152587890625,4.599394742399454e-05,5.827983841300011e-06,5.182193126529455e-05
3,48.0,-156.24095153808594,-156.2346649169922,0.00628662109375,3.9521604776382446e-05,0.00628662109375,5.620384035864845e-05,2.820778263412649e-06,5.902461998630315e-05
4,48.0,-156.2333221435547,-156.23240661621094,0.00091552734375,8.381903171539307e-07,0.00091552734375,3.861839650198817e-05,3.682984925035271e-06,4.230138074490242e-05
5,48.0,-156.24618530273438,-156.2369384765625,0.009246826171875,8.550379425287247e-05,0.009246826171875,4.131101741222665e-05,3.8249650060606655e-06,4.513598105404526e-05
6,48.0,-156.2266082763672,-156.2254180908203,0.001190185546875,1.4165416359901428e-06,0.001190185546875,4.3752803321694955e-05,1.0491372449905612e-05,5.424417759058997e-05
7,48.0,-156.23440551757812,-156.22560119628906,0.0088043212890625,7.751607336103916e-05,0.0088043212890625,5.8150773838860914e-05,6.231397946976358e-06,6.438216951210052e-05
8,48.0,-156.1923370361328,-156.2194061279297,-0.027069091796875,0.0007327357307076454,0.027069091796875,0.00010318287968402728,4.625250767276157e-06,0.00010780813317978755
9,48.0,-156.22206115722656,-156.2278594970703,-0.00579833984375,3.3620744943618774e-05,0.00579833984375,5.8721321693155915e-05,2.637470515765017e-06,6.135879084467888e-05
10,48.0,-156.2303924560547,-156.2266387939453,0.003753662109375,1.4089979231357574e-05,0.003753662109375,4.953819006914273e-05,4.736415576189756e-06,5.4274605645332485e-05
11,48.0,-156.22901916503906,-156.22613525390625,0.0028839111328125,8.316943421959877e-06,0.0028839111328125,5.907521699555218e-05,4.595180598698789e-06,6.367039895849302e-05
12,48.0,-156.23410034179688,-156.2294158935547,0.0046844482421875,2.194405533373356e-05,0.0046844482421875,5.7349156122654676e-05,3.70474299415946e-06,6.105389911681414e-05
13,48.0,-156.23240661621094,-156.2256317138672,0.00677490234375,4.589930176734924e-05,0.00677490234375,6.918102008057758e-05,3.154459363940987e-06,7.233548240037635e-05
14,48.0,-156.22779846191406,-156.22557067871094,0.002227783203125,4.963018000125885e-06,0.002227783203125,5.216188219492324e-05,3.953080067731207e-06,5.611496089841239e-05
15,48.0,-156.23890686035156,-156.23403930664062,0.0048675537109375,2.3693079128861427e-05,0.0048675537109375,4.382780389278196e-05,3.129581500616041e-06,4.6957386075519025e-05
16,48.0,-156.21627807617188,-156.22337341308594,-0.0070953369140625,5.034380592405796e-05,0.0070953369140625,7.08968800609e-05,3.858026957459515e-06,7.475490565411747e-05
17,48.0,-156.2293701171875,-156.23411560058594,-0.0047454833984375,2.2519612684845924e-05,0.0047454833984375,5.340939969755709e-05,2.505304337319103e-06,5.591470471699722e-05
18,48.0,-156.23841857910156,-156.23146057128906,0.0069580078125,4.8413872718811035e-05,0.0069580078125,4.6673671022290364e-05,3.929226750187809e-06,5.0602899136720225e-05
19,48.0,-156.2307586669922,-156.23130798339844,-0.00054931640625,3.0174851417541504e-07,0.00054931640625,6.14658129052259e-05,7.3109054028464016e-06,6.877671694383025e-05
20,48.0,-156.22181701660156,-156.21658325195312,0.0052337646484375,2.7392292395234108e-05,0.0052337646484375,5.5277680075960234e-05,3.4223892271256773e-06,5.8700068620964885e-05
21,48.0,-156.2390594482422,-156.23619079589844,0.00286865234375,8.229166269302368e-06,0.00286865234375,5.918398892390542e-05,2.48404694502824e-06,6.16680335951969e-05
22,48.0,-156.24549865722656,-156.23504638671875,0.0104522705078125,0.00010924995876848698,0.0104522705078125,6.131541158538312e-05,5.479657374962699e-06,6.679506623186171e-05
23,48.0,-156.22891235351562,-156.2305145263672,-0.0016021728515625,2.5669578462839127e-06,0.0016021728515625,5.55525730305817e-05,3.6477345020102803e-06,5.920030889683403e-05
24,48.0,-156.242431640625,-156.23739624023438,0.005035400390625,2.5355257093906403e-05,0.005035400390625,4.7178858949337155e-05,2.871802962545189e-06,5.005066122976132e-05
25,48.0,-156.2203826904297,-156.22071838378906,-0.000335693359375,1.126900315284729e-07,0.000335693359375,6.25613538431935e-05,5.907518698222702e-06,6.846887117717415e-05
26,48.0,-156.23741149902344,-156.2303009033203,0.007110595703125,5.056057125329971e-05,0.007110595703125,5.291628258419223e-05,3.2850541629159125e-06,5.620133742922917e-05
27,48.0,-156.23316955566406,-156.2254638671875,0.0077056884765625,5.93776348978281e-05,0.0077056884765625,5.187324131838977e-05,1.9050087303185137e-06,5.3778250730829313e-05
28,48.0,-156.23916625976562,-156.23033142089844,0.0088348388671875,7.805437780916691e-05,0.0088348388671875,5.4323190852301195e-05,4.622503183782101e-06,5.8945694036083296e-05
29,48.0,-156.2294464111328,-156.2277069091797,0.001739501953125,3.0258670449256897e-06,0.001739501953125,5.8191562857246026e-05,2.4159903659892734e-06,6.060755185899325e-05
30,48.0,-156.2317352294922,-156.23085021972656,0.000885009765625,7.832422852516174e-07,0.000885009765625,4.467187318368815e-05,2.8685549295914825e-06,4.754042674903758e-05
31,48.0,-156.23265075683594,-156.2235870361328,0.009063720703125,8.215103298425674e-05,0.009063720703125,7.17527000233531e-05,2.946134145531687e-06,7.469883712474257e-05
32,48.0,-156.23141479492188,-156.23025512695312,0.00115966796875,1.344829797744751e-06,0.00115966796875,4.533299579634331e-05,2.218794634245569e-06,4.755179179483093e-05
33,48.0,-156.2305145263672,-156.22764587402344,0.00286865234375,8.229166269302368e-06,0.00286865234375,5.44627255294472e-05,2.945296046164003e-06,5.740802225773223e-05
34,48.0,-156.232421875,-156.2245635986328,0.0078582763671875,6.175250746309757e-05,0.0078582763671875,4.359304148238152e-05,4.7441571950912476e-06,4.833719867747277e-05
35,48.0,-156.2393035888672,-156.22792053222656,0.011383056640625,0.0001295739784836769,0.011383056640625,6.0245180065976456e-05,4.5067981773172505e-06,6.4751977333799e-05
36,48.0,-156.2299041748047,-156.2242889404297,0.005615234375,3.153085708618164e-05,0.005615234375,7.202554115792736e-05,2.906180498030153e-06,7.493171870009974e-05
37,48.0,-156.2252960205078,-156.2241668701172,0.001129150390625,1.27498060464859e-06,0.001129150390625,5.204924309509806e-05,6.7067912823404185e-06,5.8756035286933184e-05
38,48.0,-156.2206573486328,-156.2231903076172,-0.002532958984375,6.4158812165260315e-06,0.002532958984375,6.42541199340485e-05,3.1981151096260874e-06,6.745223799953237e-05
39,48.0,-156.2242889404297,-156.22314453125,0.0011444091796875,1.3096723705530167e-06,0.0011444091796875,5.243106352281757e-05,3.923533768102061e-06,5.635459820041433e-05
40,48.0,-156.2285919189453,-156.22662353515625,0.0019683837890625,3.8745347410440445e-06,0.0019683837890625,5.307318133418448e-05,4.23346637035138e-06,5.730664634029381e-05
41,48.0,-156.2290802001953,-156.22232055664062,0.0067596435546875,4.569278098642826e-05,0.0067596435546875,6.475245754700154e-05,4.228274519846309e-06,6.898073479533195e-05
42,48.0,-156.2344970703125,-156.22900390625,0.0054931640625,3.0174851417541504e-05,0.0054931640625,5.613714529317804e-05,3.873754849337274e-06,6.0010901506757364e-05
43,48.0,-156.2217559814453,-156.22671508789062,-0.0049591064453125,2.459273673593998e-05,0.0049591064453125,4.606443326338194e-05,4.755519512400497e-06,5.081995186628774e-05
44,48.0,-156.22752380371094,-156.2238006591797,0.00372314453125,1.3861805200576782e-05,0.00372314453125,6.213090819073841e-05,3.495556256893906e-06,6.56264674034901e-05
45,48.0,-156.23526000976562,-156.22813415527344,0.0071258544921875,5.0777802243828773e-05,0.0071258544921875,4.901385909761302e-05,4.949688445776701e-06,5.396354754338972e-05
46,48.0,-156.2292938232422,-156.2230682373047,0.0062255859375,3.8757920265197754e-05,0.0062255859375,7.023999933153391e-05,2.6330351374781458e-06,7.287303742486984e-05
47,48.0,-156.2368621826172,-156.23104858398438,0.0058135986328125,3.379792906343937e-05,0.0058135986328125,6.168551044538617e-05,4.180544237897266e-06,6.586605741176754e-05
48,48.0,-156.24191284179688,-156.23104858398438,0.0108642578125,0.00011803209781646729,0.0108642578125,6.291719910223037e-05,1.7673243064564303e-06,6.468452193075791e-05
49,48.0,-156.2327117919922,-156.23265075683594,6.103515625e-05,3.725290298461914e-09,6.103515625e-05,6.17092227912508e-05,2.1041719264758285e-06,6.381339335348457e-05
50,48.0,-156.2253875732422,-156.22654724121094,-0.00115966796875,1.344829797744751e-06,0.00115966796875,4.504734170041047e-05,8.590961442678235e-06,5.36383013240993e-05
51,48.0,-156.2367401123047,-156.2310028076172,0.0057373046875,3.291666507720947e-05,0.0057373046875,6.480701267719269e-05,4.512921350396937e-06,6.931993266334757e-05
52,48.0,-156.23167419433594,-156.22718811035156,0.004486083984375,2.0124949514865875e-05,0.004486083984375,6.9299632741604e-05,2.639868853293592e-06,7.193950295913965e-05
53,48.0,-156.233154296875,-156.226318359375,0.0068359375,4.673004150390625e-05,0.0068359375,5.2808114560320973e-05,3.043585365958279e-06,5.58516985620372e-05
54,48.0,-156.235595703125,-156.22793579101562,0.007659912109375,5.867425352334976e-05,0.007659912109375,4.94279338454362e-05,2.2387364424503176e-06,5.166666960576549e-05
55,48.0,-156.23927307128906,-156.23123168945312,0.0080413818359375,6.466382183134556e-05,0.0080413818359375,6.283381662797183e-05,2.6221503048873274e-06,6.545596988871694e-05
56,48.0,-156.2367706298828,-156.226806640625,0.0099639892578125,9.92810819298029e-05,0.0099639892578125,5.14360835950356e-05,5.843862709298264e-06,5.7279947213828564e-05
57,48.0,-156.2281036376953,-156.2262725830078,0.0018310546875,3.3527612686157227e-06,0.0018310546875,5.861662430106662e-05,1.4006276387590333e-06,6.0017253417754546e-05
58,48.0,-156.2305450439453,-156.22781372070312,0.0027313232421875,7.460126653313637e-06,0.0027313232421875,5.07833574374672e-05,3.9707983887637965e-06,5.47541567357257e-05
59,48.0,-156.22607421875,-156.2223663330078,0.0037078857421875,1.3748416677117348e-05,0.0037078857421875,5.718332249671221e-05,4.048727078043157e-06,6.123205093899742e-05
60,48.0,-156.2289276123047,-156.23365783691406,-0.004730224609375,2.237502485513687e-05,0.004730224609375,4.42999298684299e-05,3.5776756703853607e-06,4.787760553881526e-05
61,48.0,-156.23031616210938,-156.22573852539062,0.00457763671875,2.0954757928848267e-05,0.00457763671875,5.954040170763619e-05,2.6878783501160797e-06,6.222828233148903e-05
62,48.0,-156.2252960205078,-156.2296600341797,-0.004364013671875,1.904461532831192e-05,0.004364013671875,5.038613380747847e-05,7.778580766171217e-06,5.816471457364969e-05
63,48.0,-156.22171020507812,-156.2232666015625,-0.001556396484375,2.4223700165748596e-06,0.001556396484375,5.2973820857005194e-05,4.889559932053089e-06,5.786338078905828e-05
64,48.0,-156.23988342285156,-156.23110961914062,0.0087738037109375,7.697963155806065e-05,0.0087738037109375,4.355488999863155e-05,4.030019226775039e-06,4.758490831591189e-05
65,48.0,-156.22389221191406,-156.22573852539062,-0.0018463134765625,3.4088734537363052e-06,0.0018463134765625,5.1801976951537654e-05,4.50066272605909e-06,5.6302640587091446e-05
66,48.0,-156.2171630859375,-156.22476196289062,-0.007598876953125,5.7742930948734283e-05,0.007598876953125,5.905243961024098e-05,6.5583503783273045e-06,6.561078771483153e-05
67,48.0,-156.2386932373047,-156.234130859375,0.0045623779296875,2.08152923732996e-05,0.0045623779296875,4.9521244363859296e-05,1.894961997095379e-06,5.141620567883365e-05
68,48.0,-156.2250518798828,-156.2203826904297,0.004669189453125,2.1801330149173737e-05,0.004669189453125,5.847354987054132e-05,5.023996436648304e-06,6.349754403345287e-05
69,48.0,-156.24012756347656,-156.2303009033203,0.00982666015625,9.656324982643127e-05,0.00982666015625,4.490401624934748e-05,4.025979251309764e-06,4.8929996410151944e-05
70,48.0,-156.22914123535156,-156.2246856689453,0.00445556640625,1.985207200050354e-05,0.00445556640625,5.5329765018541366e-05,2.1559885681199376e-06,5.7485754950903356e-05
71,48.0,-156.2285614013672,-156.22457885742188,0.0039825439453125,1.5860656276345253e-05,0.0039825439453125,5.187041824683547e-05,3.977818323619431e-06,5.584823520621285e-05
