epoch,train_loss,val_loss,train_rmse_e_atom,val_rmse_e_atom
0,-3.6649903785943985,-3.4374915591478348,0.008451538077672828,0.009635412424533358
5,-4.411356069421768,-3.8148603377342223,0.0025314097251065318,0.007260529554135731
10,-4.798336412000656,-3.8630431661605833,0.001796968304761659,0.007116175218400636
15,-5.035601397204399,-3.8538723022937775,0.0015147008935980752,0.007125020339794574
20,-5.224234057664871,-3.855820249080658,0.0012802158942192025,0.007049845305797548
25,-5.364540546607971,-3.858772630929947,0.0011574840259247913,0.007046407878115176
30,-5.498337889051437,-3.8532563337087633,0.0011273406088184524,0.0070282538971248145
35,-5.587085565161705,-3.851616105556488,0.001070008610652877,0.007032476689038661
40,-5.672789093971253,-3.8409188684225084,0.0010169124237921852,0.006987766008056508
45,-5.692248978447914,-3.838098244309425,0.000995553000780861,0.00696083540097679
50,-5.753293877482414,-3.837007500886917,0.0009712347852360254,0.006961917381162758
55,-5.92087369902134,-3.8221789398193358,0.0009407521751601304,0.006995487460026848
60,-5.97120404317379,-3.8352359679937362,0.0009176827299645139,0.006960741275800245
65,-5.989215478134155,-3.8349839054346084,0.0009129462925820577,0.0069841406114023235
70,-5.992520402765274,-3.831667913556099,0.0009123676453094184,0.0069512093107025235
75,-6.107613472557068,-3.825944273352623,0.0008948252717357161,0.006937485260990741
80,-6.100082570886612,-3.8208611929416656,0.0008810463916148683,0.006968584487963796
85,-6.063909777331352,-3.8189873410463333,0.0008811201451804784,0.006920846046711289
90,-6.162942069983482,-3.817997459053993,0.0008651973176085835,0.006937699042828532
95,-6.133300394082069,-3.79949217236042,0.0008712069187722424,0.006961610697829311
