epoch,train_loss,val_loss,train_rmse_e_atom,val_rmse_e_atom
0,-0.7480504291653634,-0.7659991766810417,0.11009560167151825,0.1032971645918667
5,-1.3776359419941901,-1.3661896052956581,0.05806715676005183,0.05598814806674148
10,-1.8750806402087212,-1.8456538895964623,0.038928284264937725,0.03777734227952608
15,-2.1670158277511598,-2.112646360933781,0.03220871422070665,0.03149756303570436
20,-2.228558048093319,-2.165095347225666,0.030752892253481424,0.02997095578781055
25,-2.2423936445355417,-2.1723664730191232,0.03078377352166658,0.030513793207061768
30,-2.3851118335843084,-2.294289841532707,0.026649842210322044,0.02670472357359108
35,-2.49813367382288,-2.3711821576952934,0.028670833771590895,0.02861018507890433
40,-2.509725653219223,-2.387820819854736,0.024368987511064154,0.024714328763405288
45,-2.7196598792791367,-2.528124085068703,0.023107509118865728,0.023864973418379933
50,-2.6572787095189097,-2.4732360928058625,0.023919697228355866,0.024792379212841803
55,-2.718021459567547,-2.522694327533245,0.380478634743214,0.02383540834151622
60,-2.7711011725187302,-2.5589460273981093,0.022082130761886455,0.023054592837571095
65,-2.8869477645754813,-2.60052683365345,0.02149518791890033,0.022758621455821252
70,-2.868887687599659,-2.5846825483441354,0.02788287069595043,0.027454163213796394
75,-2.9352164179682734,-2.6201806840896604,0.02060204991796373,0.022148417477245465
80,-3.0210924093723297,-2.6793383320569992,0.02032885453804851,0.021790961452308067
85,-2.9169634875416754,-2.6117072962522507,0.02152833171159802,0.02322529377669551
90,-3.0312230018854143,-2.6696680903434755,0.020493328223571885,0.021797836122934174
95,-3.0759855550646784,-2.6797071531414987,0.020227874078381072,0.022531820113777162
100,-3.0773443333625794,-2.6832929839491846,0.019752248569829982,0.021790725313047658
105,-3.1245442021250724,-2.6990392978191378,0.020152657424563715,0.021410355836565788
110,-3.036871801233292,-2.6679074637889864,0.01924817342271434,0.021523031332160995
115,-3.1982169399499893,-2.6978101040124893,0.018909338413642694,0.021544235824266175
120,-3.2068936878323555,-2.7054209731817247,0.019198690187167525,0.02177605096974129
125,-3.27191126152277,-2.6797788473963737,0.018545390595734398,0.02134585160574562
130,-3.338059205317497,-2.7418429799079895,0.017770163897453405,0.020836639345632863
135,-3.275859994375706,-2.722354394555092,0.01815050062986506,0.021286687915380798
140,-3.4353796965479853,-2.7530742388367653,0.018009989864383513,0.020941824906705354
145,-3.39205697606802,-2.7187157694101334,0.018750408679760112,0.021280764643601947
150,-3.4263688354849817,-2.7650039158463477,0.018091684627092087,0.020975092614609725
155,-3.3910366614222527,-2.7430228443741798,0.01767216539413113,0.020799407874468923
160,-3.537284766960144,-2.7627791909575463,0.017658520839726542,0.020884800571609338
165,-3.6089917426705362,-2.7574111265540124,0.017517249016919166,0.020740755852540406
170,-3.674737246441841,-2.746524014830589,0.017316795838517265,0.020729761380826068
175,-3.5775604322314263,-2.7357982184886933,0.017729855664749952,0.020564315868308744
180,-3.606785329055786,-2.7465858165621757,0.01733128988653765,0.020606400143332638
185,-3.5937546501874924,-2.7600581433176994,0.01735599132002683,0.020661803007761794
190,-3.65940499958992,-2.746630394399166,0.017297714795166487,0.020707941282309832
195,-3.648615743112564,-2.7332166915535927,0.01713992973749064,0.02052468087503506
200,-3.831449113702774,-2.740974412739277,0.017218149100162713,0.020489351415777162
205,-3.821508323931694,-2.6830567097067832,0.01722645096461634,0.020459363337537204
210,-3.782708887779713,-2.726011960506439,0.01727457376530604,0.020597078662697967
215,-3.755880173611641,-2.6940684516429902,0.01723594285248006,0.02075473811591364
220,-3.906209867346287,-2.6641727232933046,0.01683282901473985,0.020466797117627705
225,-3.8323355378389357,-2.6938930369615557,0.017080540203672962,0.020649965753128934
230,-3.7956303938746454,-2.72486634850502,0.01685891999045214,0.020670043565575197
235,-3.967149685192108,-2.6231666288375854,0.01676038444034786,0.02040749660301776
240,-3.923593005859852,-2.65384501349926,0.0760469092385805,0.020457097224826058
245,-4.009829423677921,-2.6710459285378456,0.017176037420475444,0.020399779945873213
250,-3.968504705917835,-2.6966167234182357,0.01662660384570273,0.020343056886751164
255,-4.035751552855968,-2.6417763332128525,0.017124668636192074,0.020606593964575072
260,-4.016087042081356,-2.6631758562326433,0.01720630798351508,0.020487987978275425
265,-4.042863728773594,-2.6505295453071596,0.016906195403930204,0.02053034786855396
270,-4.109946033358574,-2.607636621057987,0.017159365036312744,0.020505384914585655
275,-4.173442921066284,-2.607259205520153,0.016897389651090115,0.020475740171895837
280,-4.225168587684632,-2.6252603714466094,0.016771998565664033,0.02039287015367681
285,-4.190899885272979,-2.6236000915765763,0.016536863924982294,0.020256227579366667
290,-4.213011429941655,-2.6356712763309478,0.016329813395365197,0.02017191470990494
295,-4.266745660150051,-2.580348793745041,0.01636875943940667,0.020350088704061436
