epoch,au_var,eu_var,tu_var,rmse_energy
0,0.001080305597446022,8.069814763600789e-05,0.0011610037408712741,0.015297066234310408
10,0.00016850205559414916,1.0767292974099974e-05,0.0001792693484795109,0.01078400873525241
20,0.00015893781298567547,9.308869513668582e-06,0.00016824668128610938,0.01060395329407071
30,0.00015527712600376162,8.038300863344715e-06,0.00016331542929044646,0.01048579607233897
40,0.00014957041760986273,7.53400370330084e-06,0.00015710442003771731,0.010428216219649677
50,0.00014628145771037565,7.391210554256134e-06,0.00015367267229000846,0.010361080526257286
60,0.0001410396875098172,6.742052400329612e-06,0.00014778173864203267,0.010352414318790887
70,0.00014034767449223865,6.550913495047439e-06,0.00014689858923293855,0.010286945758258613
80,0.00013716000805789007,6.382790975175467e-06,0.0001435427995197216,0.01031786700862381
90,0.00013673760348758039,6.321459740425795e-06,0.00014305906139750276,0.01026930955895678
