phase,source_epoch,epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
pretrain,0,0,0.2579618754197952,0.31011024103539075,0.26613742383413996,0.48536300679256755,0.2743042099268808,0.4505823327420173,0.10909600582106238,0.15330577363924183,0.11593665418908258,158.77018140118398,721.6795203167464,122.45073220330956,0.011191120549035259,0.0029103111221527797,0.014101431652880273,0.9314569994192669,61.29459288725853
pretrain,5,5,0.14813097115604612,0.14407726824221506,0.14771841326339472,0.4023703371841354,0.3119523251732265,0.38593160166375956,0.11771035760797371,0.13508584494524223,0.11993361375356433,1737.9327716487232,5176.124777715671,1236.6420745536225,0.0031773880737135185,0.0008332886963198689,0.004010676796014013,0.9181748805290233,626.4057976647854
pretrain,10,10,0.1345593877829081,0.13582694306717524,0.13523589665982647,0.38193514832765774,0.3371891300630241,0.38315338006612415,0.12103413260303465,0.1291697362330949,0.11916914709930745,2672.783771346585,6659.759420882966,1794.213481410097,0.0038455137363780523,0.0009357191370934743,0.004781232867750805,0.9217142788692411,908.1478703112125
pretrain,15,15,0.19926168261081784,0.13663224379171027,0.2038548067844244,0.3766027813820018,0.3783058486195713,0.3943357458458545,0.11967580871513278,0.12826626809848168,0.1154400828311076,3666.9021146616224,10361.498005652034,2547.504833666752,0.0010268920354283182,0.00022599060342040503,0.0012528826369918534,0.9216385776375451,1286.7576673107146
pretrain,20,20,0.12768123377735166,0.0357466846182808,0.0757771715900286,0.34105978326101904,0.298421544565916,0.3355351335557076,0.12541473042093793,0.14032789537673135,0.12648340063134655,4022.2265757935115,9196.879904870373,2643.8720476855574,0.001604186696090619,0.0009038604838863648,0.0025080471897315874,0.919683808267626,1338.557408914566
pretrain,25,25,0.1855360567135197,0.1446227600458043,0.1930193176714305,0.3536732938114187,0.25779744624180906,0.3315730081204901,0.12298967521537596,0.14965487889493923,0.12767675810588935,5160.738972129258,12053.087580739773,3407.576057595375,0.0007956828473699715,0.0002150616050705594,0.0010107444528723135,0.925383616439024,1725.2473049413682
pretrain,30,30,0.13088391378044803,0.10019029350601767,0.12743177544690162,0.33043110494945116,0.3345016289819926,0.3413998290970828,0.1257593850477073,0.1356503643162757,0.12602206308966474,5268.9878320177795,11458.502346131554,3383.2009507368352,0.0031186249585211045,0.001137160085567939,0.004255785002381163,0.9197478085970299,1712.1302539630651
pretrain,35,35,0.17252899848319034,0.16652818501610733,0.17431737752235338,0.3278532722143009,0.288559271105173,0.3264712231937367,0.12625203417580813,0.14059362754378707,0.12640977998089264,5322.559058413085,13673.146405379537,3629.664574765722,0.0011148894314799691,0.00042490275988293436,0.001539792198620853,0.920593111636109,1836.559861605978
pretrain,40,40,0.20726956614812703,0.2137266926709254,0.2096297208543333,0.3447915538111343,0.3513410547960714,0.3595452851228871,0.12342367382254751,0.12426880251650416,0.11916079566359764,6626.586909080643,13102.373848912113,4114.763119606724,0.0014987046511765584,0.0003448394003783278,0.001843544064452726,0.9224522743924838,2085.26908877368
pretrain,45,45,0.15891743125508495,0.18888841836597695,0.17250798917318086,0.33059040797131917,0.25497762567087684,0.31740333658826014,0.12612287850633172,0.154898614967452,0.13179386790822972,7298.771199056864,14866.143104697847,4592.941386717371,0.0007053074484110766,0.00020022840703386464,0.0009055358551679092,0.9223664039288354,2323.4688975904464
pretrain,50,50,0.1545266152821336,0.17109545680571014,0.16414857470710426,0.3312211607280714,0.29319971126771194,0.3302768082408397,0.12558684576137108,0.13827301781932622,0.12583816221676805,7863.240159194509,16933.500470476814,5042.185015380434,0.0006642639669002165,0.00021265886661726654,0.0008769228423323511,0.9221841642837473,2554.5991292479516
pretrain,55,55,0.1806059148217796,0.1639749498507676,0.1800332035551748,0.3226753943450199,0.31095030183558753,0.3300967395533746,0.1270405123644188,0.14418993028986463,0.1294849865899114,8801.867121565369,14075.941411370815,5082.736306680094,0.005699276631876819,0.0006896223015062788,0.006388898929875722,0.9216086549445176,2575.5185359196425
pretrain,60,60,0.2087567810816496,0.029579946687735514,0.192108949489338,0.3183642010830238,0.28597220666518797,0.31502244554993,0.12661134723627687,0.13978952803049446,0.12726619600450814,8671.739299905446,17717.24516069443,5474.895539260713,0.002062928156964699,0.00031388007518544326,0.0023768082339342073,0.9230463495773648,2772.7263821064234
pretrain,65,65,0.0710905089532142,0.0786181497622782,0.07695716473818735,0.3171198588738464,0.3054130074063842,0.321895623522419,0.1281061417612399,0.13287525807998435,0.12587566966859667,9675.207242875511,21447.20140033471,6272.377186327871,0.0004030414533090152,0.0001101406249509182,0.0005131820793601946,0.922995012024164,3175.1909334701536
pretrain,70,70,0.2293371759596004,0.039779787177201376,0.22609662593515356,0.3188057548611579,0.29021582409795327,0.3163405102923838,0.12720998418896423,0.13948890411591236,0.12832941006936027,10431.506258156676,18734.671197114767,6283.119668553602,0.0014703454337022777,0.00017556948269375426,0.0016459149109576173,0.9197357272900363,3179.9372636138437
pretrain,75,75,0.11808058941306925,0.07621753286510477,0.11789528884363594,0.32324839221666146,0.2684517628129541,0.30864756548856825,0.1259997839644482,0.1407743628769223,0.12923822044087824,10437.148001867732,20450.110682974533,6506.746375055219,0.0004534960288750881,0.00014333762127494084,0.000596833651322595,0.92248775194115,3295.4457546803474
pretrain,80,80,0.13612344569935178,0.13368429783521577,0.13595276517476695,0.31413912358537843,0.35571679474639006,0.34261722395383704,0.12828884036005725,0.1259410606779569,0.1239699885564747,10502.545063347692,18095.028871384908,6256.301190651521,0.009529923078048706,0.0013670407128292027,0.010896963825774583,0.9209234470041792,3172.541287873125
pretrain,85,85,0.06966762661418203,0.08599848170403425,0.07509430161673977,0.3125404074633102,0.305370877395317,0.3187689850964704,0.12842159154704744,0.13823768618099846,0.12964406871999906,11302.679403191174,20913.721667824095,6926.904951004423,0.0004090428256193263,0.00011783714215957844,0.0005268799676039635,0.9214089512959266,3508.5195956336975
pretrain,90,90,0.19309109837502098,0.048183879830819426,0.13733549294715675,0.3140474701774433,0.27245302793329657,0.30981554609845113,0.12761311750784401,0.1423088823349818,0.12804061279590612,10674.201000222378,20500.966253116687,6616.460284451948,0.0026740336698867395,0.0007116918961417014,0.003385725575019751,0.9237048863728846,3351.6716065321684
pretrain,95,95,0.0282701849773339,0.028343232915618546,0.028342515581640828,0.30466644445300367,0.27232826200253873,0.2959441884838805,0.1296288163425371,0.1413682133457822,0.1316206036630878,11021.461718051087,21233.18914441351,6769.692402808191,0.0005941625770779865,0.00020783678201898966,0.0008019993709076516,0.921760030244181,3430.2467934994697
pretrain,100,100,0.03506115628290032,0.03814241316138392,0.035731720879651936,0.31842209770059543,0.29281167482788767,0.31526019593978344,0.1274296713088805,0.13997710181149367,0.12949468700406097,13274.501815702695,24223.68827213259,8064.465992304682,0.0005480446746571033,0.00016115190600810364,0.0007091965854462615,0.922884368303701,4090.6730888708116
