epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
0,0.8263968944661811,0.8751176773070872,0.8650441760169322,0.2835594332131345,0.4450110295405245,0.3401184956969942,0.3454619738537275,0.25585989860962943,0.3060375546761718,0.8594535031406804,0.2951409767587603,0.8955215849672484,0.011665002825106494,0.0036044957644819804,0.015269498585117981,0.04604742384976833,-1.2882288774907589
5,0.33890958476601407,0.3211231152729468,0.3360450759135598,0.4095087287637115,0.23634214841879891,0.3966338810466325,0.2824967662382635,0.4325565272898758,0.2896893876361014,0.46065392856195425,0.6786032594866238,0.6306501842770128,0.0005006304516287491,0.00027925352763747926,0.0007798839794304513,0.014175179289632373,-2.8852970256733896
10,0.379088999247026,0.22482926757782207,0.31746395450588283,0.4484786778293183,0.36373362229012624,0.43962872216080956,0.26229706008445497,0.33278805097162245,0.268983971190898,0.5867216456515973,0.40553704612406766,0.7021267411029892,0.0002845672088544234,0.0001350022767616565,0.00041956948598599413,0.011237800071891416,-3.090542542178631
15,0.4342450789382326,0.23540255795506537,0.4260339428593743,0.4354229453202601,0.38640420357457705,0.4354380475842302,0.26256995488400137,0.3104419301126309,0.26372526979467126,0.545968669968943,0.3570518559909369,0.6820168356373336,0.00020000146330878123,8.926813163355064e-05,0.00028926959505835837,0.009501742114618466,-3.301256541934013
20,0.37635241883577686,0.262062142797965,0.3538238348263342,0.4571269129454306,0.38277693599900336,0.4514053505050621,0.2531436440744708,0.31243467658065693,0.2557784963166052,0.591629367531803,0.192328549085041,0.7192721794405094,0.00020991401506818876,9.344577483347848e-05,0.0003033597898084918,0.008857443983761197,-3.347858864467144
25,0.5241806430934884,0.18082223211935963,0.4546149007197925,0.4551817708349828,0.3452401879044242,0.44158342209478535,0.2507630538416871,0.3502900534532647,0.2630318971106311,0.5325713328140059,0.1796563736652366,0.6930944528918475,0.0001417827724335257,7.154139388003159e-05,0.00021332416645436752,0.008268941249058461,-3.449914389207363
30,0.4851039278708571,0.23423103684728863,0.4539110113986419,0.459444336015906,0.413068791555273,0.45762155288721595,0.24685453046267516,0.29015427704935587,0.24811252677942328,0.542826316870079,0.5773544657275048,0.6698449501028462,0.00014638175708720156,5.9194408210000805e-05,0.0002055761653861009,0.008031018297864493,-3.534963510239124
35,0.6248312627771725,0.3013422724311245,0.5990698773790021,0.4278353141959411,0.36599159553002036,0.4201544960116771,0.2620526308849353,0.31430523875759514,0.2671637788236979,0.5795617165325673,0.23365835230145768,0.7088042480526769,0.0001234576649811788,5.8137618009835136e-05,0.0001815952831107097,0.007480184591053006,-3.525269538125992
40,0.652077481721353,0.129324220692406,0.5195306829449367,0.4628442906383733,0.37609608445762144,0.4517279777682629,0.24547620909174217,0.33223223078161457,0.25877709719800424,0.5113370521169895,0.14850349606749608,0.6995042609329698,0.00010359664562316539,6.835526025582567e-05,0.0001719519059276354,0.007185221503974428,-3.601034734003544
45,0.4613716240208403,0.2707694752549154,0.4712658430523056,0.48221331529194733,0.41062837025461824,0.4758174121584246,0.23590379770620565,0.3027382353366716,0.24216877988797236,0.49489587815229896,0.12014192497637807,0.6814615304141579,0.00010837474885926895,5.472448112001643e-05,0.00016309923006023382,0.007163595057325806,-3.644433054320812
50,0.5540838645011872,0.25742810605258365,0.5484534667274855,0.4581690730871193,0.37946995067187644,0.4453628760564963,0.24513545536018874,0.3111068555570145,0.25445918412465085,0.5249875462514147,0.1512415861660283,0.7155235331095128,0.00010019340542066857,5.6004229795141785e-05,0.00015619763529615738,0.0068625698636870635,-3.6331270037293435
55,0.6769129156808774,0.3888079402600807,0.7165514604616877,0.47182180427120385,0.3950498832436572,0.46125959113058684,0.23624266323332932,0.30510919293663874,0.2444405130631304,0.5565829535255337,0.10848243079720407,0.710272415068373,0.00010020479867162066,5.673661348073551e-05,0.00015694141204619882,0.006976715740724055,-3.671173072118759
60,0.04885675674255395,0.27047479816962555,0.05075587208447288,0.4791608473797297,0.41404811976093087,0.4711142732336802,0.23553665146378952,0.2918788333999004,0.24166997770099158,0.5435055671493745,0.0938818507204033,0.7082764665948534,0.0006057069751717063,4.91015142367155e-05,0.0006548084868123623,0.006736511212219752,-3.7135868998789787
65,0.44762905281142823,0.41131565914900153,0.43764549890183,0.46241827463276247,0.39505777050923524,0.4526211795322665,0.24158283326521043,0.2997508337597481,0.24912531934213766,0.5903598176351509,0.18182261336014183,0.7438812864124308,0.0002301454948605442,0.00013029737466737514,0.0003604428677276701,0.006875814737396712,-3.6765571495997906
70,0.6631818048986948,0.2755411363354756,0.6413780643745043,0.4700413299398489,0.4017894892045514,0.45985156061153276,0.23739741012645563,0.29498096011600766,0.24402540068354542,0.5391186866727351,0.09839572877702617,0.7108654425939116,8.969708878216806e-05,4.9517896637615874e-05,0.00013921498540254106,0.006586384846372544,-3.7228527809476852
75,0.6964624142515318,0.3585837807558479,0.6969944570830549,0.40625074006116807,0.34055500046848175,0.3977214589755262,0.265948944122668,0.3275641833636546,0.2751218857360248,0.36634990606483403,0.11674868614598295,0.6265439744863504,7.311403720277667e-05,4.1558237909054013e-05,0.0001146722751501693,0.006577365310933563,-3.7342152419018744
80,0.587506920974552,0.31495906403150165,0.5768155323950981,0.4751948489335825,0.4235271256934721,0.4700488227319631,0.23538129194588528,0.28030139982300367,0.23918303307243283,0.5230653778998451,0.08663016300981538,0.6908509292391226,8.221923426410285e-05,3.8834310903135926e-05,0.00012105354534112848,0.006306273582170314,-3.801017555027008
85,0.2006871295349178,0.25428745348902854,0.2049152077839379,0.4222333828182509,0.38010547847014503,0.41818236939319403,0.264147095320513,0.300790319001443,0.26804285511612713,0.4355818383604279,0.3331396956715341,0.6391928414586214,0.00024177753690780265,4.6935140923709466e-05,0.00028871267829528734,0.006440695797264702,-3.804991915407181
90,0.6760297370608669,0.2650564636119243,0.6648319413358074,0.4846444603552177,0.41117811432649376,0.472564127306698,0.23024550935122662,0.2938871144174571,0.2393806468995841,0.50130162131323,0.19127110160384328,0.7143074488937035,7.703220717065051e-05,4.710762365829623e-05,0.0001241398307622967,0.006242934093345134,-3.7759673582816125
95,0.5040975478523635,0.2852369836907834,0.5160712814041146,0.48550042544378286,0.4140196993001627,0.4733002252461624,0.2320000495923907,0.2943272818383328,0.24023960849249174,0.4775279423534682,0.12505921236379142,0.6914088082655747,8.257034530141027e-05,4.412631603134514e-05,0.000126696661482365,0.00636859247549039,-3.799157045254707
100,0.703231900798592,0.39887979024428494,0.707014514461847,0.49247493312762675,0.4197317426375124,0.48437018060711684,0.22862523460251805,0.295596252134739,0.23572686244920832,0.4865111930200653,0.09471158996401473,0.6865952111319548,7.646563527094259e-05,3.7829950380730676e-05,0.00011429558574049224,0.006219917252962973,-3.819096835985184
105,0.7115064530825992,0.37800680703395917,0.7157846001736827,0.48351166159814085,0.4309150807294133,0.4744002035481836,0.23056451469574424,0.27607605887209624,0.23734100845836698,0.4695357109531343,0.08090380972100183,0.6808603768161159,6.99115877944314e-05,3.798954633197212e-05,0.00010790113392006787,0.00616681892101781,-3.8521403328728674
110,0.3895195452314522,0.24651018282431103,0.36888156302948905,0.48600779857627263,0.39722283043257944,0.4679950640347044,0.22819630597705118,0.3037127048499768,0.24270193999726478,0.4934104214526051,0.15374952294853714,0.7032201126370214,0.00011276030157569494,5.362155254503819e-05,0.0001663818540293323,0.006311611619590367,-3.814445038001537
115,0.673771672284671,0.32545147163266275,0.6773970809820564,0.45917921526294975,0.40407098719311785,0.4547327704474302,0.244052213224315,0.28928072491300855,0.24662750095054747,0.4406021715228697,0.18542247801211723,0.6476145779397892,7.136274959518232e-05,3.4680410318139254e-05,0.00010604315997052253,0.006131942076781291,-3.852981219062805
120,0.685365802981717,0.43421071593245303,0.6914093014990552,0.46890820323553994,0.42813584053899906,0.4680130546599037,0.2391796367164631,0.27567132415508033,0.24060035955127484,0.391089924443271,0.11736328576397827,0.6388227335891211,6.585399714121195e-05,3.1480236796317624e-05,9.733423394298825e-05,0.006010515783200018,-3.921895681390762
125,0.549548700263538,0.3559370456596195,0.5571839317231153,0.4812248991405744,0.4309910293997696,0.47595357608051686,0.23116304926444614,0.278738726776806,0.23632418494213803,0.4314845426557657,0.07280163940527724,0.6691765882037459,6.631156050676964e-05,3.6725592760399194e-05,0.00010303715335620837,0.0059977084732521216,-3.904324681093693
