epoch,train_loss,val_loss,train_rmse_e_atom,val_rmse_e_atom
0,-1.8434314469659328,-1.8225239573717118,0.04513846718741449,0.04583177803394581
5,-2.4470585134142637,-2.4189743690639736,0.07940639784863834,0.07505262233373255
10,-2.857982401701212,-2.812267599478364,0.024970167781438096,0.025440084334704675
15,-3.0666777590554952,-3.007532001686096,0.022324551989728953,0.023034390887042903
20,-3.1831149005019665,-3.1171054232001305,0.019919594630106976,0.020605356090133718
25,-3.178748057162166,-3.114753161537647,0.022424943457606296,0.022563117032570256
30,-3.278883382832408,-3.2025337172329427,0.02102053240487746,0.02115827016250683
35,-3.2793032530993225,-3.2035944548130035,0.022397183033271303,0.01891007922296137
40,-3.3661218243712185,-3.2829487570136786,0.019522736106952373,0.018870107947226218
45,-3.4317061506205797,-3.341131402361393,0.016688966185964445,0.01647318888525783
50,-3.455300590631366,-3.359106207251549,278.98100440801755,0.6114806097846247
55,-3.4955751473665235,-3.394067094671726,0.016631407043698414,0.016510823674332837
60,-3.5826026439493894,-3.4661194893598557,0.015941884265541044,0.0159682409474865
65,-3.595985280794501,-3.477379105883837,0.016200745082301522,0.015999659574141387
70,-3.5792525914138555,-3.459013553017378,0.015899507349656852,0.015712043341208473
75,-3.507114201615453,-3.4034498813718557,0.01567050320826461,0.015444779060301127
80,-3.6139696983546017,-3.4924934146344664,0.015255195906438163,0.014982390578884617
85,-3.6486271814143656,-3.5121422323018314,0.017968653729947978,0.015755464413905875
90,-3.630046062760949,-3.5054968244373796,0.015147221926668343,0.014789038855262482
95,-3.678796873006821,-3.539306975507736,0.015163856295515624,0.014849430801797257
100,-3.706286015642285,-3.5597639261722565,0.01522516748385356,0.014767893403765208
105,-3.7620966598665713,-3.6012485412299635,0.014837235777649943,0.014375826647303126
110,-3.7630966099953653,-3.598424880385399,0.014956035457390738,0.014539266502559794
115,-3.6894070873630045,-3.5404956514298918,0.014930100506567416,0.01457967971061305
120,-3.7566475795179604,-3.595209389603138,0.021758883466486256,0.014451057440846918
125,-3.7869570598000286,-3.611269497656822,0.01477673544565707,0.014644002591171226
130,-3.767337520622611,-3.596007706272602,0.014972622345259744,0.014669347492226013
135,-3.6929559888482095,-3.543855871656537,0.015474709400373477,0.01464715831893386
140,-3.8167701342618465,-3.6315519432485104,0.01472831232011292,0.014284554208691414
145,-3.802734566348195,-3.619998123961687,0.014374671450746298,0.01399189997315846
150,-3.8494494391548635,-3.6542208661317823,0.014599168859489345,0.014288571255068981
155,-3.8755638051974772,-3.6696071803867816,0.01415751465295568,0.0136717763394815
160,-3.898784918371439,-3.6844730501294136,0.014389033679334464,0.01401003257086183
165,-3.8576510886311532,-3.654763625788689,0.0143349686262413,0.013979304450969982
170,-3.870592807534933,-3.661044963401556,0.0143374611170937,0.014108737716046425
175,-3.867000138427615,-3.6625110577344895,0.04952699658292832,0.014100024603921194
180,-3.919184004252553,-3.6959843720942738,0.1160042642463966,0.013903749837575386
185,-3.958196606595516,-3.7155945340931416,0.014418932938465476,0.013773447551848042
190,-3.9079073278868197,-3.6775974426805975,0.014029093801210837,0.013496671342876824
195,-3.9842679493331907,-3.733537477105856,0.013989924648296204,0.013670612178962083
200,-4.011387531971931,-3.74645720872879,0.014170448968582522,0.013780852847718286
205,-3.9946359278833867,-3.7327935717195273,0.014007539036705558,0.013821375532013874
210,-3.9313424503970147,-3.6961003117501736,0.014060461370233588,0.013764434301443475
215,-4.06538977907598,-3.7729883861899376,0.014169478167955373,0.013856465302108196
220,-4.0304626552700995,-3.751321887141466,0.014077759176072752,0.013709594961064362
225,-4.062487202413678,-3.765030556148291,0.0140233373102113,0.013758668836364426
230,-4.084059909530878,-3.775658382833004,0.04355990594074576,0.013671898641736163
235,-4.131584847034216,-3.8016876715898515,0.014134240093703314,0.01364605501606983
240,-4.120782712575197,-3.7995703661978246,0.013927801361365564,0.013660976304642494
245,-4.137948159626722,-3.800964704978466,0.013719339720262782,0.013413515793147968
250,-4.1470350238072875,-3.8063381872653963,0.013729107558490735,0.01348850369515121
255,-4.181900032504797,-3.8180508043169974,0.013863486834485296,0.01363397436960078
260,-4.172470616441965,-3.8187767767131326,0.013619784022530283,0.013346690775049625
265,-4.1777148307812215,-3.8215377047479153,0.013556852035607981,0.013269418313684512
270,-4.223905671151281,-3.839827158653736,0.013677557983129873,0.013444655936694448
275,-4.2183578182828425,-3.832869234722853,0.0512030260786027,0.013443556179073095
280,-4.220009104173183,-3.8275919471919537,0.013743393264111031,0.013391822410175044
285,-4.2391899162590505,-3.8452640274584295,0.013699984167624009,0.01330632246383321
290,-4.238915454508066,-3.8346340036809443,0.014182686950545111,0.013381329698068602
295,-4.300107478021383,-3.8621775673925876,0.013707947578903867,0.013301819261583026
