epoch,train_loss,val_loss,train_rmse_e_atom,val_rmse_e_atom
0,-1.1014229747414588,-1.074040160536766,0.0897358033620714,0.0879034344027815
5,-1.7167954881310463,-1.6873178632855415,0.040571112511852456,0.04103287434032003
10,-2.064820423030853,-2.024001923918724,0.029631276695158325,0.028960650584876027
15,-1.9515683920145035,-1.9280065748095512,0.02403754653399079,0.025967440401720256
20,-2.436846124267578,-2.369495070040226,0.021750767878693098,0.02361369104242772
25,-2.5630868131399156,-2.4723469727039338,0.015946939788299804,0.01940472557734679
30,-2.6399762702703478,-2.5286203320026397,0.014234761874555723,0.01817693236444533
35,-2.6753064503550528,-2.5441946167349814,0.01364820034433004,0.018423445181707115
40,-2.7807136860847472,-2.627671662926674,0.012272759117944374,0.017321392912627836
45,-2.8644341467261314,-2.6818489435315134,0.013169546378806393,0.017260110187965468
50,-2.861510589337349,-2.676427623987198,0.010389703847811058,0.016349566665919916
55,-2.9838454689502716,-2.761663479566574,0.009121238196309509,0.015719469144279588
60,-2.929650917649269,-2.7134411833286287,0.008890058115357478,0.015926868022228872
65,-2.971302457118034,-2.737636698246002,0.009105855395970907,0.01618959696891392
70,-3.0876944699287416,-2.795389803647995,0.010264355478378657,0.01642385690373324
75,-3.0658500453948974,-2.789672048807144,0.007577545331876702,0.015495485365723566
80,-3.089191911149025,-2.7962259781360626,0.007555818920143554,0.015282285071638882
85,-3.135925261998177,-2.7965298377275465,0.006809386396666614,0.015748527163751695
90,-3.2332161426067354,-2.866574863731861,0.0070859222331771075,0.015109742522084572
95,-3.230586097466946,-2.85567411673069,0.005696809689949915,0.014839505856255179
100,-3.3875432972669604,-2.9058585283756257,0.0058815148932724465,0.014808359433058377
105,-3.3935696623563767,-2.908794957399368,0.005589507511044145,0.015031252852100569
110,-3.4581660321474077,-2.9237919754981996,0.005096521045630076,0.01476245663851112
115,-3.410018028783798,-2.908872994065285,0.0046026599086288885,0.014664418372437739
120,-3.5172470131635665,-2.9243035839796065,0.004303400449154251,0.01457200259794596
125,-3.54656701939106,-2.9178569523096085,0.0043295732338456475,0.014568009929657084
130,-3.5852314663648603,-2.9237537047863005,0.0040452953223331185,0.014710613570544165
135,-3.5575824111938474,-2.9111901503801345,0.004202426771750515,0.014899991175989764
140,-3.6894097054243087,-2.9204026317596434,0.004220089694180877,0.014817661618163
145,-3.6291901492357255,-2.921781533718109,0.0037750813843014045,0.0147324179712943
150,-3.674746561908722,-2.9217380925416947,0.0037714367519771793,0.014603437413037702
155,-3.756481400990486,-2.919557696580887,0.0032359003743763952,0.014547656158909019
160,-3.822759142804146,-2.9352865195274354,0.0048367454321117135,0.014829930221722387
165,-3.8468039733171464,-2.8869871948957444,0.0031364627875622455,0.01458751228323013
170,-3.8489963626146317,-2.90579235458374,0.003043265068748385,0.01448937528886175
175,-3.8267376522302627,-2.9198920125961303,0.003196993533110954,0.014501462311578936
180,-3.909906963968277,-2.9196968775987626,0.0028310042771887488,0.014499265376752446
185,-3.8813780837535856,-2.882875878572464,0.002977322245554963,0.014721955760182863
190,-3.971665791583061,-2.901377910375595,0.0027189998837301005,0.014416531426309002
195,-3.940293337011337,-2.884685746908188,0.002769160978008653,0.014502826368968103
200,-3.9518112323760985,-2.9143425694704055,0.002755482126378709,0.014494277901019315
205,-4.042685711932182,-2.866281504869461,0.0027148622831219727,0.01452600305565683
210,-4.089627422642708,-2.8913758285045623,0.002495076530035708,0.014410648820441041
215,-4.1616162507534025,-2.8465976951122283,0.0024205351784349675,0.014487008990801605
220,-4.165188210749626,-2.8485238646268844,0.002395730374895161,0.014506202582493835
225,-4.132392693829536,-2.8804551914930343,0.002432692254407857,0.01453272611416828
230,-4.087044696259499,-2.8791437066793444,0.002439060934806727,0.014361548401455683
235,-4.177067257475853,-2.8433108596801757,0.0024098854875026464,0.014415071886277352
240,-4.251212367081642,-2.8105574620962144,0.00219631320656837,0.014562818937124421
245,-4.227530719065666,-2.820182470202446,0.0022925813995990515,0.014574713834800412
250,-4.278102861261368,-2.8293967232704165,0.0021953566417804004,0.014537035831058838
255,-4.254222244358063,-2.837013319015503,0.0020720212448046265,0.014353323471251083
260,-4.306153748393059,-2.7509384958744048,0.0020723454260493965,0.014543501549858026
265,-4.30599151711464,-2.8044069377183916,0.00225361870670273,0.014351638555454994
270,-4.410947151708603,-2.79198490524292,0.0019836824735884402,0.01437522343145755
275,-4.376609887456894,-2.7997436586618423,0.0020961430235476625,0.014350158786289773
280,-4.373233554387093,-2.790165934920311,0.002249838795946899,0.014583701362535707
285,-4.402355717754364,-2.790519103527069,0.0019724102740321147,0.014435422759515424
290,-4.479365406227112,-2.745718932390213,0.0019143207896405053,0.014375440594669312
295,-4.551669558835029,-2.733236399769783,0.0018752384282548949,0.014343093676292886
