epoch,au_var,eu_var,tu_var,rmse_energy
0,0.0024015643485430357,0.0005347181788976372,0.002936282518414268,0.013700886514294285
10,0.0059366193761968096,0.00011292243251101236,0.006049541818598906,0.010888180672374162
20,0.004288387231096842,0.0008564228532781851,0.005144810079988362,0.012254649483128186
30,0.004775862092071253,6.726652141694196e-05,0.004843128615639348,0.009897388758199488
40,0.0022652155766938477,6.388887730123395e-05,0.0023291044591831557,0.00951301771682079
50,0.002602836080705342,9.166423914248825e-05,0.002694500321387381,0.009064042656143615
60,0.00042941222124247123,8.766393313661852e-05,0.0005170761543474552,0.009091057771783885
70,0.00036586034896216637,6.492732445885717e-05,0.0004307876738375458,0.008346390768627804
80,0.000633833226342888,5.093021469108045e-05,0.0006847634410445133,0.009637620941231755
90,0.00013281435480483038,4.333066532600914e-05,0.00017614502019410873,0.007739493173283408
100,0.00017854849199690196,5.777539544910921e-05,0.00023632388776235715,0.007651780036026778
110,0.00013823390228039436,3.174921691517238e-05,0.00016998311891085535,0.007612922423101748
120,0.00012171540522789312,4.04919883189048e-05,0.0001622073937366055,0.007336674478848761
130,0.00015382585535416433,1.9363367892514942e-05,0.00017318922351030092,0.007279262879535019
140,0.0001413792012380841,2.8569513829163466e-05,0.00016994871569466708,0.007029417623875932
150,8.250170248557233e-05,3.151313277698321e-05,0.00011401483487503171,0.007409385242400516
160,0.00010113287563148913,1.1376687477119654e-05,0.00011250956354753884,0.0069864562490014465
170,8.017791608480089e-05,4.380064354969047e-05,0.00012397855940777673,0.006837204456403621
180,7.292091948962164e-05,1.4454120966969429e-05,8.737504030105428e-05,0.0067730991002311015
190,7.672110326551036e-05,2.6630314607535947e-05,0.00010335141825793392,0.0065942320571800534
200,7.714929477357224e-05,1.806185146447008e-05,9.521114596914823e-05,0.00734168090316025
210,6.124919410744357e-05,3.641864734716997e-05,9.766784081137671e-05,0.006253112746910388
220,6.917532073861946e-05,1.8380933107582152e-05,8.755625371966323e-05,0.006464904446393979
230,8.418522468317584e-05,2.8306722355330787e-05,0.00011249194765274507,0.006200176863531758
240,7.155903048165466e-05,2.2083658614460348e-05,9.364268991993268e-05,0.006200670139083679
250,6.160545951612563e-05,1.4883598029974974e-05,7.648905732861274e-05,0.00617174223647001
260,5.0994499084165156e-05,1.6554140136682638e-05,6.754863873314774e-05,0.005965312355148134
270,4.8050840195028815e-05,1.3737640489600143e-05,6.178848005061888e-05,0.005824303825667062
280,5.4815726469024554e-05,2.0257029836352887e-05,7.507275652681963e-05,0.005795730480889812
290,4.916228781571524e-05,1.152685348168471e-05,6.068914093623829e-05,0.005711943830163637
