epoch,au_var,eu_var,tu_var,rmse_energy
0,0.0002357682050335825,3.597713914097085e-05,0.00027174534465466423,0.009466293872513474
10,2.465628647161111e-05,6.031925504217383e-06,3.0688211987376236e-05,0.002778447505271959
20,1.3252875962223243e-05,3.2458841230877054e-06,1.6498760216836673e-05,0.0023947609364216005
30,1.0720007249648233e-05,2.6537219034160842e-06,1.3373729294357872e-05,0.0023118447945425784
40,9.444547008678228e-06,2.4273030123438843e-06,1.1871850096451908e-05,0.0022598535612103426
50,8.684178123613151e-06,2.1446517920942655e-06,1.0828830014810365e-05,0.0022309115249290784
60,8.124443672917892e-06,1.8293616702095505e-06,9.953805335516108e-06,0.0022067323520271985
70,8.073040043205992e-06,1.7589548567567447e-06,9.831994699263191e-06,0.0021816966443224946
80,8.213928437545803e-06,1.6601264576053153e-06,9.874054777802144e-06,0.0021687558824379704
90,7.828328981547372e-06,1.6477458194408711e-06,9.47607477909287e-06,0.00215794536941468
