epoch,au_var,au_var_mean,au_var_std,au_var_ci95_low,au_var_ci95_high,au_var_n,au_var_geometric_mean,au_var_geometric_ci95_low,au_var_geometric_ci95_high,au_var_geometric_n,eu_var,eu_var_mean,eu_var_std,eu_var_ci95_low,eu_var_ci95_high,eu_var_n,eu_var_geometric_mean,eu_var_geometric_ci95_low,eu_var_geometric_ci95_high,eu_var_geometric_n,tu_var,tu_var_mean,tu_var_std,tu_var_ci95_low,tu_var_ci95_high,tu_var_n,tu_var_geometric_mean,tu_var_geometric_ci95_low,tu_var_geometric_ci95_high,tu_var_geometric_n,rmse_energy,rmse_energy_mean,rmse_energy_std,rmse_energy_ci95_low,rmse_energy_ci95_high,rmse_energy_n,rmse_energy_geometric_mean,rmse_energy_geometric_ci95_low,rmse_energy_geometric_ci95_high,rmse_energy_geometric_n
0,0.0023014595464843773,0.0023014595464843773,0.00036249024976888524,0.0018514406099028663,0.0027514784830658884,5,0.0022760507432454486,0.0018398950356335742,0.0028155991975076277,5,0.0006485581663909599,0.0006485581663909599,0.00019578081478766973,0.0004055031486905321,0.0008916131840913876,5,0.0006240315839761666,0.000421822424631579,0.0009231738168968142,5,0.002950017710580774,0.002950017710580774,0.0004031314249948108,0.002449544179790854,0.003450491241370694,5,0.002927037724633595,0.0024552040593066194,0.0034895469518927873,5,0.013493219096618377,0.013493219096618377,0.0013944251041056678,0.01176208921687048,0.015224348976366275,5,0.013435925918540351,0.011822501021734778,0.0152695360276666,5
10,0.005563343374220573,0.005563343374220573,0.0013589127667858853,0.0038763008162319835,0.007250385932209162,5,0.0054166009015927915,0.003893271764561855,0.007535966431677468,5,0.0004683031272809561,0.0004683031272809561,0.0005061339788907414,-0.00016004446301533677,0.001096650717577249,5,0.00032456298234669165,0.00010542553541646693,0.000999199378913708,5,0.006031646502163748,0.006031646502163748,0.0016729276055784494,0.003954765530826547,0.00810852747350095,5,0.0058402542714708515,0.004086113671395934,0.008347435411355322,5,0.013575881017723074,0.013575881017723074,0.003635081921476639,0.009063054254154747,0.018088707781291402,5,0.013181549203288939,0.00938551035827779,0.01851292393977075,5
20,0.003947184758827738,0.003947184758827738,0.0004292414864850402,0.003414296502087527,0.004480073015567948,5,0.003927285267092375,0.00340773901559487,0.004526041900080315,5,0.000342140335355973,0.000342140335355973,0.0003327373823791067,-7.094145946369591e-05,0.000755222130175642,5,0.0002247185972138607,6.127787049012667e-05,0.0008240894719391705,5,0.004289325092365777,0.004289325092365777,0.0006581346703457004,0.0034722739726039957,0.005106376212127558,5,0.004247396161931705,0.0034885136988289604,0.0051713640002182155,5,0.011300992079576341,0.011300992079576341,0.0017596664267184885,0.009116427902760755,0.013485556256391928,5,0.011187139308104662,0.009162064090556152,0.013659813406887392,5
30,0.004034159670489422,0.004034159670489422,0.0013303673591137735,0.002382555235355391,0.005685764105623452,5,0.003838846155952007,0.002442165457291215,0.00603429213408542,5,8.256592075707412e-05,8.256592075707412e-05,3.758332075187911e-05,3.590754567320385e-05,0.0001292242958409444,5,7.732110629351247e-05,4.8178137899448654e-05,0.00012409266399897683,5,0.004116725591078832,0.004116725591078832,0.0013050364602410372,0.002496568578822052,0.005736882603335611,5,0.003935269848129912,0.002562324406355154,0.006043867333578338,5,0.009249635785552025,0.009249635785552025,0.0007390779659392915,0.00833209640209307,0.010167175169010981,5,0.009224810085017389,0.008321364867873557,0.010226341766742437,5
40,0.002600689690924533,0.002600689690924533,0.0010114994125170588,0.0013449486323333843,0.003856430749515682,5,0.002454936181112814,0.0015402132165828876,0.003912907374413792,5,0.0002190729194204534,0.0002190729194204534,0.0001929002176699371,-2.0405937948852896e-05,0.0004585517767897597,5,0.0001367467655108675,2.9523057651495213e-05,0.0006333923165555699,5,0.002819762611086818,0.002819762611086818,0.0009492667669321241,0.0016412812001817577,0.003998244021991878,5,0.002709007319763688,0.0018513372517686927,0.003964010690932797,5,0.008929625240412591,0.008929625240412591,0.0012797578265556794,0.007340850765635292,0.01051839971518989,5,0.008856830910645267,0.007416596937503098,0.010576744892674534,5
50,0.001851930154109563,0.001851930154109563,0.0006864212842794931,0.0009997621948463246,0.002704098113372801,5,0.0017419263804887776,0.0010584898797935702,0.0028666381917930982,5,0.00011997901965514757,0.00011997901965514757,3.6543137174689826e-05,7.461199601467397e-05,0.00016534604329562118,5,0.0001157663062053733,8.023777069293967e-05,0.0001670265454373537,5,0.0019719091747496006,0.0019719091747496006,0.000686319267963932,0.0011198678651655526,0.0028239504843336487,5,0.001868982888204427,0.001173355385745909,0.002977015385820537,5,0.009216649457450097,0.009216649457450097,0.0013930707170711897,0.007487201001722196,0.010946097913177999,5,0.009127399325492929,0.007496750456104812,0.011112737303289533,5
60,0.0006421956443227828,0.0006421956443227828,0.00038702182007793306,0.0001617216232522659,0.0011226696653932997,5,0.0005513329248423913,0.00025152026518749396,0.001208522875040209,5,5.853581878777798e-05,5.853581878777798e-05,2.7049249507483652e-05,2.4955123840957347e-05,9.211651373459861e-05,5,5.235360501175389e-05,2.5940527581673792e-05,0.00010566091800164874,5,0.0007007314633001047,0.0007007314633001047,0.00039179527614130623,0.00021433136387899113,0.0011871315627212183,5,0.0006155076200017237,0.0002987751972225202,0.0012680089706309484,5,0.008001277219798823,0.008001277219798823,0.0013131230018009307,0.006371081049700624,0.009631473389897022,5,0.007912547630380354,0.006420008239564951,0.009752076269497183,5
70,0.0004476269000493314,0.0004476269000493314,0.00048261185680750107,-0.00015151880034015896,0.0010467726004388218,5,0.0003160401411524411,0.00010918844414057707,0.000914761370636075,5,6.483173170346308e-05,6.483173170346308e-05,1.5658929527403692e-05,4.5391719679912364e-05,8.42717437270138e-05,5,6.308256164893486e-05,4.498197057984936e-05,8.84667686385071e-05,5,0.0005124586326933965,0.0005124586326933965,0.0004903447891622916,-9.628723210652521e-05,0.0011212044974933182,5,0.00039222220246070685,0.0001554495491547012,0.000989634623835609,5,0.007433912814796715,0.007433912814796715,0.0009046377715821006,0.006310836736975576,0.008556988892617854,5,0.0073878191560325,0.006316173272205816,0.008641287933378636,5
80,0.0002934957807714903,0.0002934957807714903,0.00020187159076328793,4.287927823319035e-05,0.0005441122833097901,5,0.0002484943977326024,0.0001136499616884628,0.0005433302817448926,5,4.2298962142777404e-05,4.2298962142777404e-05,1.0187297423289255e-05,2.965178954712512e-05,5.494613473842969e-05,5,4.117279070876828e-05,2.9456071667846886e-05,5.755006009842275e-05,5,0.00033579474307454964,0.00033579474307454964,0.000209459134453655,7.575857105553466e-05,0.0005958309150935646,5,0.00029193141426222055,0.00014190053064103036,0.000600589372345151,5,0.007529379616934293,0.007529379616934293,0.001433636865267477,0.005749569710424915,0.009309189523443671,5,0.007422467799741759,0.005872814781554431,0.009381026013495544,5
90,0.00013327536083744377,0.00013327536083744377,1.2010619644015003e-05,0.0001183645976284175,0.00014818612404647006,5,0.00013284304542137532,0.00011878166656500496,0.0001485690109185988,5,3.767874597384513e-05,3.767874597384513e-05,1.0577637596566243e-05,2.4546979737963486e-05,5.081051220972677e-05,5,3.6482449830119904e-05,2.559127453129908e-05,5.2008708826885155e-05,5,0.00017095410680074405,0.00017095410680074405,1.8779068747865224e-05,0.00014764055132361465,0.00019426766227787344,5,0.0001701472294666692,0.00014875105102320365,0.0001946210093713386,5,0.007297072319542251,0.007297072319542251,0.0007958967502675299,0.006308994407343416,0.008285150231741086,5,0.007259077791462655,0.006278483372194142,0.008392824709208602,5
100,0.00014236990900615745,0.00014236990900615745,3.881788755383756e-05,9.417886252020008e-05,0.0001905609554921148,5,0.00013790007961045654,9.648867117065757e-05,0.00019708460823277658,5,4.032180409790337e-05,4.032180409790337e-05,2.109484347124098e-05,1.4133295490199175e-05,6.651031270560757e-05,5,3.557968489572358e-05,1.7294568718838883e-05,7.319719837245941e-05,5,0.00018269171335977377,0.00018269171335977377,5.175736068251442e-05,0.00011843676462815654,0.000246946662091391,5,0.0001759606974978118,0.00011845162719260077,0.00026139081241638294,5,0.006876309589457473,0.006876309589457473,0.0008767003185279289,0.005787916880146935,0.007964702298768011,5,0.006829281401816432,0.005791430502363591,0.008053119940947496,5
110,0.00010879323284641125,0.00010879323284641125,2.404802885002123e-05,7.893844812635897e-05,0.00013864801756646353,5,0.0001065770814685425,8.009783940004744e-05,0.00014180999611764335,5,3.2085570097294386e-05,3.2085570097294386e-05,2.1147181637266733e-05,5.832085491387333e-06,5.833905470320144e-05,5,2.775124402793573e-05,1.3544372810347287e-05,5.685988977722859e-05,5,0.00014087880286303738,0.00014087880286303738,3.248859443762601e-05,0.0001005453518828521,0.00018121225384322266,5,0.00013776067508814883,0.0001023394249428627,0.0001854417651001865,5,0.006677725813675477,0.006677725813675477,0.0008277064579699181,0.005650157264577238,0.007705294362773715,5,0.006634520933873272,0.005651279355686128,0.007788832448658615,5
120,9.211196148037519e-05,9.211196148037519e-05,2.1873599708065616e-05,6.49566543069841e-05,0.00011926726865376627,5,9.013716808786789e-05,6.773107550543123e-05,0.00011995541205083985,5,3.880497435338971e-05,3.880497435338971e-05,1.8493922945542906e-05,1.584541739294756e-05,6.176453131383187e-05,5,3.5332175912928186e-05,1.9212296240398994e-05,6.497727492443543e-05,5,0.00013091693595608536,0.00013091693595608536,2.2572276384029565e-05,0.00010289424618431522,0.0001589396257278555,5,0.0001293415160224572,0.00010408404749843168,0.00016072806706752662,5,0.0064506544553387364,0.0064506544553387364,0.0008039940992720967,0.005452523968234818,0.007448784942442655,5,0.006409604962906726,0.005473259044187322,0.007506137650135397,5
