epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
0,0.1197909146732808,0.15565725949606762,0.13358690269275808,0.43713184014119094,0.4032561033720078,0.4594485143606707,0.2548980181494222,0.2932321093282769,0.2428033299523465,0.7611205818407932,0.17844394668600508,0.8357310852725811,0.0073537058250408155,0.003446788108028559,0.010800493936371058,0.04993048022446814,-1.5298669028556346
5,0.27485683110849696,0.12489778590409382,0.2533840530792196,0.48490897845793957,0.42499773394430757,0.4864327440638715,0.2117394430883204,0.2692017272379109,0.21307424487282012,0.5662548680297986,0.656555983044198,0.6929896108074893,0.0016773612282930117,0.0005476212675771057,0.0022249824969154722,0.02927568940588798,-2.572729043084383
10,0.40981246650803876,0.3088779992098793,0.3674428989085299,0.5127868757102144,0.4416643749319748,0.5052745911447636,0.18727102655543595,0.24493047202079588,0.19184977469178993,0.5527493158982625,1.0545230899470057,0.6768071646911127,0.0014750438526303332,0.0008477408944680429,0.002322784744052042,0.02744432527426664,-2.850435163562298
15,0.7698196476991698,0.7649052743316352,0.7719077272018693,0.5050394173252806,0.40771503109189855,0.4992689027378052,0.17428048907737398,0.26208735491196,0.1803768553507028,0.5663941328284401,0.4335204904209008,0.725375407505669,0.0019749593267206363,0.0010412221010345365,0.003016181427331467,0.03194211740981803,-2.8986933747172356
20,0.5511734948354229,0.5611316236858552,0.5562108779486622,0.5035827199480374,0.4672165842408879,0.5015087012412108,0.1776298996533597,0.20910038947424636,0.17894748074463757,0.5064151192898597,0.5912797533645979,0.679250528095799,0.0035863952571611297,0.0009782518366463296,0.004564647103180468,0.027998835857572357,-3.0626861031728985
25,0.34015739688768937,0.2253022401953326,0.31370925821015916,0.4836682275720265,0.3890576771350377,0.4678852051286785,0.18861045815360167,0.2570244309096381,0.1968596881391094,0.4617853362489281,0.42726260229942814,0.6807552171345573,0.0010332748458905918,0.0003543068065796524,0.0013875816490086436,0.025503214336149136,-3.0845534879803655
30,0.6233997446403486,0.5264839362778412,0.5897502703455121,0.512776380147239,0.43518845130288164,0.504404146600843,0.16754000589010945,0.23363012476282585,0.17307426716754495,0.4369969501998504,0.6702051186715335,0.6525735371241089,0.0011492923535240333,0.0006293210729275188,0.0017786134207973374,0.027349400788782417,-3.1992039563769104
35,0.42396916507467003,0.21743347403057525,0.41320149756879876,0.5246595067466739,0.4733858986373806,0.5192462308736198,0.17433323508643356,0.21255206780914318,0.1770479442802097,0.389187616274966,0.9112057148908093,0.5906199568687321,0.0006604443705264566,0.0001565608096033452,0.0008170051811678422,0.023527675682174596,-3.2928522671443226
40,0.3543775403898773,0.3112556373428922,0.3585317026686052,0.5137117661140568,0.44772337840221244,0.5092086068928405,0.17106268693338972,0.2242332326534514,0.17536730701227105,0.41243887013385305,0.7307662254017582,0.6158850613232996,0.0006322623716695488,0.00020778052820936638,0.0008400428998097777,0.02443428184844331,-3.2796055802088975
45,0.4453569664229823,0.2648071529831114,0.4035106344557167,0.46050180164239424,0.40026052102706905,0.4506565903002848,0.1945780109013293,0.23558740987397034,0.19793622552201798,0.3125934472867947,0.9193714999957473,0.5542306833778757,0.0005814486338637653,0.0002497724781422505,0.000831221113919637,0.024476742737865487,-3.2981067763018608
