phase,split,mean_au,mean_eu,mean_tu,rmse_energy
pretrain,id,4.9863661389106785e-05,3.638182796729357e-05,8.624548932784085e-05,0.9329215775300445
pretrain,ood,0.000492024440682052,0.00016299651438331616,0.0006550209536500475,0.9499341417366516
finetune,id,4.238163899030078e-05,3.287760809764057e-05,7.5259247095153e-05,0.007507375438334076
finetune,ood,0.0004283848268353566,0.00016297280337655617,0.0005913576304921681,0.05392198870144571
