phase,source_epoch,epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,nll_energy,rmse_e_atom
pretrain,0,0,0.3863833347910958,0.15323657712373517,0.33261213333952727,0.49433108031969275,0.5002389323753492,0.5168319296136874,0.10502812408507892,0.10506444679155402,0.1007499460476308,298.37212955758446,1006.4686504756611,215.31797933108243,7.067044507718086,0.9335915984436206
pretrain,5,5,-0.07452872233828906,-0.0832617196981929,-0.08247512240008703,0.4044522600970109,0.30773582917331804,0.38548286927476016,0.11545387719894201,0.13536087080537004,0.1173542964287049,1181.7876632777761,2989.4379219505295,791.9335393560972,25.509896869122983,0.9266912432760808
pretrain,10,10,0.18227656585139368,0.17733715029759198,0.18190923712928087,0.4734770431807855,0.4157981032949317,0.47399043076683745,0.10236769938109269,0.11708493158944118,0.10136113550470698,2862.064166410647,5589.341543305172,1777.1179758672652,59.275723072576525,0.9300604319677951
pretrain,15,15,0.21162442766700876,0.17990498985826145,0.20306955658733136,0.46170608166605615,0.41336880269815746,0.45906420641484613,0.10423280219564293,0.13071261204433596,0.1084320975706646,3778.1679595411824,10986.237832045548,2661.2252357607567,87.71645076880156,0.9326983379125305
pretrain,20,20,0.03376557948863529,0.05509788813238958,0.03755961103321368,0.46278665615234,0.42982211538797405,0.4721945522816786,0.10256910786254898,0.12496242863077414,0.10277117576368991,4942.165595296037,12374.398949200491,3312.1144186935053,109.91012970716953,0.9332174572832058
pretrain,25,25,0.12108842920707227,0.08207628701002864,0.11304568113554263,0.44615356958410496,0.46921527487589443,0.47533038952563494,0.10409012355641008,0.11863018331181706,0.10341281488264581,5468.600698803273,8884.467508497193,3176.3818248319453,108.47560704037546,0.9322918144197543
pretrain,30,30,0.1549609678781508,0.18926379606761123,0.16656898519891175,0.45837075801874394,0.3843244413418066,0.44854051279636253,0.10235140062227982,0.1270289880177004,0.10446998576636504,6196.094214746526,15534.12797073067,4153.374654465213,138.5565042581618,0.9327889171587352
pretrain,35,35,0.13833999270318736,0.13711112961063282,0.13771448658035934,0.45508026792550105,0.4336776740801564,0.4588227027966514,0.1037112536955228,0.11279266097559622,0.10284898779178364,5817.82639969866,14221.885681812477,3912.469901961015,129.31372098118067,0.9322963243808579
pretrain,40,40,0.0019161683151519215,-0.009007950439827831,0.0001287933414846014,0.43068977700132954,0.4543904564480278,0.45786473487871343,0.10654908395963383,0.1060065039542242,0.09940613813868063,7254.205656184132,15949.314993490516,4664.878944423215,154.96859074319005,0.9310671104120917
pretrain,45,45,0.06991996588797554,-0.0207214021568253,0.023497393391717993,0.4269985400734271,0.3489908931609204,0.41324800905269315,0.10703830381530792,0.14169317370732262,0.11365954006911518,8488.565245589449,19537.411301794356,5588.787422913128,187.61127524092794,0.9295645648550017
