phase,source_epoch,epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,nll_energy
pretrain,0,0,0.1679352034365454,0.3828209034924995,0.2569658303356719,0.48583688589840746,0.4251314796699321,0.49482737860837084,0.22909362917813475,0.2924175681191442,0.22586346461640236,0.6785970487218378,0.45576649870769476,0.7616826705238753,0.06265489658187144
pretrain,5,5,0.9579294980400053,0.982618683365485,0.9837320022258377,0.5073046329046208,0.4490936293696878,0.5059338407111057,0.14444318431099873,0.1879614734653241,0.1467219780633054,0.6580703241173945,0.24141791546526029,0.8070400943231196,0.02767881314740978
pretrain,10,10,0.29887901810336764,0.25463936432141215,0.29161992678648774,0.38427047685176546,0.3727027639729474,0.4017001037231276,0.2511112997018847,0.27298487332133226,0.23850972751999888,0.5183726857475605,0.43225400180940465,0.7034210705550837,-0.001539011391280643
pretrain,15,15,0.22452066997268455,0.19903320075184758,0.2186600952815662,0.47821536989212043,0.38806544506506685,0.46777015174131487,0.1991575909557264,0.2792603843567813,0.20800060246050522,0.6558906682976143,0.8038400850394528,0.752253260648668,-0.013560811617710469
pretrain,20,20,0.26004386852588685,0.08972465620224503,0.23252936339775146,0.4605590640999471,0.37193114528893856,0.4521890503825567,0.21372636443095247,0.2938864824908226,0.22033170254556428,0.5891843014044483,0.6792765177395376,0.7114911014033419,-0.022852857536447776
pretrain,25,25,0.36405102592766636,0.2841238889702911,0.35204280863186294,0.48491277848453973,0.38454414795701153,0.46983615843971266,0.1830264486556303,0.26632440135754076,0.19325538433757927,0.6653579824587798,0.3241171631471076,0.7955778716046015,-0.021943266174633522
pretrain,30,30,0.3147446324991503,0.32093294000709055,0.32200044764519237,0.4304917678047213,0.3540156086601119,0.42295765194121143,0.2119062002132335,0.27427494453703516,0.21584894979822736,0.618486151238981,0.5542238295878417,0.7419481049702803,-0.02751310958555323
pretrain,35,35,0.969108850069619,0.968989080131194,0.9696410400206618,0.4346142435204177,0.3848953013598387,0.4303410658702289,0.21874079573200716,0.25980085492732335,0.22175799842420016,0.6673800424040012,0.24958127671980043,0.7765542805417994,-0.028177774386057345
pretrain,40,40,0.5894463216706123,0.5732760427174627,0.5878286314349636,0.49002956400339986,0.4049801170664348,0.47591541134304627,0.18618234754095214,0.24940298192025903,0.1934958753291317,0.7041949232903004,0.2846993302741001,0.8030900661356809,-0.03262011336263047
pretrain,45,45,0.2599945664268739,0.09962134686677236,0.21746544537928938,0.4807930621233415,0.3913566175852343,0.46920558354978836,0.20327464707132598,0.27823612471201364,0.21278662692966277,0.6225339951370381,0.2691460889361107,0.7468622709214563,-0.03816958197050842
pretrain,50,50,0.9888144171611841,0.9999999999997139,0.9999999999685711,0.444329959411621,0.3563345582253973,0.43159168267223785,0.2007820562745389375,0.2710689480856482844,0.2108200380294348941,0.60568807966196,0.292589005331308,0.7885536713974486,-0.0406309585233973
pretrain,55,55,0.15677262067235054,0.09486266719397153,0.15050527212062503,0.4737000749294933,0.4036173268306276,0.4652605204585407,0.20356484964428465,0.26093218278132885,0.2089820746459835,0.7190570298293154,0.26429264454289053,0.7984886577176185,-0.041303179213033635
pretrain,60,60,0.06616048798350097,0.01458459715465143,0.062279229270216986,0.4214878999399309,0.37164876510657024,0.41580737501531123,0.2270810354416291,0.2697778962909368,0.23090818921143053,0.6582204154956578,0.3824438091686161,0.7562333337390592,-0.049330516588629955
pretrain,65,65,0.17630912887594175,0.05025644979858238,0.1679550495535276,0.41250888010941394,0.363168410717632,0.4068094139727931,0.22968537643903336,0.2690106933701505,0.23297450867963287,0.6344792188122329,0.31510202882532296,0.7496182445094923,-0.04857016597952519
pretrain,70,70,0.11605608627342238,0.022951229096127138,0.10860535221672454,0.47158912782570167,0.39917567352048755,0.46309646244262725,0.2057479926870219,0.2708815858720469,0.21319817941054828,0.6573373244657963,0.4141607077994073,0.7932187509555203,-0.048430281251957724
pretrain,75,75,0.11510620561735549,0.03543152164571605,0.11510666506796174,0.4342366241363337,0.36838140994859236,0.426009168540138,0.22343785321864668,0.274968069076983,0.22835248787098789,0.7129898284558797,0.3643108823626847,0.8216410160855664,-0.04029281073806471
pretrain,80,80,0.22352399937407952,0.03403882087937716,0.21602098252920385,0.48141432129788003,0.42169443917613497,0.4739644202786173,0.2017356981668343,0.24720903906246589,0.20581446098966905,0.7021324435471585,0.2896489184175222,0.7945804964828376,-0.05000864763060961
pretrain,85,85,0.842520989838394,0.8325253539868716,0.840543680422086,0.4674912749176883,0.3681209889701537,0.4505010085383947,0.20271578747664973,0.2780444311997615,0.21382686832799305,0.6454543984193847,0.20331704289915845,0.7657150487585065,-0.054179277968056355
pretrain,90,90,0.1814656086922461,0.0785391271107058,0.16349425999779274,0.463632495397155,0.40041012357467765,0.4551098748845494,0.2040108174709413,0.2542697405320642,0.2092747554243482,0.7496272040451555,0.4222540220046148,0.8297528485231166,-0.052821046783631656
pretrain,95,95,0.22878847364070826,0.14032127745155037,0.2222390911135696,0.45569906021694057,0.3539757784004261,0.4404485900911905,0.20773918146301762,0.2932699782836692,0.2193754542499323,0.6968287644547017,0.48160412857595347,0.8058062078611852,-0.05677362639524852
pretrain,100,100,0.1941068445600808,0.10762508949137763,0.18854596601808127,0.4185696366512845,0.367486136000616,0.41428933843902427,0.22729104213218024,0.27127703197913816,0.2306490539091203,0.6932123361991548,0.3217523766799753,0.7838687453626942,-0.05664348216692075
pretrain,105,105,0.16160516511322517,0.06531505014851458,0.15475867224360262,0.41255762101607935,0.34443619155342287,0.4020735224812779,0.23127585993836863,0.2869450532011584,0.2381048176820152,0.6912098681818262,0.48375025742399635,0.7921427851593299,-0.06162426386323762
pretrain,110,110,0.18873698544664924,0.07604978176388069,0.1858635056611209,0.39695724119218423,0.330967025164622,0.3851431599115289,0.23732661960970236,0.2907009475319989,0.245000900337698,0.6645989346771585,0.3642568481968849,0.7693130576664166,-0.0609637251915839
pretrain,115,115,0.18529035462968693,0.0650440738865955,0.1847782843556451,0.4454182876974486,0.3713022051060186,0.4354472896351592,0.21346416708473548,0.27375827884245807,0.22116801236413947,0.74662064625735,0.5042930159002331,0.8404425828914147,-0.053564860119517124
pretrain,120,120,0.6907001948878185,0.9825244452717139,0.9839860580512125,0.42765217957798457,0.3647120121991648,0.4172042690829097,0.21371135330059302,0.2617660569106126,0.2208580616922189,0.7110074644634813,0.3424159491151691,0.8255464890394939,-0.05901976886108112
pretrain,125,125,0.02509697141943105,0.027055922956202377,0.025184404851570495,0.4324130907974868,0.37187125319148184,0.424054771212737,0.21444922856327056,0.25962129778982607,0.21931296186001015,0.7530499831709899,0.3988589920110304,0.8278756498859645,-0.06211163203797078
pretrain,130,130,0.23318915135486293,0.03318877150393043,0.21562473362118068,0.46050546279957144,0.39193422413995543,0.4512696792293507,0.20716356585023282,0.26390611885102244,0.21261562546371462,0.6857578474818691,0.4633249819665555,0.801309378449174,-0.06205056384008924
pretrain,135,135,0.27479759376713975,0.15409252948758848,0.26696113539305244,0.4466220401649306,0.4101584961086649,0.44786078070478097,0.20027178658844347,0.23567893073605528,0.20095509289123445,0.750211095050254,0.3833110168349176,0.8419105991235328,-0.05396040870557345
pretrain,140,140,0.29694417024249864,0.11289486588179896,0.28644042696659583,0.4191795649049429,0.3560276076214059,0.40806708872713215,0.2204917827216208,0.27304909109423514,0.22674551818809205,0.7200110958841904,0.5497409532240987,0.8247758521582159,-0.06471212208257593
