epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n
0,-3.473093925154209,-3.473093925154209,0.10999746190984927,-3.6096519177261364,-3.336535932582281,5,-3.2192469509124755,-3.2192469509124755,0.09173494242981826,-3.3331326658136446,-3.1053612360113063,5,0.014253204337214123,0.014253204337214123,0.001400396844666783,0.01251466075092221,0.015991747923506036,5,0.017215129834449946,0.017215129834449946,0.001437703764211365,0.015430271015482703,0.01899998865341719,5
5,-4.253963321692944,-4.253963321692944,0.04935166745460827,-4.315231686623055,-4.192694956762833,5,-3.603655788600445,-3.603655788600445,0.026441111008512264,-3.636481500921455,-3.5708300762794356,5,0.010243264038221168,0.010243264038221168,0.0008653913466114135,0.009168911021064957,0.011317617055377378,5,0.013674124567540358,0.013674124567540358,0.002470232520438395,0.010607417497031528,0.016740831638049188,5
10,-4.6489105976581575,-4.6489105976581575,0.04051116995249817,-4.699203794877447,-4.598617400438868,5,-3.649008041548729,-3.649008041548729,0.023756683272269135,-3.6785011309482556,-3.6195149521492027,5,0.009532853293708232,0.009532853293708232,0.000855936021303324,0.008470238731428785,0.010595467855987679,5,0.01306685904721582,0.01306685904721582,0.002793141466433437,0.009599271841084047,0.016534446253347594,5
15,-4.890131832013131,-4.890131832013131,0.029586652998456295,-4.926862624435438,-4.853401039590823,5,-3.6546690238475796,-3.6546690238475796,0.030792348890545464,-3.692896645449554,-3.6164414022456053,5,0.009382402522791017,0.009382402522791017,0.000838958440806392,0.008340865031483348,0.010423940014098685,5,0.01293252649354174,0.01293252649354174,0.0028073575523275373,0.009447290515172664,0.01641776247191082,5
20,-5.0548749973511695,-5.0548749973511695,0.01228407563373489,-5.070125246584369,-5.03962474811797,5,-3.64231553864479,-3.64231553864479,0.04114305200865937,-3.693393195283719,-3.5912378820058612,5,0.009290772036460138,0.009290772036460138,0.0009081526294371649,0.008163332385838959,0.010418211687081317,5,0.012939620288800396,0.012939620288800396,0.002792557109024934,0.009472758541904356,0.016406482035696435,5
25,-5.161365177435875,-5.161365177435875,0.02815192145044391,-5.196314800941424,-5.126415553930325,5,-3.648293186843395,-3.648293186843395,0.038898824723494915,-3.6965847139879147,-3.6000016596988758,5,0.009248488963900504,0.009248488963900504,0.000941665734572088,0.008079443968186655,0.010417533959614353,5,0.0129084042451322,0.0129084042451322,0.0027912043389594866,0.009443221914845793,0.016373586575418604,5
30,-5.270612471883297,-5.270612471883297,0.024641406196464464,-5.301203913775806,-5.240021029990787,5,-3.638062423837185,-3.638062423837185,0.037642729602561494,-3.684794552926369,-3.5913302947480013,5,0.009336545442666617,0.009336545442666617,0.0007826088610469291,0.008364963979076483,0.010308126906256751,5,0.012909775974416709,0.012909775974416709,0.0027695221883728793,0.009471511273931397,0.01634804067490202,5
35,-5.3581149411082265,-5.3581149411082265,0.023205398812481404,-5.386923630178349,-5.329306252038104,5,-3.627568174290657,-3.627568174290657,0.049819538673965914,-3.6894173849365544,-3.56571896364476,5,0.009201340278137116,0.009201340278137116,0.000879136111284018,0.00810992361751609,0.010292756938758143,5,0.012897394181572758,0.012897394181572758,0.0027934265519925982,0.009429453051714071,0.016365335311431445,5
40,-5.425902082467078,-5.425902082467078,0.028604674419364994,-5.461413782910525,-5.390390382023631,5,-3.630061155307293,-3.630061155307293,0.04795178740303879,-3.689591618231624,-3.5705306923829614,5,0.009184409281175724,0.009184409281175724,0.0008807128895146253,0.008091035105661497,0.010277783456689952,5,0.012911993445136974,0.012911993445136974,0.0027653731704961396,0.009478879604885665,0.016345107285388284,5
45,-5.472697926983833,-5.472697926983833,0.03320411526980763,-5.513919671991804,-5.431476181975862,5,-3.623222067916393,-3.623222067916393,0.049815156803057835,-3.6850658386231814,-3.561378297209605,5,0.009143314313034666,0.009143314313034666,0.0008808525754357148,0.008049766722346639,0.010236861903722692,5,0.012897281442404823,0.012897281442404823,0.0027703560141520253,0.00945798157644771,0.016336581308361936,5
