epoch,au_var,au_var_mean,au_var_std,au_var_ci95_low,au_var_ci95_high,au_var_n,eu_var,eu_var_mean,eu_var_std,eu_var_ci95_low,eu_var_ci95_high,eu_var_n,tu_var,tu_var_mean,tu_var_std,tu_var_ci95_low,tu_var_ci95_high,tu_var_n,rmse_energy,rmse_energy_mean,rmse_energy_std,rmse_energy_ci95_low,rmse_energy_ci95_high,rmse_energy_n
0,0.0005465225773084784,0.0005465225773084784,0.0003007516601810055,0.00017314993521376834,0.0009198952194031884,5,7.54195889342259e-05,7.54195889342259e-05,2.8090995058109925e-05,4.054560340874762e-05,0.00011029357445970417,5,0.0006219421635699837,0.0006219421635699837,0.0003078562794014285,0.00023974938579319729,0.0010041349413467701,5,0.01425334749870048,0.01425334749870048,0.0014002158319691106,0.012515028633326623,0.015991666364074338,5
10,0.00016348161991390953,0.00016348161991390953,1.3992358908951244e-05,0.000146110596885048,0.00018085264294277105,5,1.999041448635694e-05,1.999041448635694e-05,9.628508452531568e-06,8.036958807378081e-06,3.19438701653358e-05,5,0.00018347203451805856,0.00018347203451805856,1.7853164420606104e-05,0.00016130795680204145,0.00020563611223407567,5,0.009532898816272702,0.009532898816272702,0.0008556631946513154,0.008470622958716723,0.010595174673828681,5
20,0.00014875323525817067,0.00014875323525817067,1.806818914813027e-05,0.00012632221188146103,0.0001711842586348803,5,1.547209809620824e-05,1.547209809620824e-05,5.238665101714712e-06,8.968479034224063e-06,2.1975717158192416e-05,5,0.0001642253332847508,0.0001642253332847508,2.014594559719371e-05,0.0001392148481203681,0.00018923581844913353,5,0.009290839378252598,0.009290839378252598,0.0009079009633709466,0.008163712162229496,0.0104179665942757,5
30,0.00021616552406419714,0.00021616552406419714,0.00016023149391044837,1.724374191303422e-05,0.00041508730621536005,5,3.639865417928689e-05,3.639865417928689e-05,5.350676371317692e-05,-3.0028117082765708e-05,0.00010282542544133948,5,0.0002525641805133523,0.0002525641805133523,0.00021345662755912584,-1.2434739048425183e-05,0.0005175631000751298,5,0.009336574291378592,0.009336574291378592,0.0007825058727722156,0.00836512068412086,0.010308027898636322,5
40,0.00016283166644209243,0.00016283166644209243,5.572673075717695e-05,9.364888392449888e-05,0.00023201444895968597,5,1.8171204198473417e-05,1.8171204198473417e-05,1.5019563865815698e-05,-4.750577716675578e-07,3.6817466168614395e-05,5,0.00018100286983081446,0.00018100286983081446,7.014148946826712e-05,9.392466973887302e-05,0.0002680810699227559,5,0.009184504203217331,0.009184504203217331,0.0008806447913899682,0.00809121456913742,0.010277793837297242,5
50,0.0001533244965786446,0.0001533244965786446,4.6593209783669636e-05,9.548066013853393e-05,0.00021116833301875525,5,1.2607500371758818e-05,1.2607500371758818e-05,5.398304389712225e-06,5.905694730502303e-06,1.9309306013015333e-05,5,0.00016593199845690265,0.00016593199845690265,5.0722297193946935e-05,0.00010296204475816277,0.00022890195215564252,5,0.009127154322216927,0.009127154322216927,0.0008687940054940553,0.008048577023351367,0.010205731621082487,5
60,0.000148180403144612,0.000148180403144612,4.0970821020310286e-05,9.731656523949086e-05,0.00019904424104973313,5,1.1427222788315276e-05,1.1427222788315276e-05,3.961518140222133e-06,6.509136903666596e-06,1.6345308672963956e-05,5,0.00015960762496985465,0.00015960762496985465,4.3690023418860306e-05,0.00010536799261915721,0.0002138472573205521,5,0.009074959934094873,0.009074959934094873,0.0009160842314863395,0.007937673477602825,0.010212246390586922,5
70,0.00014197746304527812,0.00014197746304527812,3.512684657990829e-05,9.836871452464663e-05,0.0001855862115659096,5,1.1506493824578427e-05,1.1506493824578427e-05,4.97870994584436e-06,5.325599974867527e-06,1.7687387674289326e-05,5,0.00015348395759723533,0.00015348395759723533,3.915228353248195e-05,0.00010487777022734349,0.00020209014496712718,5,0.009044936215670596,0.009044936215670596,0.0009040816572786469,0.007922550534260444,0.010167321897080748,5
80,0.00013905689944991592,0.00013905689944991592,3.257694861864746e-05,9.861375985159221e-05,0.00017950003904823963,5,1.055037814551522e-05,1.055037814551522e-05,3.956745783421913e-06,5.63821697452047e-06,1.546253931650997e-05,5,0.00014960727748481248,0.00014960727748481248,3.5212586098745445e-05,0.0001058920863574772,0.00019332246861214776,5,0.009021007753230304,0.009021007753230304,0.0009188745836114375,0.0078802571724016,0.010161758334059008,5
90,0.00013559737381721874,0.00013559737381721874,2.993359103940722e-05,9.84358699803336e-05,0.00017275887765410387,5,9.802384236791075e-06,9.802384236791075e-06,3.4752276384726316e-06,5.488010961258161e-06,1.4116757512323988e-05,5,0.0001453997572804275,0.0001453997572804275,3.145546714965875e-05,0.00010634889760795544,0.00018445061695289953,5,0.00900395527396787,0.00900395527396787,0.0009066752447893473,0.007878349744591487,0.010129560803344253,5
