epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,nll_energy,rmse_e_atom
0,0.556322214413108,0.4714748291596848,0.5220109775571903,0.399629638180202,0.3781103870142386,0.4110627438305372,0.27621688615045814,0.28882871226343687,0.26797103477524437,0.21550033659344206,1.3138303078686109,0.35757416486918764,-0.06449231053678467,0.016350453906758513
5,0.2534384563503806,0.0912869405702646,0.1863166285410725,0.44349903733744234,0.5086382210660124,0.5023740509334784,0.2282148954176675,0.20600585610535949,0.201213099461434,1.2416464465880641,1.0708544231621755,0.23198992153989367,-0.09748560130052505,0.014601433810612996
10,0.18373345834669438,0.007473085745589954,0.11222209898052835,0.4324665340812674,0.5189264293945004,0.5158649024550006,0.23454998203246996,0.20385209897513157,0.19931634794235742,4.124697908632233,0.9604338910277134,0.30516687080897753,-0.10143200023047393,0.014381836484824993
15,0.2107805864665308,0.04878396723040549,0.14614735884321567,0.4315833167520859,0.5239692260931011,0.5222392657729132,0.2368045911420124,0.20097826426629417,0.1966269761882099,7.179756039555785,0.8194805020537131,0.35347658021545036,-0.10261536694248206,0.014246354483008915
20,0.17881328331845073,0.005998476759974584,0.08512576194863174,0.43158645010353675,0.526781150440332,0.527111228957705,0.24003227374494537,0.20216837269604426,0.19746288712958207,10.595758016335912,0.8643748050202493,0.405312236659068,-0.10201378200199833,0.014198275724012341
25,0.23456306111011307,0.06694869935640839,0.13245932451832376,0.4280845495283342,0.5322208571531154,0.5317976012621491,0.24289580205764494,0.1989620404085357,0.19625096407947468,13.536705609248573,0.8113994542631517,0.44225115189269837,-0.10155762945312599,0.014215260959552795
30,0.1945856586049782,0.052275012736702244,0.110487989606174,0.4174759764185645,0.5290658068199614,0.5292112619070755,0.2459396543565609,0.19986423882097407,0.1951236481042057,16.24322830739797,0.8832198974864549,0.4750203547308243,-0.10118839067256777,0.014200522077332023
35,0.26388275016972623,0.13921066420187667,0.18537211315256966,0.41176359554327235,0.5299914177113174,0.5296571946039879,0.2469744078387588,0.19808812005606996,0.1941410661210568,19.65720224583216,0.8938680611308946,0.5216102604971696,-0.10099911839324249,0.014313766249414864
40,0.30734571079782774,0.15439164357861082,0.20893571966288013,0.41946704415985026,0.5356804034844336,0.5362915783262237,0.24446472865363564,0.19600072924502654,0.19279974613446255,21.755823252612064,0.871914711465145,0.5407326281634347,-0.10089617004816924,0.014258296416183258
45,0.2695719013495554,0.12018254273146825,0.17460932910830892,0.4157110929721956,0.5376087965806181,0.5361136417318666,0.24576973281347333,0.1963208329962691,0.19311212343871142,24.836925670000003,0.8747045168073165,0.5607149182711146,-0.1004921151694216,0.014223831010374575
50,0.2565990828301501,0.10574708399033714,0.1610442836635518,0.4122087343882065,0.5330018717097162,0.5322404159153193,0.2474760641353766,0.19790908875318722,0.1946858419111722,28.38138269695295,0.8823963580635407,0.5820169788947385,-0.0999778249978397,0.014256471753768438
55,0.4676734043332768,0.33926743320825203,0.37780346137169246,0.4156297859125627,0.5355233453348166,0.5367257879523517,0.245987930897518,0.19527526297471898,0.1918333870563981,37.102990333060646,0.9258549329907352,0.6447430788088059,-0.09872654223786667,0.014502095835076662
60,0.3926195266416194,0.25734305931601353,0.30026322985319776,0.4143440870712451,0.5337037850603769,0.5336199785211354,0.24701845549258164,0.19719381221271837,0.1939450378853885,41.128197578386725,0.9011062373161931,0.6487044090157477,-0.09843923453118114,0.014370031981972247
65,0.33706660704468994,0.2001225053013089,0.2439398578760165,0.41143032766249293,0.5368051886048402,0.5361491145485131,0.24764888088654263,0.19390648543992053,0.19156038978721152,45.127000435911526,0.8713829246141843,0.6394137528678018,-0.0997692117497456,0.014304172667546916
70,0.5864289508788695,0.46617196038180675,0.49684915346703773,0.4105989815846268,0.5379864334744963,0.5368071252205752,0.2471911466528316,0.19407168384613577,0.19133541379288777,48.14132675973013,0.8985286854852421,0.6644388386787706,-0.09876253375319576,0.01467340615727123
75,0.9049288733392716,0.8650497724834592,0.8745711947656193,0.4149820880144309,0.5329405685398642,0.5341983525290488,0.24394728496131662,0.19503931776224664,0.19124622029641214,50.5419523394803,0.9285460719119584,0.6741306990410215,-0.09741063901478773,0.016003117045665646
80,0.890421242071869,0.8449814470149862,0.8556609145700171,0.4124603419951684,0.5384139213608012,0.5380805856817281,0.24427064825487074,0.1921582200582016,0.18973951162846814,53.83685259921642,0.901029676040041,0.682714966740659,-0.09878403005977052,0.015854220985698844
85,0.9025752612673374,0.8610040358589128,0.8706322736689357,0.41994461733008476,0.5359139830246151,0.5367247535289051,0.24110491833376052,0.19279004216291928,0.18976398108238593,56.71820493971468,0.9086249643151618,0.6832142205156703,-0.09809308110539677,0.015946441869723688
90,0.9172678486729855,0.8813807893025806,0.889460557642343,0.41387064558065884,0.5367643205323834,0.5362549095807405,0.24273420389380498,0.19278745735739855,0.19009927832393247,58.861259195317494,0.9402631872633547,0.7047015260679614,-0.09798397115508951,0.016127630256104513
95,0.9281354648704613,0.8947909575993466,0.9022372272686806,0.4138661065744143,0.5367021588181907,0.5367404332894896,0.2431555231635748,0.19273250999813238,0.18985245124066702,61.169513600597874,0.9214415314798774,0.7046330135194583,-0.09748221442073118,0.016311529165197396
