phase,split,mean_au,mean_au_mean,mean_au_std,mean_au_ci95_low,mean_au_ci95_high,mean_au_n,mean_eu,mean_eu_mean,mean_eu_std,mean_eu_ci95_low,mean_eu_ci95_high,mean_eu_n,mean_tu,mean_tu_mean,mean_tu_std,mean_tu_ci95_low,mean_tu_ci95_high,mean_tu_n,rmse_energy,rmse_energy_mean,rmse_energy_std,rmse_energy_ci95_low,rmse_energy_ci95_high,rmse_energy_n
finetune,id,0.0001054705567600438,0.0001054705567600438,1.924696163005355e-05,8.157612867348369e-05,0.0001293649848466039,5,6.224358882243244e-05,6.224358882243244e-05,3.3201810861932804e-06,5.812170040579399e-05,6.636547723907089e-05,5,0.00016771414563375247,0.00016771414563375247,2.2251996349454364e-05,0.00014008907229624427,0.00019533921897126066,5,0.011021657462631573,0.011021657462631573,0.0006778365504337101,0.010180147149466617,0.011863167775796529,5
finetune,ood,0.00016390459387118675,0.00016390459387118675,7.068460725293201e-05,7.615213209069167e-05,0.0002516570556516818,5,9.427642586302277e-05,9.427642586302277e-05,2.563836943356046e-05,6.24472890640855e-05,0.00012610556266196005,5,0.0002581810195411946,0.0002581810195411946,9.614812853936822e-05,0.00013881648880643464,0.00037754555027595454,5,0.019404239716613078,0.019404239716613078,0.009654893114841042,0.0074180284043940375,0.03139045102883212,5
pretrain,id,0.0001561826135246226,0.0001561826135246226,3.218594263777288e-05,0.00011622489414331817,0.000196140332905927,5,7.198579337379137e-05,7.198579337379137e-05,2.096798884049078e-06,6.93826910706903e-05,7.458889567689243e-05,5,0.00022816840704443608,0.00022816840704443608,3.299452703496927e-05,0.0001872068584820855,0.0002691299556067867,5,0.9275760365917083,0.9275760365917083,0.007104206356274091,0.9187564134659982,0.9363956597174183,5
pretrain,ood,0.0002128654537784608,0.0002128654537784608,0.00011568427188415131,6.924748599669456e-05,0.00035648342156022704,5,9.660408357582596e-05,9.660408357582596e-05,1.9001623051195333e-05,7.301423473361955e-05,0.00012019393241803237,5,0.00030946953785325715,0.00030946953785325715,0.00012812050017238787,0.00015041242865203113,0.00046852664705448316,5,0.927664956218823,0.927664956218823,0.0048182560694606125,0.9216832602313073,0.9336466522063386,5
