epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,nll_energy,rmse_e_atom,magnitude_aleatoric,magnitude_epistemic,magnitude_total
0,0.9446342414024308,0.9987280030702257,0.9975634648214291,0.5422235933305215,0.5031717754899037,0.5510907311456341,0.07074206526688574,0.09115609601051562,0.07019207961923354,3.168136779786244,7.992635461628069,1.367090524204484,0.04202912847670668,1.4476643325071932,1.0428388113997247,10.712300016805912,11.755138984460615
5,0.9541529623304571,0.9995486558052701,0.999135616113978,0.6290679848366256,0.5950931728618628,0.6427436680590489,0.04787331178643671,0.061958054611392144,0.046743453122476575,10.011661039031546,10.928015082568736,3.426124736081977,0.07889748900426766,1.853527541838523,1.307141991241206,23.766596785463737,25.07373865204959
10,0.9511103551872938,0.9996259718456026,0.9992643943848565,0.6254000996310897,0.6075375787643943,0.6457380772199162,0.04393955917486187,0.05734033832780154,0.04359186972645401,17.795734010444033,10.495756654614576,4.136487042992516,0.09915499970931814,1.9632438795984881,1.372206492744749,27.189059793257503,28.561265614224617
15,0.9501039065661517,0.9996583323208509,0.9994088101701868,0.6288404695781172,0.6154665562920578,0.6503612600333621,0.03876658984144958,0.050986201482094214,0.03900565191686031,26.771561784191594,10.25609172601489,4.240923992418526,0.10700591984206985,2.238837824811105,1.381187537431091,36.14792730690675,37.52911471314001
20,0.9540474464098904,0.9994675499632808,0.9992002877782075,0.6274475601955715,0.6154286462263401,0.6510946392894928,0.037121743786125906,0.0492352120486063,0.03756563759212611,36.510198676541435,10.181808836194252,4.5372058648390645,0.10990601900355541,2.3076641630517236,1.3978926902777318,38.63214939038162,40.03004094468528
25,0.9568178724218394,0.9992509137189468,0.9989970459898296,0.6258366043686853,0.6124861309902725,0.6495289803885864,0.03603238663543699,0.04871178104660083,0.03675710508958113,45.146461323083706,10.184638092002716,4.601523666929469,0.11265621591702657,2.401168095185426,1.3151546456041607,41.70603957100921,43.02119437152493
30,0.9577294198712362,0.9993395895379064,0.9991114647361545,0.6245096317670863,0.6186240159534959,0.6526141394324126,0.03619650841750445,0.04740838822439781,0.036426878210758365,58.394962437493966,9.5100345567994,4.659156838613275,0.11497836237378069,2.420666265350452,1.3182316209975389,43.04911514581317,44.36734787993414
35,0.9568673429815414,0.999125833415713,0.9988483641263632,0.6254924068528638,0.615055817000519,0.6494065382457307,0.03850807743999015,0.051339392071476406,0.03969611637957496,68.90546141379208,9.51966589564473,4.766529758420985,0.12025504465399718,2.220640342449342,1.1550274474493814,35.42452283987838,36.579551557613485
40,0.9587255542674452,0.999207599786764,0.9990093639766301,0.6232477656731447,0.6182045921252002,0.6503702521872088,0.035318460615777855,0.0464346647595317,0.03607615272843728,80.8546593032698,9.61621393860492,4.7335943199695745,0.12348707641066393,2.501431517425246,1.191605410931373,45.8318650891679,47.023471649058905
45,0.9583756776440127,0.9990936550683975,0.998828507646161,0.6260909261627348,0.6152735612505998,0.6479725330127518,0.03841946044940299,0.051276130449750545,0.039949432713886054,93.21803958802957,9.77592826092135,4.990484835753659,0.1337005582331469,2.220308228311649,1.1222401223238765,34.99933586101422,36.12157560188633
50,0.9578082310484858,0.9991462407739219,0.9989162706183201,0.6254925341397746,0.6234076664576909,0.6536869434960582,0.034127000305957764,0.04446854949093214,0.034867277612894564,104.40679836582223,9.572407470588136,4.913910633822332,0.12942345799801552,2.5652710627537174,1.3878864049238313,48.55616031754589,49.94404608772176
55,0.9564373706249926,0.9989034793742939,0.9985929699032989,0.6221923706763867,0.6171398717394674,0.64837056610514,0.038809582714607965,0.050644338593864455,0.039762898090901035,125.7779699971168,9.492160366071854,4.955566471861167,0.13384587924854133,2.1977981495534085,1.1565951452847765,34.141632302311834,35.29822775351737
60,0.9547894420578187,0.9990813101847864,0.9987928632016789,0.6184072512345422,0.6176651684787632,0.6484274362857815,0.03770005181404032,0.04932238385036906,0.038521563210618476,141.0933958781972,9.583764900944583,4.924254040175437,0.13251371497120534,2.246726224828909,1.208153312084663,36.50942605068156,37.71757834114195
