epoch,au_var,au_var_mean,au_var_std,au_var_ci95_low,au_var_ci95_high,au_var_n,eu_var,eu_var_mean,eu_var_std,eu_var_ci95_low,eu_var_ci95_high,eu_var_n,tu_var,tu_var_mean,tu_var_std,tu_var_ci95_low,tu_var_ci95_high,tu_var_n,rmse_energy,rmse_energy_mean,rmse_energy_std,rmse_energy_ci95_low,rmse_energy_ci95_high,rmse_energy_n
0,0.0001326878273398506,0.0001326878273398506,6.0235036817566664e-05,5.790814090449905e-05,0.00020746751377520218,5,3.2061036321731535e-05,3.2061036321731535e-05,2.5278851934978063e-06,2.892275547885829e-05,3.519931716460478e-05,5,0.00016474886384308776,0.00016474886384308776,6.263990752648501e-05,8.69836147347168e-05,0.00024251411295145872,5,0.00900101927297256,0.00900101927297256,0.0003833591090277343,0.008525092379260274,0.009476946166684846,5
10,2.2379810117422493e-05,2.2379810117422493e-05,7.354492460824478e-06,1.3249465567666663e-05,3.1510154667178324e-05,5,5.884165066761966e-06,5.884165066761966e-06,2.615876121782435e-06,2.6366465712878175e-06,9.131683562236114e-06,5,2.8263975254340044e-05,2.8263975254340044e-05,9.357432358743536e-06,1.6647051042171498e-05,3.988089946650859e-05,5,0.0022604736337871875,0.0022604736337871875,0.0006435917431821967,0.001461477048239982,0.003059470219334393,5
20,1.3092271615021217e-05,1.3092271615021217e-05,6.050513925599331e-06,5.580770700704616e-06,2.0603772529337815e-05,5,3.0708471102846597e-06,3.0708471102846597e-06,7.220981470826883e-07,2.1743875766425386e-06,3.967306643926781e-06,5,1.6163118755694088e-05,1.6163118755694088e-05,6.543714611087484e-06,8.039326481413572e-06,2.4286911029974605e-05,5,0.0018124925745807512,0.0018124925745807512,0.0007101499756465043,0.0009308662768869991,0.002694118872274503,5
30,1.0549580449304585e-05,1.0549580449304585e-05,5.542939720004308e-06,3.668215116244891e-06,1.7430945782364278e-05,5,2.4123412241036135e-06,2.4123412241036135e-06,6.516198464672902e-07,1.6033780297843711e-06,3.221304418422856e-06,5,1.296192169835649e-05,1.296192169835649e-05,5.9435878122598456e-06,5.58316580503979e-06,2.0340677591673192e-05,5,0.0016969013688217158,0.0016969013688217158,0.0007348816818081043,0.0007845715249945556,0.002609231212648876,5
40,9.368015862218044e-06,9.368015862218044e-06,5.289182737159497e-06,2.8016809269214976e-06,1.5934350797514592e-05,5,2.156728055702004e-06,2.156728055702004e-06,6.322139378702238e-07,1.3718566165563635e-06,2.941599494847644e-06,5,1.1524743895698747e-05,1.1524743895698747e-05,5.65318515547504e-06,4.506512719584968e-06,1.8542975071812524e-05,5,0.0016243366673337558,0.0016243366673337558,0.0007593126301295644,0.0006816766576874845,0.002566996676980027,5
50,8.35289915055398e-06,8.35289915055398e-06,4.628559405688064e-06,2.6067049205571097e-06,1.4099093380550852e-05,5,1.947766329206573e-06,1.947766329206573e-06,6.073691627830461e-07,1.1937388073013745e-06,2.701793851111772e-06,5,1.0300665479657028e-05,1.0300665479657028e-05,5.0053515944454325e-06,4.086696957234581e-06,1.6514634002079475e-05,5,0.0015960949680660045,0.0015960949680660045,0.0007741893162679671,0.0006349660741390403,0.0025572238619929687,5
60,7.73654256770783e-06,7.73654256770783e-06,4.457679023087232e-06,2.2024903418329935e-06,1.3270594793582666e-05,5,1.6858219005060707e-06,1.6858219005060707e-06,6.151013344709882e-07,9.22195158531665e-07,2.4494486424804763e-06,5,9.422364447647735e-06,9.422364447647735e-06,4.814545451461831e-06,3.445275062287447e-06,1.5399453833008025e-05,5,0.0015559515834642228,0.0015559515834642228,0.0007881203737539862,0.0005775277700758074,0.002534375396852638,5
70,7.557958869935248e-06,7.557958869935248e-06,4.451915409765468e-06,2.0310619679334842e-06,1.3084855771937013e-05,5,1.6654571590278878e-06,1.6654571590278878e-06,5.692165846461273e-07,9.58794725292553e-07,2.372119592763223e-06,5,9.22341595466662e-06,9.22341595466662e-06,4.835298912535195e-06,3.220561874977103e-06,1.5226270034356136e-05,5,0.0015366287149329804,0.0015366287149329804,0.0007903148179854959,0.0005554805759659294,0.0025177768539000316,5
80,7.318612787585152e-06,7.318612787585152e-06,4.2814129644519745e-06,2.0033886938132547e-06,1.263383688135705e-05,5,1.5909704349441967e-06,1.5909704349441967e-06,6.357155945755757e-07,8.017518117630668e-07,2.3801890581253266e-06,5,8.909583101782915e-06,8.909583101782915e-06,4.6783946792249e-06,3.1015201268595405e-06,1.471764607670629e-05,5,0.0015236806400588888,0.0015236806400588888,0.0007904608791135504,0.0005423511713220995,0.0025050101087956784,5
90,7.249154934499131e-06,7.249154934499131e-06,4.306473491193018e-06,1.9028190753725315e-06,1.2595490793625732e-05,5,1.5375783052164316e-06,1.5375783052164316e-06,6.84780636336368e-07,6.874471528552839e-07,2.3877094575775794e-06,5,8.786733337674376e-06,8.786733337674376e-06,4.764734775554546e-06,2.8714821601458684e-06,1.4701984515202883e-05,5,0.0015177311515239935,0.0015177311515239935,0.0007919408333550313,0.0005345643714819617,0.002500897931566025,5
