epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,nll_energy,rmse_e_atom
0,0.4530211102967069,0.4538052092510575,0.4867569695993535,0.29351280169699395,0.27679161956790926,0.30374241863816454,0.34076305829824716,0.3410534362798227,0.32949438919234586,0.41535718756670803,1.1469405162435395,0.5526658760953223,-0.07418571777636934,0.008977201918034415
5,0.7470534216423321,0.5286432943031457,0.7181413104186309,0.31749976267881613,0.2901828904408143,0.3238051180077737,0.33166219347234016,0.35859751691265424,0.32832986394303565,0.7907069931235384,0.2588831036725506,0.8352595393999401,-0.14438979725431417,0.0024028387373869627
10,0.9012139886144218,0.8512338355720611,0.9059640198505727,0.22887460292543246,0.2397795040225242,0.2468896990350796,0.39412478584949584,0.39841308382827223,0.38152070101601443,0.7956233219375264,0.36734755597109536,0.8528771455732067,-0.17745628355490045,0.0015578777370356908
15,0.941885522790092,0.887095824009459,0.9463609562365202,0.15924740069345972,0.22098156596098104,0.1934061591586608,0.4399301346162686,0.3986942077455345,0.4122824774727187,0.8041104617698583,0.4958007695016008,0.8711179094358638,-0.1992620089754928,0.0012615669848634265
20,0.941236322464449,0.8899415904683328,0.9489543938157032,0.21329196514726473,0.235072531481925,0.23796016224067323,0.40421170994454625,0.3807744893488464,0.38080928227296373,0.8545420436081375,0.6661471694002123,0.9072119278049496,-0.21385701755618067,0.0010750595616873264
25,0.9514271986736808,0.9255081245889982,0.9609856311580488,0.2450962737725151,0.25377788875469903,0.2674842670843933,0.3795362395885234,0.366074141026536,0.36036026764942164,0.870652493128445,0.6961654864429054,0.9165100730299529,-0.2247123851897195,0.0010005282118998673
30,0.9499181976938686,0.9266294871881487,0.9629085107705061,0.29653804389424154,0.2714163202436293,0.30680717006780533,0.35002193987652536,0.36595708409168837,0.33755699593005734,0.8639153480765842,0.730573239362533,0.9171382687531313,-0.23086948056230322,0.0009593753425616171
35,0.9326873451677912,0.9171126405641123,0.9548377551981517,0.3198687938544301,0.3026535329318733,0.33403203053206093,0.3319480946164278,0.3385837147811318,0.31552286365780313,0.8814748377414392,0.7752572407377482,0.9289664320209492,-0.23800644149299477,0.0009040157115833447
40,0.944263526321964,0.9265106723381187,0.9610619533306753,0.3036971879714246,0.2999951010102954,0.32168320015634433,0.3351355840239036,0.33900296556365417,0.32123018438765827,0.881560921305658,0.7585039991965175,0.9272514986630311,-0.2438173959854059,0.0008739638175023134
45,0.9460420369567482,0.9253429433917728,0.9600201833382203,0.15379902358473202,0.17395437665637012,0.16532923371023628,0.4089381312141501,0.39518266050239825,0.3979682506994352,0.8483372697117472,0.7297845521296552,0.9098971012791685,-0.24712929482273757,0.0008681141760688939
50,0.9473002012882508,0.9344200961418833,0.9623237901211565,0.22991064050019694,0.26105894119570516,0.2546129390145911,0.381926261248556,0.3503546350805397,0.36090448506323225,0.8838020518640218,0.7732893804610209,0.9292933429826397,-0.2540953732172027,0.0008380825405367601
55,0.9477317297427882,0.9279900719100532,0.9631231276738678,0.3203157662850798,0.3466147695417277,0.3478767634253518,0.30967017015442155,0.28412623561162254,0.28585706594940374,0.9075002584995115,0.7533691461756037,0.9377414537215668,-0.268660682336567,0.0008141347173537406
60,0.9528307480627778,0.9290121529720475,0.9653461262094627,0.32056117190090755,0.3201216231330312,0.34126811434569165,0.3108883455065177,0.3064578303506898,0.2938328816130764,0.8977713064766468,0.773275568693688,0.935683797111935,-0.270893627453479,0.0007890666982803455
65,0.9505431624379881,0.9320747208961602,0.9640379391578897,0.33450062537097647,0.3511568073127775,0.35954965809796396,0.2918420724625516,0.28884807002560753,0.2756471651846508,0.8587538587777118,0.725816341745592,0.9149246602661308,-0.2720313437045319,0.0007933881876496908
70,0.9499350260544189,0.9283846739864943,0.9641250965533844,0.38604003535710335,0.34742643251500305,0.39448965195708985,0.27406210805384884,0.30616241663209043,0.27069143854857386,0.8940669716496183,0.8099030086254074,0.9389707565815212,-0.27179200318888763,0.0007635398333513613
75,0.9360993310673831,0.9252783330185264,0.9541678206184809,0.4002336029994546,0.38976553092547506,0.4230648906578243,0.2651195160906379,0.26920496858094733,0.24711674296994665,0.8950396436437473,0.7888901798759705,0.9358148172421779,-0.2786186018803157,0.0007759793530425278
80,0.934085641232048,0.9265355737613182,0.9531866444698169,0.4078990964682907,0.36023436951389187,0.4077985726905052,0.264854261153479,0.2909128837211585,0.2627280490003003,0.8883726090967611,0.806519780273224,0.9353193971654992,-0.27753854984170756,0.0007663985001661186
85,0.9386340359740661,0.9374998732225901,0.9575187791690807,0.2885155000055909,0.2928342637524542,0.307903550180092,0.32354265932225024,0.332461024262568,0.31971728424299806,0.883288861581632,0.792688551201177,0.9319839944428262,-0.28086996483220716,0.0007520388888706819
90,0.9391084131387222,0.9327853491439906,0.9562481938859807,0.3914168300473913,0.379984640955865,0.4067424242749808,0.26114153928371664,0.2658666519903756,0.250835629862053,0.9044158882695202,0.8098106580074569,0.9424967681345358,-0.2834864253206644,0.0007582640556093293
95,0.9481070623454985,0.9292413410801476,0.9640301630621008,0.3988330442263079,0.3673245595329458,0.4045054440944115,0.2584622168466838,0.2856287075884691,0.2562744448944676,0.9015025345921788,0.8195041771748477,0.9421458959049335,-0.2824260123184882,0.0007394688152698011
