phase,split,mean_au,mean_au_mean,mean_au_std,mean_au_ci95_low,mean_au_ci95_high,mean_au_n,mean_au_geometric_mean,mean_au_geometric_ci95_low,mean_au_geometric_ci95_high,mean_au_geometric_n,mean_eu,mean_eu_mean,mean_eu_std,mean_eu_ci95_low,mean_eu_ci95_high,mean_eu_n,mean_eu_geometric_mean,mean_eu_geometric_ci95_low,mean_eu_geometric_ci95_high,mean_eu_geometric_n,mean_tu,mean_tu_mean,mean_tu_std,mean_tu_ci95_low,mean_tu_ci95_high,mean_tu_n,mean_tu_geometric_mean,mean_tu_geometric_ci95_low,mean_tu_geometric_ci95_high,mean_tu_geometric_n,rmse_energy,rmse_energy_mean,rmse_energy_std,rmse_energy_ci95_low,rmse_energy_ci95_high,rmse_energy_n,rmse_energy_geometric_mean,rmse_energy_geometric_ci95_low,rmse_energy_geometric_ci95_high,rmse_energy_geometric_n
finetune,id,4.4664750968105644e-05,4.4664750968105644e-05,1.801848069266156e-06,4.2427819760908784e-05,4.6901682175302504e-05,5,4.463567522265137e-05,4.2454688780766896e-05,4.692870351424169e-05,5,3.24651203266672e-05,3.24651203266672e-05,1.1637185304484153e-06,3.10204045697979e-05,3.3909836083536494e-05,5,3.244797369037345e-05,3.10069012407949e-05,3.395602122362151e-05,5,7.712987128978038e-05,7.712987128978038e-05,2.3625702740824354e-06,7.41968231236034e-05,8.006291945595737e-05,5,7.710075207254708e-05,7.421092095837271e-05,8.010311546311154e-05,5,0.007158722047522356,0.007158722047522356,0.0002101575195872381,0.0068978188548446066,0.0074196252402001055,5,0.0071562954580390685,0.006903301275576992,0.007418561444498183,5
finetune,ood,0.0005037880344499548,0.0005037880344499548,8.299025435465368e-05,0.0004007585432150265,0.0006068175256848832,5,0.0004987690171497624,0.00041142157017457935,0.0006046608892260528,5,0.00016538461428468285,0.00016538461428468285,8.833059133502482e-06,0.00015441868104770675,0.00017635054752165896,5,0.0001651995132819712,0.00015474296134339346,0.00017636265295478218,5,0.0006691726492376847,0.0006691726492376847,8.1332817411822e-05,0.0005682008078593788,0.0007701444906159905,5,0.0006654711297060369,0.0005762647325764811,0.0007684867725502432,5,0.05638648546181794,0.05638648546181794,0.0028666335292010002,0.052827660436310535,0.05994531048732534,5,0.05632789788653897,0.052868841384666965,0.06001327052414935,5
pretrain,id,5.095354213436723e-05,5.095354213436723e-05,3.3708828930782407e-06,4.676870920203028e-05,5.5138375066704175e-05,5,5.0865354917223955e-05,4.688479434016356e-05,5.5183868613854167e-05,5,3.644691754925474e-05,3.644691754925474e-05,8.696436362356257e-07,3.536728546361063e-05,3.7526549634898846e-05,5,3.643852056208341e-05,3.5365695338481215e-05,3.754389014680678e-05,5,8.740045971504202e-05,8.740045971504202e-05,4.160089278692263e-06,8.223585472366679e-05,9.256506470641725e-05,5,8.732149132690565e-05,8.231992403003434e-05,9.262694223056948e-05,5,0.9327021215302451,0.9327021215302451,0.0009040528923895099,0.9315797715594364,0.9338244715010539,5,0.932701770731159,0.9315794110308135,0.9338254826418283,5
pretrain,ood,0.0005636610794879358,0.0005636610794879358,5.7310322967243246e-05,0.0004925123227605334,0.0006348098362153381,5,0.0005612960123952093,0.0004939521329332628,0.0006378213444688766,5,0.00016613761510159912,0.00016613761510159912,3.572488169375369e-06,0.00016170249628679693,0.0001705727339164013,5,0.0001661070589973693,0.00016174921824417828,0.00017058230851603267,5,0.0007297986949728731,0.0007297986949728731,5.7081664637333035e-05,0.0006589338095455465,0.0008006635804001998,5,0.0007279901247109919,0.000659952668467785,0.0008030418649676171,5,0.9500395088433697,0.9500395088433697,0.003299086909873126,0.9459438081070943,0.9541352095796451,5,0.950034921286485,0.945944696783638,0.9541428317455412,5
