phase,source_epoch,epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,nll_energy,rmse_e_atom
pretrain,0,0,0.38681374054711387,0.3539572126013324,0.39677953348094847,0.5899361114886756,0.5341919748234882,0.6046178028525625,0.08264630509416612,0.0915779243545427,0.07783044547968099,261.7866906403934,971.4280709442504,192.18515255132226,6.45472246696949,0.9405731898000461
pretrain,5,5,0.3920978317809392,0.27905524237267504,0.37485036234511837,0.6260604085979458,0.5361768389238484,0.6205176757573299,0.07202801497187633,0.09938179261452888,0.07549212475476552,2339.4154013208,7706.218646739619,1699.8429371206912,53.69226607484818,0.9328343584408589
pretrain,10,10,0.343890100629192,0.29127262069070736,0.3202852573173608,0.5837497215657214,0.4711827942651339,0.5667681344503821,0.07967631316681045,0.10798401842073574,0.082992676670028,3790.8919456228264,10332.884751568203,2627.56846198562,86.61816879463196,0.9345284424916459
pretrain,15,15,0.3761649953261987,0.417723465541888,0.4024670564109612,0.5812306568328764,0.5323494718682411,0.5825384320869909,0.07791042916874147,0.09374707773590367,0.07872877242170483,4597.590120431224,12885.708745761156,3214.326261381823,104.81106893815995,0.9347086944619484
pretrain,20,20,0.2643394735429611,0.1677667738913908,0.211331732895605,0.5860428673679778,0.4304384502959361,0.562461527658407,0.07684782516715705,0.11522699405315588,0.08100668136315917,6704.830089315227,18162.54988734371,4625.737482963704,152.73085845432283,0.9347206811442093
pretrain,25,25,0.3893545951925442,0.4008131276471123,0.4059390014026407,0.5713515588794174,0.5500822896827453,0.588346668256866,0.07895555919173892,0.0858244680571259,0.07386986997235151,8776.501735873904,21073.351515913007,5814.633668951158,191.13207445058822,0.9340227167148193
pretrain,30,30,0.38721370473593786,0.38989794359258456,0.4192425231345806,0.5650604573573551,0.5232626705686698,0.5712891018713702,0.07870837741857721,0.09359698090981637,0.0778541858687363,9973.51298334345,25536.11882769679,6772.733296250142,222.9818102919817,0.9347234942398494
pretrain,35,35,0.21049668697903842,0.23054145416167682,0.21440739925540675,0.545967776242867,0.5042159260283358,0.5538695003609715,0.08258865633612467,0.09683267452260128,0.08093532280572321,9821.130744331253,24439.99263560299,6574.751265152888,218.02493391337396,0.9343940838671796
pretrain,40,40,0.37932139704900886,0.39031302120592154,0.41535278462385283,0.5356256984769963,0.5062974108919619,0.5442413687328855,0.08355158682953062,0.10191099380522486,0.08507693405332248,11245.363553027475,26359.934095931156,7378.220425162711,241.10835230989457,0.9351891551749775
pretrain,45,45,0.35878959083875256,0.5252288032610984,0.4388638444687786,0.5380534932311912,0.5025895339944932,0.5451183060342639,0.08267586609314032,0.09989561009244402,0.08151237394720731,12027.760753051156,21610.564961128966,7311.960684347296,243.13428364725112,0.9340119900045196
