metric,bin_index,bin_left,bin_right,bin_center,density_mean,density_std,density_ci95_low,density_ci95_high,density_n
aleatoric_var,0,6.738473985024029e-06,0.001401275502257704,0.000704006988121364,669.5969765208645,4.481940592572907,664.0328044070569,675.161148634672,5
aleatoric_var,1,0.001401275502257704,0.002795812530530384,0.002098544016394044,19.06429018868629,2.973448906588107,15.372857616981586,22.75572276039099,5
aleatoric_var,2,0.002795812530530384,0.004190349558803064,0.0034930810446667238,9.300360411198021,0.4738671898860668,8.712070908213157,9.888649914182885,5
aleatoric_var,3,0.004190349558803064,0.005584886587075744,0.004887618072939404,5.128236114585826,1.38798921435646,3.4050961663264068,6.851376062845246,5
aleatoric_var,4,0.005584886587075744,0.0069794236153484235,0.006282155101212083,3.7085549303219536,0.33350525817258314,3.294519844625558,4.122590016018349,5
aleatoric_var,5,0.0069794236153484235,0.008373960643621104,0.007676692129484764,2.288873746058079,0.4148314523100078,1.7738750415463378,2.8038724505698203,5
aleatoric_var,6,0.008373960643621104,0.009768497671893783,0.009071229157757443,1.5355735258364347,0.3173842486069271,1.1415521083310662,1.9295949433418031,5
aleatoric_var,7,0.009768497671893783,0.011163034700166464,0.010465766186030123,0.9850849033667682,0.37497486039826444,0.5195667603855002,1.4506030463480362,5
aleatoric_var,8,0.011163034700166464,0.012557571728439144,0.011860303214302804,0.8981656471873475,0.401985245824586,0.3991150576534899,1.397216236721205,5
aleatoric_var,9,0.012557571728439144,0.013952108756711823,0.013254840242575484,0.811246391007928,0.2196992977660521,0.5384974152453528,1.0839953667705031,5
aleatoric_var,10,0.013952108756711823,0.015346645784984504,0.014649377270848163,0.7243271348285061,0.14486542696570126,0.5444817860719634,0.9041724835850488,5
aleatoric_var,11,0.015346645784984504,0.016741182813257184,0.016043914299120846,0.40562319550396336,0.3140607617496781,0.015727770414102282,0.7955186205938245,5
aleatoric_var,12,0.016741182813257184,0.018135719841529865,0.017438451327393523,0.46356936629024387,0.27865421249432637,0.11762993078651146,0.8095088017939762,5
aleatoric_var,13,0.018135719841529865,0.019530256869802542,0.018832988355666203,0.4056231955039644,0.516257782033771,-0.2352927414650775,1.0465391324730065,5
aleatoric_var,14,0.019530256869802542,0.020924793898075222,0.020227525383938884,0.1448654269657012,0.20487065153386372,-0.10947430437552053,0.39920515830692294,5
aleatoric_var,15,0.020924793898075222,0.022319330926347903,0.02162206241221156,0.2897308539314024,0.17742318871819535,0.06946618539819521,0.5099955224646096,5
aleatoric_var,16,0.022319330926347903,0.023713867954620584,0.023016599440484245,0.26075776853826216,0.1888814079811016,0.02626812250262986,0.49524741457389443,5
aleatoric_var,17,0.023713867954620584,0.025108404982893264,0.024411136468756922,0.11589234157256097,0.15869212430346344,-0.08111836718012312,0.31290305032524507,5
aleatoric_var,18,0.025108404982893264,0.02650294201116594,0.025805673497029603,0.14486542696570157,0.1774231887181958,-0.07539924156750619,0.3651300954989093,5
aleatoric_var,19,0.02650294201116594,0.027897479039438622,0.027200210525302283,0.02897308539314024,0.06478578845696781,-0.05145619965821707,0.10940237044449755,5
aleatoric_var,20,0.027897479039438622,0.029292016067711302,0.02859474755357496,0.17383851235884146,0.1888814079811016,-0.06065113367679084,0.4083281583944738,5
aleatoric_var,21,0.029292016067711302,0.030686553095983983,0.029989284581847644,0.02897308539314024,0.0647857884569678,-0.05145619965821706,0.10940237044449753,5
aleatoric_var,22,0.030686553095983983,0.03208109012425666,0.03138382161012032,0.08691925617942094,0.12957157691393592,-0.07393931392329407,0.24777782628213596,5
aleatoric_var,23,0.03208109012425666,0.033475627152529344,0.032778358638393,0.0869192561794205,0.1943573653709029,-0.15436859897465077,0.3282071113334918,5
aleatoric_var,24,0.033475627152529344,0.03487016418080202,0.03417289566666568,0.028973085393140315,0.06478578845696796,-0.05145619965821719,0.10940237044449783,5
