phase,source_epoch,epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,nll_energy,rmse_e_atom,magnitude_aleatoric,magnitude_epistemic,magnitude_total
pretrain,0,0,0.5575440023253158,0.7739427300673827,0.640750773901952,0.40008022178707753,0.4117510417491067,0.4405006322394201,0.2892989401857546,0.2994682639676335,0.26397635433659367,0.7070156101604278,0.13666380055632457,0.7940180982819443,0.06455974900327623,0.03566189104869739,0.004065597513804678,0.0014255724712507435,0.005491169985536253
pretrain,5,5,0.32332541642804025,0.3176512900331828,0.3521856231170618,0.46903843447703386,0.3780668048052101,0.462059685698109,0.25286537327482445,0.32671370076201317,0.2568927459803987,0.5955127393853651,0.5114834795792186,0.7008395047694518,-0.004877254374998676,0.013948242841811507,0.0005018645927801845,0.00022795556462393507,0.0007298201577442524
pretrain,10,10,0.40299642628615,0.36370020575966117,0.39219294089931067,0.46346319635857586,0.392667489657693,0.457884203300999,0.2523985927054223,0.313302653455464,0.256110147850117,0.5925784625292775,0.2333349136855024,0.7183811662863312,-0.02007044369720119,0.011342902600106803,0.0003207024763023219,0.00020758695501730471,0.0005282894321021741
pretrain,15,15,0.3008482292830155,0.2843487515338822,0.3086401329769091,0.45440421346864923,0.39589319821601066,0.4499402165884939,0.25618540154013436,0.3087217084318234,0.2597215674818848,0.6482026281614245,0.11759274136792891,0.7528275016988487,-0.028794703669147825,0.009580241678749147,0.0002498143546854408,0.00011790412578827727,0.0003677184806507284
pretrain,20,20,0.6771596309760654,0.6756115871470278,0.6985163599463509,0.43772271196633755,0.36465721615294727,0.4333580425947472,0.2547000113033807,0.3216316825642324,0.2591177599754274,0.5658864588758922,0.23873641906072696,0.7047771960277968,-0.03789999689813281,0.009534731816218545,0.00020467301297763697,0.00012433577509641963,0.00032900878792250295
pretrain,25,25,0.3345958982251826,0.1524547591828371,0.2836531587065968,0.4542006725810481,0.36811220090438934,0.442380530503737,0.2491425297362077,0.32054005656344065,0.25777255177436653,0.5155317296638454,0.26198294907425557,0.6749328456481309,-0.04556242842583323,0.008289344645328713,0.00013560875773742736,7.195664082707481e-05,0.00020756539873878865
pretrain,30,30,0.34078469145661133,0.16202731416705826,0.30507003244298475,0.44767639904671597,0.395492355509715,0.4442807393949844,0.25438261544206664,0.30670244901385846,0.25969655414624493,0.5141172506660677,0.2602314955310173,0.6728730971880945,-0.05007530109359905,0.00782231156166628,0.0001218701866399715,6.300815083865814e-05,0.00018487833756000328
pretrain,35,35,0.5810494657474411,0.602238711199694,0.5873861498101881,0.4594442352075792,0.3727626745225741,0.44447361844044925,0.24266896840372748,0.31091823893105247,0.2535393717279109,0.5952493914651545,0.1579379845860841,0.7295301185346704,-0.04937411567702707,0.008007197271532094,0.00039991787156059216,0.0001243457444735077,0.000524263615861255
pretrain,40,40,0.39447049733632344,0.1671698726261372,0.3495081854099232,0.4623973112125891,0.39574914623954044,0.4549861799419264,0.24748807106157775,0.30887691806718076,0.25418891145066297,0.5352681726902219,0.15736488018342729,0.6973202622826942,-0.05298258282956189,0.0074339710715896805,0.00010880619991705317,6.052018753042944e-05,0.00016932638734186184
pretrain,45,45,0.3844703607961554,0.23292682842285828,0.366567185306407,0.44133050315242894,0.37813500874587724,0.43411595388481966,0.25625738734665654,0.31578071368064753,0.26221044626508,0.5110883378081484,0.114979575868567,0.7023152895582966,-0.053913885850999356,0.007199348149712357,9.878547494009581e-05,6.025849514791389e-05,0.0001590439702074582
