epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,train_loss_geometric_mean,train_loss_geometric_ci95_low,train_loss_geometric_ci95_high,train_loss_geometric_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,val_loss_geometric_mean,val_loss_geometric_ci95_low,val_loss_geometric_ci95_high,val_loss_geometric_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,train_rmse_e_atom_geometric_mean,train_rmse_e_atom_geometric_ci95_low,train_rmse_e_atom_geometric_ci95_high,train_rmse_e_atom_geometric_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n,val_rmse_e_atom_geometric_mean,val_rmse_e_atom_geometric_ci95_low,val_rmse_e_atom_geometric_ci95_high,val_rmse_e_atom_geometric_n
70,-2.1393672781724193,-2.1393672781724193,0.15069355164775997,-2.3264480393941436,-1.9522865169506953,5,nan,nan,nan,0,-2.123477118015289,-2.123477118015289,0.157915445730348,-2.3195236075489403,-1.9274306284816374,5,nan,nan,nan,0,0.010060569802294837,0.010060569802294837,0.0012596417020836396,0.008496768790800538,0.011624370813789135,5,0.009999222716426087,0.008584980579071104,0.01164643926818409,5,0.010768536465730148,0.010768536465730148,0.007241019031910966,0.0017790651997177404,0.019758007731742556,5,0.009151368044090785,0.004223743917405977,0.01982779702464532,5
75,-2.115668153946216,-2.115668153946216,0.27145448244438364,-2.4526693770075036,-1.7786669308849286,5,nan,nan,nan,0,-2.089211266040802,-2.089211266040802,0.2498043821398639,-2.3993346486025593,-1.7790878834790447,5,nan,nan,nan,0,0.009806118733191316,0.009806118733191316,0.001203302549933026,0.008312260803903746,0.011299976662478886,5,0.009747057155256414,0.008367129022480336,0.011354566534420681,5,0.010877659134028024,0.010877659134028024,0.007085113616924331,0.0020817389748503997,0.01967357929320565,5,0.009269586890505386,0.004240718536878878,0.020261953339602994,5
80,-2.347281247469095,-2.347281247469095,0.4030944942589065,-2.8477089300451404,-1.84685356489305,5,nan,nan,nan,0,-2.295954369306564,-2.295954369306564,0.3745608332278388,-2.7609585120710824,-1.8309502265420454,5,nan,nan,nan,0,0.009776190690966897,0.009776190690966897,0.0012226437750117037,0.008258321308826073,0.011294060073107721,5,0.009716424163662946,0.008338913067273924,0.011321487316940746,5,0.01099856803314236,0.01099856803314236,0.006599539913348701,0.0028054706032777914,0.019191665463006928,5,0.009564994060996807,0.004571358076661437,0.020013551739469226,5
85,-2.438100038124965,-2.438100038124965,0.3719299742992598,-2.899838061764652,-1.9763620144852778,5,nan,nan,nan,0,-2.316140336990357,-2.316140336990357,0.18286626813819207,-2.5431623977951556,-2.089118276185558,5,nan,nan,nan,0,0.009671236453722396,0.009671236453722396,0.0016486723691364318,0.007624467508066242,0.011718005399378551,5,0.009562179990570761,0.00776961696053552,0.0117683132433043,5,0.010679677320066805,0.010679677320066805,0.006814511702182475,0.002219699951037858,0.01913965468909575,5,0.009227450962505927,0.004437681204833318,0.019187013968627264,5
90,-2.6156596101247347,-2.6156596101247347,0.4001965283551536,-3.112489569630745,-2.1188296506187245,5,nan,nan,nan,0,-2.517074989080429,-2.517074989080429,0.38428876921390775,-2.9941560233209943,-2.039993954839864,5,nan,nan,nan,0,0.010732697550731992,0.010732697550731992,0.002506733728082026,0.007620675510625495,0.01384471959083849,5,0.010505662781351052,0.0078945631684925,0.013980374609699921,5,0.011275722864356536,0.011275722864356536,0.0071162693446528685,0.00244112396148923,0.02011032176722384,5,0.009507720615730235,0.004154591515407552,0.021758276589055735,5
95,-2.3940450244683484,-2.3940450244683484,0.175669595393083,-2.612132668367468,-2.175957380569229,5,nan,nan,nan,0,-2.365065553188324,-2.365065553188324,0.19455695472358053,-2.606601191526363,-2.123529914850285,5,nan,nan,nan,0,0.009579854846207778,0.009579854846207778,0.0009878216504369227,0.008353508899123011,0.010806200793292545,5,0.009539857926253503,0.008407004629122125,0.010825364474981275,5,0.010943645764920908,0.010943645764920908,0.0066502858975475854,0.002687548974771409,0.019199742555070405,5,0.009504111407222796,0.0045687484728359415,0.019770870333081267,5
100,-2.4867393788924583,-2.4867393788924583,0.36245253713360803,-2.9367114965594356,-2.036767261225481,5,nan,nan,nan,0,-2.4325876033306124,-2.4325876033306124,0.3416747710560708,-2.8567648528577867,-2.008410353803438,5,nan,nan,nan,0,0.009723357482456117,0.009723357482456117,0.0014832041517400538,0.007882011527565184,0.01156470343734705,5,0.009634929196825872,0.007993182310711798,0.011613880056688074,5,0.011027952597533409,0.011027952597533409,0.0063494702757562,0.0031453078555754837,0.018910597339491332,5,0.009853884742280904,0.005237802025368849,0.018538128024668643,5
105,-2.4800873804092407,-2.4800873804092407,0.22775382511362022,-2.762835769491016,-2.1973389913274652,5,nan,nan,nan,0,-2.412138549089432,-2.412138549089432,0.16961874137557162,-2.622714269862049,-2.2015628283168147,5,nan,nan,nan,0,0.009640818324941286,0.009640818324941286,0.0016353550927147424,0.007610582311073703,0.01167105433880887,5,0.009534351610301271,0.007767550639844984,0.01170302774243241,5,0.010877367922561703,0.010877367922561703,0.006904529624689762,0.0023056364586685925,0.019449099386454814,5,0.009409207046916104,0.004532146227520727,0.019534492667984148,5
110,-2.4629078665146458,-2.4629078665146458,0.2603560731941101,-2.7861308035896513,-2.1396849294396403,5,nan,nan,nan,0,-2.4270700347423553,-2.4270700347423553,0.2790575917415402,-2.773510251439474,-2.0806298180452365,5,nan,nan,nan,0,0.010391097912377804,0.010391097912377804,0.0015956088904590406,0.008410205415152857,0.01237199040960275,5,0.010289077189906213,0.008447648514557418,0.01253190272268267,5,0.011344914243364848,0.011344914243364848,0.008179865835947672,0.001189897585069686,0.02149993090166001,5,0.009353831593639386,0.003996546752230832,0.021892441376627953,5
115,-2.5528269943824182,-2.5528269943824182,0.1939223107122725,-2.7935747444303343,-2.312079244334502,5,nan,nan,nan,0,-2.518300938606262,-2.518300938606262,0.23928234267592272,-2.8153615780645826,-2.2212402991479414,5,nan,nan,nan,0,0.009404619641464749,0.009404619641464749,0.0015820485314180454,0.007440561854578032,0.011368677428351466,5,0.00930266138837374,0.007594113391328127,0.011395603995795069,5,0.0106135196118206,0.0106135196118206,0.006992183049348483,0.0019329694942456475,0.01929406972939555,5,0.009065122552091187,0.004229519644309201,0.01942926237380178,5
