epoch,au_var,eu_var,tu_var,rmse_energy
0,0.012424565916164563,5.27993301008022e-05,0.012477365272262921,0.008931154764731554
10,0.003929505977206506,0.0006737161906830107,0.004603222173710282,0.009223843767180407
20,0.002109518237053775,0.0008802150716432012,0.002989733306905971,0.011967526724741998
30,0.0034739823976101783,0.00012664059524048263,0.003600622991171594,0.009081476382335378
40,0.003776248924147624,4.695375351170347e-05,0.003823202678288978,0.00883875841386497
50,0.003110477663218402,0.00013922304956045432,0.0032497007149056745,0.011956236933698903
60,0.0027963900849079858,6.574970105318173e-05,0.0028621397894592238,0.00873457256402495
70,0.0018186678984560645,6.380757709289006e-05,0.0018824754793268558,0.009126412015888803
80,0.0013840739901822346,4.169476347809765e-05,0.001425768758277767,0.008629075759270568
90,0.0013978838553437246,4.863474048481573e-05,0.001446518593897613,0.00841114055077622
100,0.00041469513469984614,0.00011888809956592293,0.0005335832346015824,0.008108799054009401
110,0.0010614084581343026,2.826083676224628e-05,0.0010896692930075986,0.008246736305597338
120,0.0014232931318334662,3.1608412176025854e-05,0.001454901543016044,0.009197862406136457
130,0.0005069077249992496,3.39901279053615e-05,0.0005408978548635227,0.00829197936934284
140,0.00022136088048752684,8.374688443906892e-05,0.0003051077658220982,0.008445359990818335
150,0.0001897563815313893,5.405627383040085e-05,0.00024381265628527706,0.0081871571599252
160,0.0007415847042396378,9.047146931362267e-05,0.0008320561766875192,0.007733780612795804
170,0.0004594271138417893,2.1610601547413703e-05,0.00048103771606782593,0.008104508367815403
180,0.00025309720390046447,3.322711900881796e-05,0.00028632432255947676,0.007620073111427922
190,0.00012457056268780993,1.7560729310599317e-05,0.00014213129173955307,0.007592036291434707
200,0.00012615267131388044,3.4284583153538946e-05,0.0001604372543694738,0.00746464649216668
210,0.0002014061486429105,3.689896156384538e-05,0.00023830511020675587,0.007529198470733809
220,0.00012933670553208615,5.690270428693531e-05,0.00018623940995894374,0.007403319731739191
230,0.00010617705416874602,2.84708559495182e-05,0.0001346479098943886,0.007610045207966874
240,0.00010133042904691627,3.460604385998942e-05,0.00013593647331268025,0.007282862423103092
250,0.00012577298710731647,4.238542773796675e-05,0.00016815841495722102,0.007339931164718878
260,0.00012032252382666159,1.7221841874113753e-05,0.00013754436580571704,0.007263400956731502
270,8.838451467454433e-05,3.175478159391787e-05,0.00012013929640838446,0.007847290679025806
280,9.499090116990443e-05,2.1089657841982372e-05,0.00011608055899089846,0.0070968958149475415
290,0.00011497780108654227,4.1215491938391306e-05,0.00015619329284303463,0.007245655152328597
