metric,bin_index,bin_left,bin_right,bin_center,density_mean,density_std,density_ci95_low,density_ci95_high,density_n
aleatoric_var,0,2.7440783014753833e-05,0.00010267306592140813,6.505692446808098e-05,9018.223457386648,5879.627395686505,1718.8721788644052,16317.574735908891,5
aleatoric_var,1,0.00010267306592140813,0.00017790534882806242,0.00014028920737473526,1390.565068259166,2995.5182053258886,-2328.26576410333,5109.395900621663,5
aleatoric_var,2,0.00017790534882806242,0.0002531376317347167,0.00021552149028138956,81.79794519171568,133.3143402586168,-83.70713438628431,247.30302476971568,5
aleatoric_var,3,0.0002531376317347167,0.000328369914641371,0.00029075377318804385,20.449486297928907,45.72644146711956,-36.31828766512174,77.21726026097954,5
aleatoric_var,4,0.000328369914641371,0.00040360219754802533,0.00036598605609469817,490.7876711502937,984.4468511430566,-731.3685809278621,1712.9439232284494,5
aleatoric_var,5,0.00040360219754802533,0.0004788344804546796,0.00044121833900135244,2249.443492772181,4915.858301930563,-3853.4222445287437,8352.309230073106,5
aleatoric_var,6,0.0004788344804546796,0.0005540667633613339,0.0005164506219080068,0.0,0.0,0.0,0.0,5
aleatoric_var,7,0.0005540667633613339,0.0006292990462679882,0.000591682904814661,0.0,0.0,0.0,0.0,5
aleatoric_var,8,0.0006292990462679882,0.0007045313291746425,0.0006669151877213154,0.0,0.0,0.0,0.0,5
aleatoric_var,9,0.0007045313291746425,0.0007797636120812968,0.0007421474706279696,0.0,0.0,0.0,0.0,5
aleatoric_var,10,0.0007797636120812968,0.000854995894987951,0.0008173797535346239,0.0,0.0,0.0,0.0,5
aleatoric_var,11,0.000854995894987951,0.0009302281778946054,0.0008926120364412783,0.0,0.0,0.0,0.0,5
aleatoric_var,12,0.0009302281778946054,0.0010054604608012597,0.0009678443193479325,0.0,0.0,0.0,0.0,5
aleatoric_var,13,0.0010054604608012597,0.001080692743707914,0.001043076602254587,0.0,0.0,0.0,0.0,5
aleatoric_var,14,0.001080692743707914,0.0011559250266145683,0.0011183088851612411,0.0,0.0,0.0,0.0,5
aleatoric_var,15,0.0011559250266145683,0.0012311573095212225,0.0011935411680678953,0.0,0.0,0.0,0.0,5
aleatoric_var,16,0.0012311573095212225,0.0013063895924278768,0.0012687734509745498,0.0,0.0,0.0,0.0,5
aleatoric_var,17,0.0013063895924278768,0.0013816218753345312,0.001344005733881204,0.0,0.0,0.0,0.0,5
aleatoric_var,18,0.0013816218753345312,0.0014568541582411854,0.0014192380167878582,0.0,0.0,0.0,0.0,5
aleatoric_var,19,0.0014568541582411854,0.0015320864411478398,0.0014944702996945126,0.0,0.0,0.0,0.0,5
aleatoric_var,20,0.0015320864411478398,0.001607318724054494,0.001569702582601167,0.0,0.0,0.0,0.0,5
aleatoric_var,21,0.001607318724054494,0.0016825510069611482,0.001644934865507821,0.0,0.0,0.0,0.0,5
aleatoric_var,22,0.0016825510069611482,0.0017577832898678027,0.0017201671484144755,0.0,0.0,0.0,0.0,5
aleatoric_var,23,0.0017577832898678027,0.001833015572774457,0.00179539943132113,0.0,0.0,0.0,0.0,5
aleatoric_var,24,0.001833015572774457,0.001908247855681111,0.0018706317142277839,0.0,0.0,0.0,0.0,5
aleatoric_var,25,0.001908247855681111,0.0019834801385877655,0.0019458639971344383,0.0,0.0,0.0,0.0,5
aleatoric_var,26,0.0019834801385877655,0.00205871242149442,0.0020210962800410927,0.0,0.0,0.0,0.0,5
aleatoric_var,27,0.00205871242149442,0.002133944704401074,0.002096328562947747,0.0,0.0,0.0,0.0,5
aleatoric_var,28,0.002133944704401074,0.0022091769873077284,0.002171560845854401,0.0,0.0,0.0,0.0,5
aleatoric_var,29,0.0022091769873077284,0.002284409270214383,0.0022467931287610556,0.0,0.0,0.0,0.0,5
aleatoric_var,30,0.002284409270214383,0.002359641553121037,0.0023220254116677096,0.0,0.0,0.0,0.0,5
aleatoric_var,31,0.002359641553121037,0.0024348738360276912,0.002397257694574364,0.0,0.0,0.0,0.0,5
aleatoric_var,32,0.0024348738360276912,0.0025101061189343457,0.0024724899774810185,0.0,0.0,0.0,0.0,5
aleatoric_var,33,0.0025101061189343457,0.0025853384018409997,0.002547722260387673,0.0,0.0,0.0,0.0,5
aleatoric_var,34,0.0025853384018409997,0.002660570684747654,0.002622954543294327,0.0,0.0,0.0,0.0,5
aleatoric_var,35,0.002660570684747654,0.0027358029676543085,0.0026981868262009813,0.0,0.0,0.0,0.0,5
aleatoric_var,36,0.0027358029676543085,0.0028110352505609625,0.0027734191091076353,0.0,0.0,0.0,0.0,5
aleatoric_var,37,0.0028110352505609625,0.002886267533467617,0.0028486513920142897,0.0,0.0,0.0,0.0,5
aleatoric_var,38,0.002886267533467617,0.0029614998163742714,0.002923883674920944,0.0,0.0,0.0,0.0,5
aleatoric_var,39,0.0029614998163742714,0.003036732099280926,0.0029991159578275986,0.0,0.0,0.0,0.0,5
aleatoric_var,40,0.003036732099280926,0.00311196438218758,0.003074348240734253,20.449486297928992,45.72644146711974,-36.31828766512188,77.21726026097986,5
aleatoric_var,41,0.00311196438218758,0.0031871966650942342,0.003149580523640907,0.0,0.0,0.0,0.0,5
aleatoric_var,42,0.0031871966650942342,0.0032624289480008887,0.0032248128065475615,0.0,0.0,0.0,0.0,5
aleatoric_var,43,0.0032624289480008887,0.0033376612309075427,0.0033000450894542155,0.0,0.0,0.0,0.0,5
aleatoric_var,44,0.0033376612309075427,0.003412893513814197,0.00337527737236087,0.0,0.0,0.0,0.0,5
aleatoric_var,45,0.003412893513814197,0.0034881257967208515,0.0034505096552675243,0.0,0.0,0.0,0.0,5
aleatoric_var,46,0.0034881257967208515,0.0035633580796275055,0.0035257419381741787,0.0,0.0,0.0,0.0,5
aleatoric_var,47,0.0035633580796275055,0.00363859036253416,0.0036009742210808327,0.0,0.0,0.0,0.0,5
aleatoric_var,48,0.00363859036253416,0.0037138226454408144,0.003676206503987487,0.0,0.0,0.0,0.0,5
aleatoric_var,49,0.0037138226454408144,0.0037890549283474684,0.003751438786894141,20.449486297928992,45.72644146711974,-36.31828766512188,77.21726026097986,5
epistemic_var,0,4.571862461943965e-07,1.970014138521492e-05,1.0078663815704659e-05,51247.52612212564,866.6301804021074,50171.63513625042,52323.41710800085,5
