phase,source_epoch,epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
pretrain,0,0,0.8329958922981557,0.9084229194490361,0.8856186692541849,0.3042861272560994,0.46050398407250864,0.3587179171691719,0.32758633755882766,0.23990318420991757,0.29074423878022093,0.8573447784836934,0.31467058593039976,0.8962062495189183,0.011837237353962846,0.004034434637232625,0.015871671991208567,0.048654828639740556,-1.3028144386214018
pretrain,5,5,0.3623395520879917,0.3631435317028145,0.3706665166592098,0.41405838899444897,0.238191401584339,0.4026908894671954,0.2794044316763465,0.429407355359852,0.2861733601626965,0.5115426178278781,0.5210665594138656,0.6665363054233902,0.000568575659681519,0.0003397889440405015,0.0009083646040658641,0.013301091864644827,-2.9247574933159353
pretrain,10,10,0.35306235655053436,0.20424681026252411,0.28502474691990926,0.43588773843443634,0.3446262945010598,0.4261958708645216,0.26875962746881144,0.34384661596540084,0.2766260359717999,0.6395252837394112,0.2409789537105989,0.7419995307952384,0.00027598327208135743,0.00014758346636090664,0.00042356673850343213,0.010106048788107625,-3.13723527654171
pretrain,15,15,0.3961496944585711,0.2052941020438831,0.3740430606351859,0.41530175336956665,0.3606233796511291,0.4136456541633944,0.2739306996641858,0.32744165177292556,0.27639161842293253,0.6150901972324359,0.19093372165392258,0.7293728411974291,0.00018355297111957044,8.479475538638326e-05,0.000268347726611355,0.008294267181105486,-3.3605451519989966
pretrain,20,20,0.4283854898144799,0.34533310896884273,0.4074141244133927,0.44647916020485195,0.3684083730700916,0.4393982728019094,0.2604313724504395,0.3219045057888445,0.2643668043831482,0.6661022216954946,0.132507838758247,0.7696529844513408,0.00020807285020140625,9.545599752129419e-05,0.0003035288478685834,0.007627093075421925,-3.406263365392685
pretrain,25,25,0.4689833952472149,0.17984231925006655,0.3806472215848216,0.4409033268287298,0.31878732712505553,0.4250959024163065,0.261478219475362,0.37546950088816716,0.2770929640002783,0.6327583044817238,0.18621883731818073,0.7581136787220604,0.00013396971871618008,7.113772418331109e-05,0.0002051074427821004,0.006943103798992634,-3.5168388078999517
pretrain,30,30,0.4135536352859459,0.2430129430174397,0.3912840193345809,0.4380063256177525,0.3817494004822088,0.43379272422411497,0.2585106271516667,0.312006751704433,0.26257865854749746,0.648234257799881,0.35614414716126036,0.7398670212353481,0.00014798458318608028,5.829400895977983e-05,0.00020627859230118703,0.006704921088170139,-3.6079180698108675
pretrain,35,35,0.6171721311941627,0.27279165232157726,0.5647688968414375,0.3866081238581588,0.31811353460812836,0.3763745400531331,0.28643484362725635,0.3420057898955874,0.2935235786334025,0.6841709983059034,0.2212187524855893,0.7767698033262705,0.00011375982376834144,5.181815239281377e-05,0.00016557797623216174,0.0060009194426460305,-3.6011486520814895
pretrain,40,40,0.6116028209796033,0.1060891070448648,0.3875342437051663,0.42578416596438096,0.3304160982235777,0.41444973611498137,0.2707001541928463,0.36649890190206824,0.2844499575853494,0.6500924307911938,0.32017530306737324,0.7834315394804319,9.391659462205098e-05,6.832035015746442e-05,0.000162236945026998,0.0055830468537915795,-3.6839222164011
pretrain,45,45,0.35631332650253067,0.24578727586078822,0.3753859133474847,0.4398902266677883,0.36307853744708646,0.43387366441626907,0.2599030431538861,0.33308343513100036,0.26606596025748996,0.6475640474793412,0.2397301563620117,0.7731617401928662,9.962004550208803e-05,4.9843205040167506e-05,0.00014946325057226204,0.005544342476580265,-3.7360836577987673
pretrain,50,50,0.5582139416179458,0.20127389256572661,0.5254723701126488,0.4113698941806905,0.3251888811557918,0.39623475792975554,0.27524759383931074,0.34870320074629835,0.28615253091729387,0.6802164588999396,0.3921232076273026,0.8049130805690556,9.25822863798021e-05,4.986573173981128e-05,0.00014244801806275064,0.005151683968480712,-3.722272569639683
pretrain,55,55,0.6915527094310387,0.5047819102384448,0.7304022861996341,0.43095633201353006,0.3425264632531576,0.41839759907214125,0.25841760709242884,0.3367924088992711,0.26837772271226845,0.7050097150678062,0.26786507943009064,0.8037314526795672,8.62456044051578e-05,5.749452459487429e-05,0.0001437401290008893,0.005462073000422103,-3.7667878992509842
pretrain,60,60,0.09636147816113598,0.18389824198640617,0.09750295788283604,0.4387193256878363,0.36187190268040137,0.4276438615162994,0.2626201094947531,0.33009168320185606,0.2714742590711289,0.7056409941310015,0.2784238226726015,0.805066586349524,0.0006733128338833922,4.4029994409418126e-05,0.0007173428279827203,0.004896372859169601,-3.8132746548855305
pretrain,65,65,0.6362763184212338,0.6401357064840674,0.6431266494920975,0.41213373795366076,0.3327347799611351,0.39964611529226696,0.268994802232679,0.33522911001107547,0.27752226649654554,0.7450816300730566,0.4172217021577772,0.8357712179900147,0.00027287183244689006,0.00016592091470351647,0.00043879274654545953,0.005322695666184303,-3.7684905248093603
pretrain,70,70,0.8223855190954321,0.2756698116902407,0.7707969278534466,0.4163983644964749,0.33902096215140415,0.4032819600542241,0.2681763387982954,0.3367866563230123,0.2770929868431924,0.7167788915123708,0.33949673803056174,0.8152566369696974,8.254630101896509e-05,4.260876945979703e-05,0.00012515507043922298,0.004737604398924901,-3.826034469308853
pretrain,75,75,0.827890321392747,0.19745467536185435,0.7929230804444083,0.33090052556908733,0.26512181231539467,0.32330533835151604,0.309306939127794,0.37363627068430283,0.31774818449740305,0.5816440320043544,0.2773310439494758,0.7481322839492788,6.44893481343297e-05,3.4539705655574835e-05,9.902905383909456e-05,0.004652595223857767,-3.8483180033755304
pretrain,80,80,0.5277220958944883,0.1892642447029351,0.48842698826744363,0.41710683819605343,0.35098541222462665,0.4081752331464793,0.27194622765250853,0.3310882689694057,0.27861284072041037,0.7359329210304723,0.29958023392018246,0.8182233551437845,7.815221976043177e-05,3.210636137405345e-05,0.00011025858132671601,0.0042328339434658255,-3.9214855370497705
pretrain,85,85,0.2232193597939481,0.24350227686738726,0.22599290202289593,0.34449483147615517,0.29123097467956593,0.3354124309939052,0.3132696843411392,0.3586710182921581,0.3209913666339639,0.6559292142237941,0.32899363277466875,0.7677358500797803,0.0003164267899978267,4.5056104954556985e-05,0.0003614828936606136,0.004508689899936358,-3.9243566596382857
pretrain,90,90,0.783744941365476,0.1895751232236784,0.7283219690695784,0.42003254356416103,0.3364782701282595,0.40656332536843043,0.2687428224789549,0.3459067406573176,0.280137055130547,0.7309219701643174,0.5160985883898724,0.8403368932352869,6.583468288239601e-05,3.965619658652258e-05,0.00010549087946980763,0.004135752100859451,-3.893319427714348
pretrain,95,95,0.496118979496478,0.24143039391423238,0.5048088923234124,0.42696956384434265,0.3521782840542305,0.41722390057482767,0.2661758485121813,0.33186981910884183,0.27265680525844443,0.7182378385405322,0.4362611405962974,0.8264042736411928,7.659437276494828e-05,3.912732621203361e-05,0.00011572169893690443,0.004394423463347256,-3.9217972352957724
pretrain,100,100,0.815318838086389,0.2959368087896292,0.8080934659498892,0.43738766334219276,0.3402468680685572,0.42418148486832535,0.2626385858564315,0.3554510685619369,0.27461666996620093,0.7316377639743966,0.3903265787532745,0.8266549750425294,6.770359491993986e-05,3.0325396760633793e-05,9.802899165424605e-05,0.004096636949823218,-3.9494367389440534
pretrain,105,105,0.829838183196542,0.32718217470821537,0.8287834956092058,0.4113871038208979,0.34258079488431387,0.39731632649614523,0.2729128021843765,0.3315775750007992,0.28293726634863664,0.7355092782424164,0.4117636655321358,0.8288927707293685,5.7635461545405633e-05,2.970684762767405e-05,8.73423091604036e-05,0.003914933683043352,-3.990374238653183
pretrain,110,110,0.45757964163515186,0.3249584481636684,0.43542285071764186,0.4191711569042402,0.3208625477109676,0.39947623148708333,0.26434874708167316,0.34659087583126547,0.2803465310505453,0.7497251301805619,0.4790508715814139,0.8441262780931394,0.00012379219508020013,5.270401530388199e-05,0.00017649621017842946,0.004224545710366567,-3.948887860414982
pretrain,115,115,0.7413467806253128,0.188165994503953,0.727207755194299,0.3740174730163597,0.31055806583172446,0.3670423184111032,0.2967254223850806,0.349375882706325,0.3001941473773887,0.7083186217570593,0.32261705126664303,0.8033863314560877,6.114242867100984e-05,2.7311663971153734e-05,8.845409262110479e-05,0.003885090256150049,-3.9968939933896066
pretrain,120,120,0.7874177096661963,0.3304938323452204,0.7841225183144442,0.378925122062113,0.31407978300834694,0.36929136526505707,0.2929574329162447,0.3469752221008223,0.2992383807964246,0.715536077051933,0.3463506111243207,0.8137724506897303,5.325797400232659e-05,2.3176766842697133e-05,7.643474082781268e-05,0.0036423524123154654,-4.086801896369457
pretrain,125,125,0.6541489502998092,0.2727383708883825,0.6425267431288816,0.40495817578268445,0.32697181703756967,0.39142617675573316,0.27793107648530163,0.3469580279923702,0.2883355878353919,0.7445304192827195,0.46365342264057924,0.8381041599588347,5.681533712078817e-05,2.8132286391609115e-05,8.494762355839157e-05,0.0035831158654978414,-4.06306504216671
pretrain,130,130,0.8135268758341875,0.34422717784126183,0.8092570388114475,0.4063220350562074,0.3383025632076359,0.3941237220607057,0.27543786048317587,0.3312147531113407,0.28264363357479777,0.7293456312800359,0.37873855519416544,0.8224570761509028,5.0014937299552005e-05,2.6287436657302694e-05,7.630237403585852e-05,0.003649200501469829,-4.091844086623192
pretrain,135,135,0.7539305270635083,0.25830162252549665,0.7511126829932161,0.4081687957345438,0.3164604833415127,0.39493101360113647,0.2757200889976571,0.3592773596895413,0.2873557541947426,0.7504461897840252,0.49563561267702755,0.8444028843479109,4.9388364651495064e-05,2.6762727454958507e-05,7.615109221308558e-05,0.0034648868336090138,-4.0746551142644885
pretrain,140,140,0.8416993417014581,0.46968663379510484,0.8448939328128724,0.4055155374606067,0.32272063413351904,0.39235382256895524,0.2794100913828974,0.35390740865474435,0.2908666438042159,0.7537695034025441,0.5072509832714764,0.8462680442457133,5.094148526831305e-05,2.4362702081432418e-05,7.530418737263062e-05,0.003444274473899229,-4.068872550616264
pretrain,145,145,0.7769447009801028,0.4355307802284132,0.7818720768288271,0.406972943942566,0.32858557990180887,0.394096453386739,0.27409982720602233,0.35059494301138094,0.28604236663647375,0.7559733944756195,0.4574092834537138,0.8424228331610543,4.87466293874013e-05,2.5805869538776277e-05,7.455249901661773e-05,0.0035149854846611567,-4.0935971682429315
