uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n
aleatoric,0,3300.0,3300.0,0.0,3300.0,3300.0,5,0.0030151088742821778,0.0030151088742821778,0.0001887056641909431,0.0027808374080006445,0.003249380340563711,5,0.003175824084603046,0.003175824084603046,6.917047521497443e-05,0.003089951364663884,0.0032616968045422086,5,9.119369385933335e-06,9.119369385933335e-06,1.1790026838309895e-06,7.65567888848506e-06,1.0583059883381611e-05,5,1.0089686260057947e-05,1.0089686260057947e-05,4.4154052798443787e-07,9.541529174487003e-06,1.0637843345628892e-05,5,0.1133958730427734,0.1133958730427734,0.053760689785009,0.046653861464908034,0.1801378846206388,5,4.596879625751171e-06,4.596879625751171e-06,3.0017540293261327e-07,4.224222386827399e-06,4.9695368646749425e-06,5,1.2592352322826628e-05,1.2592352322826628e-05,5.585147880832335e-07,1.1898975794330995e-05,1.3285728851322262e-05,5
aleatoric,1,3300.0,3300.0,0.0,3300.0,3300.0,5,0.004338569064945484,0.004338569064945484,0.0005478036665978565,0.003658490018253894,0.005018648111637075,5,0.003813978663501287,0.003813978663501287,8.567786090738055e-05,0.003707612602955656,0.003920344724046917,5,1.906325261701237e-05,1.906325261701237e-05,4.85183398090496e-06,1.303987082964297e-05,2.5086634404381773e-05,5,1.455230580232279e-05,1.455230580232279e-05,6.561153821005794e-07,1.3737761558123318e-05,1.536685004652226e-05,5,0.30568284873947404,0.30568284873947404,0.3069901185584807,-0.07543462071743223,0.6868003181963803,5,1.2593937935889698e-05,1.2593937935889698e-05,5.589763086902273e-07,1.1899988445740884e-05,1.3287887426038512e-05,5,1.659109475440346e-05,1.659109475440346e-05,7.271103443428767e-07,1.5688412753584898e-05,1.749377675522202e-05,5
aleatoric,2,3300.0,3300.0,0.0,3300.0,3300.0,5,0.004977902384006782,0.004977902384006782,0.0004144002488376377,0.004463439003488472,0.0054923657645250925,5,0.00436480822898607,0.00436480822898607,9.429079143399513e-05,0.00424774951715145,0.004481866940820691,5,2.4916894197689767e-05,2.4916894197689767e-05,4.096570702295198e-06,1.983114529202058e-05,3.0002643103358955e-05,5,1.905866347850392e-05,1.905866347850392e-05,8.264715797712579e-07,1.8032627987395856e-05,2.0084698969611987e-05,5,0.3205466679490588,0.3205466679490588,0.22558390602394832,0.04049215734215156,0.600601178555966,5,1.6592272731941194e-05,1.6592272731941194e-05,7.273719245236199e-07,1.5689265988498952e-05,1.7495279475383436e-05,5,2.171831401938107e-05,2.171831401938107e-05,9.146094325562317e-07,2.0582858474055932e-05,2.2853769564706207e-05,5
aleatoric,3,3300.0,3300.0,0.0,3300.0,3300.0,5,0.0056607609509768935,0.0056607609509768935,0.0005223513393207877,0.0050122800762693875,0.0063092418256843995,5,0.004982388795081502,0.004982388795081502,0.00010174825199876081,0.0048560719074060305,0.005108705682756974,5,3.2262495281457e-05,3.2262495281457e-05,6.044670476429398e-06,2.4758248804420015e-05,3.976674175849398e-05,5,2.4832480270781548e-05,2.4832480270781548e-05,1.0177291935447291e-06,2.3569005157453767e-05,2.609595538410933e-05,5,0.3009911107244301,0.3009911107244301,0.24691341452909735,-0.005543236902682103,0.6075254583515423,5,2.17194789001951e-05,2.17194789001951e-05,9.140220234221028e-07,2.058475260271607e-05,2.285420519767413e-05,5,2.8223398112459107e-05,2.8223398112459107e-05,1.1580649910624123e-06,2.6785701026530708e-05,2.9661095198387506e-05,5
aleatoric,4,3300.0,3300.0,0.0,3300.0,3300.0,5,0.0072816846155500355,0.0072816846155500355,0.0010260793450799631,0.006007843081838324,0.008555526149261748,5,0.0056646617269340786,0.0056646617269340786,0.00011944465771311244,0.005516375371980618,0.005812948081887539,5,5.3865201898257844e-05,5.3865201898257844e-05,1.5791018840727415e-05,3.426120562312071e-05,7.346919817339498e-05,5,3.2099806101596734e-05,3.2099806101596734e-05,1.3573667037570244e-06,3.041468292665522e-05,3.378492927653825e-05,5,0.6773837404047443,0.6773837404047443,0.48580132498947926,0.07427842708654886,1.2804890537229396,5,2.8224613924976438e-05,2.8224613924976438e-05,1.1589872355327628e-06,2.6785771904870967e-05,2.966345594508191e-05,5,3.621743162511848e-05,3.621743162511848e-05,1.5740640535683123e-06,3.426328628755526e-05,3.81715769626817e-05,5
aleatoric,5,3300.0,3300.0,0.0,3300.0,3300.0,5,0.010558924557260351,0.010558924557260351,0.002953343597146514,0.006892452022357511,0.014225397092163191,5,0.006389441438672453,0.006389441438672453,0.00014493520157566475,0.00620950946718386,0.006569373410161045,5,0.00011846867852816076,0.00011846867852816076,7.15889780680876e-05,2.9593472086888854e-05,0.00020734388496943267,5,4.0841766868349324e-05,4.0841766868349324e-05,1.8578948088009665e-06,3.853525559895659e-05,4.314827813774206e-05,5,1.8938471924253517,1.8938471924253517,1.7306040935239109,-0.254637116622372,4.042331501473075,5,3.6224118957761675e-05,3.6224118957761675e-05,1.5742917279769613e-06,3.426969097040213e-05,3.817854694512122e-05,5,4.5868863526266066e-05,4.5868863526266066e-05,2.1585416740884547e-06,4.318910971396493e-05,4.85486173385672e-05,5
aleatoric,6,3300.0,3300.0,0.0,3300.0,3300.0,5,0.01492478297695655,0.01492478297695655,0.0027856797682339137,0.011466459207540613,0.018383106746372488,5,0.007184008127269504,0.007184008127269504,0.00017376915408538003,0.006968279814626531,0.007399736439912478,5,0.00022895715632617017,0.00022895715632617017,7.79013346989288e-05,0.00013224538043193906,0.0003256689322204013,5,5.163412934780354e-05,5.163412934780354e-05,2.502011301395692e-06,4.852797003486508e-05,5.4740288660742e-05,5,3.3901233626251814,3.3901233626251814,1.3568697208362093,1.705617174556187,5.074629550694176,5,4.587047442328185e-05,4.587047442328185e-05,2.159415309171366e-06,4.318963602365396e-05,4.855131282290974e-05,5,5.777604674221948e-05,5.777604674221948e-05,2.978540541136702e-06,5.4078293084729764e-05,6.14738003997092e-05,5
aleatoric,7,3300.0,3300.0,0.0,3300.0,3300.0,5,0.01784589593946904,0.01784589593946904,0.0025994719275563177,0.014618742676013742,0.02107304920292434,5,0.008061230411431697,0.008061230411431697,0.00021780777910484128,0.0077908296897724666,0.008331631133090928,5,0.00032388180532408036,0.00032388180532408036,8.726792233154457e-05,0.00021554173926614207,0.0004322218713820186,5,6.502138792910212e-05,6.502138792910212e-05,3.514709278306156e-06,6.065799958189843e-05,6.93847762763058e-05,5,3.967209625683045,3.967209625683045,1.3092999652917006,2.3417596213796306,5.592659629986459,5,5.777783153462224e-05,5.777783153462224e-05,2.9800598074531313e-06,5.407819176126447e-05,6.147747130798001e-05,5,7.300532306544482e-05,7.300532306544482e-05,3.984051945235114e-06,6.805926225188276e-05,7.795138387900688e-05,5
aleatoric,8,3300.0,3300.0,0.0,3300.0,3300.0,5,0.024530236056492863,0.024530236056492863,0.004350148097184372,0.019129679705211296,0.02993079240777443,5,0.009084886222183595,0.009084886222183595,0.00024911168867056496,0.008775622794278907,0.009394149650088283,5,0.0006168715117612119,0.0006168715117612119,0.00019951763004293673,0.0003691773689299731,0.0008645656545924507,5,8.25848029767671e-05,8.25848029767671e-05,4.528779275486385e-06,7.696248228023479e-05,8.820712367329942e-05,5,6.396455415618487,6.396455415618487,2.1648287721820205,3.708896391452884,9.08401443978409,5,7.300750585272908e-05,7.300750585272908e-05,3.982933218665522e-06,6.806283389898185e-05,7.79521778064763e-05,5,9.31853341171518e-05,9.31853341171518e-05,5.1557782079225375e-06,8.678461622788795e-05,9.958605200641566e-05,5
aleatoric,9,3300.0,3300.0,0.0,3300.0,3300.0,5,0.030023861704469957,0.030023861704469957,0.0061072537927213035,0.022441920234358308,0.037605803174581606,5,0.010323595144738438,0.010323595144738438,0.0002807434180542279,0.00997506203377732,0.010672128255699556,5,0.0009312711107601044,0.0009312711107601044,0.000354568476543906,0.0004910867779088124,0.0013714554436113965,5,0.00010663967020589167,0.00010663967020589167,5.790380008617607e-06,9.945111642950095e-05,0.0001138282239822824,5,7.610529770141295,7.610529770141295,2.88852165826998,4.02453139976831,11.196528140514282,5,9.318923839600757e-05,9.318923839600757e-05,5.154399007535096e-06,8.679023273567149e-05,9.958824405634365e-05,5,0.00012185944215161725,0.00012185944215161725,6.74436702247466e-06,0.0001134865469432508,0.0001302323373599837,5
