epoch,au_var,eu_var,tu_var,rmse_energy
0,0.005882539962989977,0.0014970828484018512,0.007379622809102293,0.04151157973267693
10,0.00025306612303775184,0.00010458548685459675,0.0003576516098375578,0.011292808606007844
20,0.0020545847478290673,6.691455244747175e-05,0.0021214993030198455,0.008467932148161949
30,0.000199400429524012,0.0001601796699092452,0.0003595800993156081,0.009442633723255978
40,9.04659553566671e-05,4.698948453460979e-05,0.0001374554400292618,0.006108860714585471
50,0.0016245121687652317,0.00015074314307385734,0.0017752553172028093,0.007142940207992517
60,6.046486638683746e-05,3.048686870393965e-05,9.095173505069397e-05,0.004724671149944012
70,5.517125490976469e-05,3.196804171799787e-05,8.713929663698763e-05,0.004819520295548539
80,4.8357209666419295e-05,2.1950385857547694e-05,7.030759554214456e-05,0.0045925024291480435
90,4.657482812095623e-05,2.7251204379718245e-05,7.382603253127854e-05,0.004365166513717708
100,4.2597825595180435e-05,2.0235250705953866e-05,6.283307630536e-05,0.003963542663680196
110,4.49978635392381e-05,2.1237203887010594e-05,6.623506743198959e-05,0.004193362913076919
120,0.00012184994629873472,5.6075218623871306e-05,0.00017792516462882305,0.004498912809194636
130,3.8201674576907865e-05,1.9704940027844735e-05,5.790661458161594e-05,0.003656170193349351
140,3.634280366013172e-05,1.9565175225523995e-05,5.590797886935434e-05,0.003445792441285711
150,3.236345930695734e-05,1.3160752414511468e-05,4.5524211701999775e-05,0.0032596519597820196
160,3.4280702525074956e-05,1.603209618573324e-05,5.031279871787774e-05,0.0034562744569010145
170,3.3755089155602034e-05,1.8522518860418308e-05,5.2277608030099144e-05,0.003267209308693779
180,2.7631013136469848e-05,1.2508154793201402e-05,4.013916792940108e-05,0.003045245151138362
190,3.2809442154566565e-05,2.0080083345516436e-05,5.2889525517775836e-05,0.0029485506657337887
200,0.00010043319901485575,4.382268517343444e-05,0.0001442558840016227,0.0037928733121256066
210,3.552170431513787e-05,1.3617967190332578e-05,4.913967157260231e-05,0.002867477527866727
220,2.1443443753269093e-05,9.983884510456207e-06,3.142732828981934e-05,0.0025270002452636785
230,1.977749367343222e-05,1.0851236383772225e-05,3.062873004707399e-05,0.0024573157629798324
240,2.659652332905125e-05,5.6156096544874873e-05,8.27526199906515e-05,0.004127282106508554
250,1.9132605883223732e-05,9.107193294761622e-06,2.823979920513011e-05,0.00232068146375433
260,1.7671518986433057e-05,8.213868761884662e-06,2.588538774846711e-05,0.002325318704308647
270,1.606458737418734e-05,1.1534688179647725e-05,2.759927557586025e-05,0.00245940986781869
280,1.61209901240818e-05,8.247253394629688e-06,2.436824354266264e-05,0.0021852412664253576
290,1.569357088899096e-05,9.083047011703017e-06,2.4776617874188104e-05,0.002148135858731479
