group,x_index,label,split,quantile_lo,quantile_hi,au_mean,au_mean_mean,au_mean_std,au_mean_ci95_low,au_mean_ci95_high,au_mean_n,au_mean_geometric_mean,au_mean_geometric_ci95_low,au_mean_geometric_ci95_high,au_mean_geometric_n,eu_mean,eu_mean_mean,eu_mean_std,eu_mean_ci95_low,eu_mean_ci95_high,eu_mean_n,eu_mean_geometric_mean,eu_mean_geometric_ci95_low,eu_mean_geometric_ci95_high,eu_mean_geometric_n
id,0,ID,id,0.0,1.0,4.354973131167041e-05,4.354973131167041e-05,2.812103694852719e-06,4.005860316375081e-05,4.704085945959e-05,5,4.3475887302477186e-05,4.008430620592749e-05,4.7154434132583035e-05,5,2.1670046019735756e-05,2.1670046019735756e-05,3.065781212648993e-07,2.1289440030474662e-05,2.205065200899685e-05,5,2.166830320107293e-05,2.128976595360058e-05,2.2053570933419384e-05,5
q10,5,0.90-1.00,ood,0.9,1.0,1.9966855763214937,1.9966855763214937,2.581338344442168,-1.2079554794409229,5.20132663208391,5,0.8356184370304423,0.1113534364935484,6.270647716791881,5,1230.1197430572768,1230.1197430572768,1601.1017685431189,-757.5919697348336,3217.831455849387,5,162.7004657885907,2.928485050944494,9039.295440243688,5
q6,1,0.50-0.60,ood,0.5,0.6000000000000001,8.470591336591782e-05,8.470591336591782e-05,9.381054705278212e-06,7.305966283869977e-05,9.635216389313587e-05,5,8.43009293885445e-05,7.364632003501385e-05,9.649696946695553e-05,5,4.37435144788754e-05,4.37435144788754e-05,2.7095442389706725e-06,4.037971029981247e-05,4.710731865793833e-05,5,4.367873516039313e-05,4.0526176996563745e-05,4.70765329128758e-05,5
q7,2,0.60-0.70,ood,0.6000000000000001,0.7000000000000001,0.0003428448188230042,0.0003428448188230042,0.00021719851387288689,7.320047858908101e-05,0.0006124891590569275,5,0.0003018819601363214,0.00015588629203018106,0.0005846102095885595,5,0.0001843895773189315,0.0001843895773189315,0.0001383624937236488,1.2617392196761997e-05,0.00035616176244110105,5,0.00015384602921567878,7.001122382114009e-05,0.0003380686611892176,5
q8,3,0.70-0.80,ood,0.7000000000000001,0.8,0.0010085918708571708,0.0010085918708571708,0.0003077916650042607,0.0006264793095891589,0.0013907044321251826,5,0.0009670102841060328,0.0006379485193981783,0.0014658061914603771,5,0.0005066216764446601,0.0005066216764446601,0.0002056835102223995,0.00025127280953954627,0.000761970543349774,5,0.0004798700662165432,0.0003106083968361372,0.0007413684974271711,5
q9,4,0.80-0.90,ood,0.8,0.9,0.016492788087242426,0.016492788087242426,0.02150399738885843,-0.010203670764700773,0.043189246939185626,5,0.007053563530473672,0.0011090100946289868,0.04486231344456131,5,0.0074330283340504665,0.0074330283340504665,0.004059198602373515,0.00239367558020963,0.012472381087891303,5,0.0063482483422454316,0.002728927475691834,0.014767800674001056,5
