metric,bin_index,bin_left,bin_right,bin_center,density_mean,density_std,density_ci95_low,density_ci95_high,density_n
aleatoric_var,0,2.870010121114319e-06,1.835447797020606e-05,1.061224404566019e-05,31615.64994823056,1225.927122645547,30093.704405112847,33137.59549134827,5
aleatoric_var,1,1.835447797020606e-05,3.3838945819297804e-05,2.609671189475193e-05,15155.49321822594,487.86879803608514,14549.821209603699,15761.165226848181,5
aleatoric_var,2,3.3838945819297804e-05,4.932341366838954e-05,4.158117974384368e-05,6962.989162362853,245.11881120633288,6658.682751844149,7267.295572881557,5
aleatoric_var,3,4.932341366838954e-05,6.480788151748129e-05,5.7065647592935416e-05,3821.6203587021287,94.56515773807679,3704.2210307199693,3939.019686684288,5
aleatoric_var,4,6.480788151748129e-05,8.029234936657303e-05,7.255011544202717e-05,2110.6846293555586,151.09163873834197,1923.1096569673693,2298.259601743748,5
aleatoric_var,5,8.029234936657303e-05,9.577681721566477e-05,8.80345832911189e-05,1307.7947042069566,103.17405755170209,1179.7077289246713,1435.8816794892418,5
aleatoric_var,6,9.577681721566477e-05,0.00011126128506475651,0.00010351905114021063,853.7718021079725,92.73487303384547,738.6447084183625,968.8988957975824,5
aleatoric_var,7,0.00011126128506475651,0.00012674575291384826,0.00011900351898930239,589.7079073239663,34.56742844115856,546.7936568100124,632.6221578379202,5
aleatoric_var,8,0.00012674575291384826,0.00014223022076294,0.00013448798683839412,428.9733626728324,64.09072357465186,349.40697630466565,508.5397490409992,5
aleatoric_var,9,0.00014223022076294,0.00015771468861203175,0.00014997245468748586,337.64691684832377,35.206581164088426,293.93918063683884,381.3546530598087,5
aleatoric_var,10,0.00015771468861203175,0.00017319915646112348,0.00016545692253657762,240.8408842743457,38.36686879236303,193.20976176854086,288.47200678015054,5
aleatoric_var,11,0.00017319915646112348,0.00018868362431021521,0.00018094139038566935,170.91092004300813,15.21486035228293,152.02220433179653,189.79963575421974,5
aleatoric_var,12,0.00018868362431021521,0.00020416809215930697,0.0001964258582347611,132.29288009435868,11.871721087459994,117.55455457366594,147.03120561505142,5
aleatoric_var,13,0.00020416809215930697,0.0002196525600083987,0.00021191032608385284,115.332254441236,13.32418550892424,98.79074526308887,131.87376361938314,5
aleatoric_var,14,0.0002196525600083987,0.00023513702785749047,0.00022739479393294457,91.06551312215224,15.530428608044932,71.78503048488555,110.34599575941893,5
