epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,train_loss_geometric_mean,train_loss_geometric_ci95_low,train_loss_geometric_ci95_high,train_loss_geometric_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,val_loss_geometric_mean,val_loss_geometric_ci95_low,val_loss_geometric_ci95_high,val_loss_geometric_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,train_rmse_e_atom_geometric_mean,train_rmse_e_atom_geometric_ci95_low,train_rmse_e_atom_geometric_ci95_high,train_rmse_e_atom_geometric_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n,val_rmse_e_atom_geometric_mean,val_rmse_e_atom_geometric_ci95_low,val_rmse_e_atom_geometric_ci95_high,val_rmse_e_atom_geometric_n
0,-1.765320465066314,-1.765320465066314,0.2673213168630185,-2.097190507962543,-1.4334504221700848,5,nan,nan,nan,0,-1.7442786674374342,-1.7442786674374342,0.26467160380696814,-2.072859184470581,-1.4156981504042876,5,nan,nan,nan,0,0.036786464911934144,0.036786464911934144,0.007500148012170399,0.027475294101704614,0.046097635722163674,5,0.0362099776425336,0.028373468895304253,0.04621086289134628,5,0.03652603171251053,0.03652603171251053,0.006100918974344847,0.028951954697321536,0.044100108727699525,5,0.03613743355357675,0.029556151237623247,0.044184173146902254,5
5,-2.8810246293579342,-2.8810246293579342,0.07173602472128542,-2.9700823890638586,-2.79196686965201,5,nan,nan,nan,0,-2.8438981026995185,-2.8438981026995185,0.06536702828949163,-2.9250489766253294,-2.7627472287737076,5,nan,nan,nan,0,0.016467506513371012,0.016467506513371012,0.007848803263156035,0.006723492432509644,0.02621152059423238,5,0.015377009376935327,0.009555417178894614,0.024745378768037226,5,0.016699034312045176,0.016699034312045176,0.006279651700153301,0.008903066883936342,0.02449500174015401,5,0.015972947727385098,0.010835118073104298,0.023547049268903778,5
10,-3.1351175783946514,-3.1351175783946514,0.008807482719960893,-3.1460517594108963,-3.1241833973784066,5,nan,nan,nan,0,-3.084873992766142,-3.084873992766142,0.008669281070536392,-3.095636601279823,-3.074111384252461,5,nan,nan,nan,0,0.010138144335674807,0.010138144335674807,0.00014653485861445393,0.009956226446054763,0.010320062225294852,5,0.010137291396824335,0.009956096929513252,0.010321783485202851,5,0.011256989217600606,0.011256989217600606,6.679037416819751e-05,0.011174071309667312,0.0113399071255339,5,0.011256830474027306,0.011174128325300754,0.01134014471930447,5
15,-3.3037029208633903,-3.3037029208633903,0.045982891151759214,-3.3607890681190793,-3.2466167736077014,5,nan,nan,nan,0,-3.2461292160260675,-3.2461292160260675,0.0427784883327436,-3.2992372095247613,-3.1930212225273737,5,nan,nan,nan,0,0.008390602680035743,0.008390602680035743,0.00012503588371064468,0.008235375014028537,0.00854583034604295,5,0.008389862884858563,0.008236916854687752,0.008545648871843033,5,0.00957297201444741,0.00957297201444741,0.00017339814975173048,0.009357704290677662,0.009788239738217156,5,0.009571727266418278,0.009360335963298527,0.009787892573720132,5
20,-3.406188100514412,-3.406188100514412,0.0377938855858778,-3.453107884457522,-3.359268316571302,5,nan,nan,nan,0,-3.341510865616798,-3.341510865616798,0.032021495607432116,-3.3812644297752654,-3.301757301458331,5,nan,nan,nan,0,0.007802254249096502,0.007802254249096502,0.0005114002702950101,0.007167368742652152,0.008437139755540852,5,0.007789556657677376,0.007203945691107312,0.00842277212029333,5,0.008991701725825765,0.008991701725825765,0.00033491873153063996,0.008575911862510152,0.009407491589141379,5,0.008986856317871316,0.008589341555027339,0.009402768065590858,5
25,-3.510732425291658,-3.510732425291658,0.011946707397664071,-3.525563843687532,-3.495901006895784,5,nan,nan,nan,0,-3.4387454451227186,-3.4387454451227186,0.012317117664372372,-3.4540367148785376,-3.4234541753668997,5,nan,nan,nan,0,0.006889825698605076,0.006889825698605076,0.00016973719482186775,0.006679102922031729,0.0071005484751784234,5,0.006888128093365533,0.006678345075994163,0.007104500904147793,5,0.008233200399184824,0.008233200399184824,0.00010004002300661419,0.008109004217914486,0.008357396580455161,5,0.008232714363951888,0.008109490650925978,0.008357810461336507,5
30,-3.580400129811287,-3.580400129811287,0.022605385677299,-3.608463923609876,-3.552336336012698,5,nan,nan,nan,0,-3.501302462272644,-3.501302462272644,0.025298789833799414,-3.5327100229037627,-3.4698949016415255,5,nan,nan,nan,0,0.00648748035294595,0.00648748035294595,0.00015914005043624825,0.006289913559603207,0.0066850471462886925,5,0.006485920901248296,0.00629154761068861,0.006686299228791062,5,0.007923121943420628,0.007923121943420628,0.00014766318940281605,0.007739803270684859,0.008106440616156398,5,0.00792202193381023,0.007740918187368517,0.008107362718569794,5
35,-3.596741396486282,-3.596741396486282,0.011180679554062562,-3.6106218181704124,-3.582860974802152,5,nan,nan,nan,0,-3.515737853059769,-3.515737853059769,0.008905924207072546,-3.526794245731014,-3.5046814603885243,5,nan,nan,nan,0,0.006236080432739315,0.006236080432739315,0.000298708178515275,0.005865244701490406,0.006606916163988223,5,0.006230454272911053,0.005875095254905679,0.006607307415896325,5,0.007689520816325441,0.007689520816325441,0.00022324568160213845,0.007412369129362654,0.00796667250328823,5,0.007686941977600183,0.007415840137463953,0.007967954523248248,5
40,-3.6583518525691034,-3.6583518525691034,0.02223068789539218,-3.6859504722079444,-3.6307532329302625,5,nan,nan,nan,0,-3.572045956103801,-3.572045956103801,0.020430414038142393,-3.5974095988644734,-3.546682313343129,5,nan,nan,nan,0,0.005810793980788787,0.005810793980788787,0.0002561013422586583,0.005492853143003992,0.006128734818573582,5,0.005806270626972067,0.005496606459676074,0.006133380448638732,5,0.007361379514508276,0.007361379514508276,0.00018154408009188515,0.007135998903808519,0.007586760125208033,5,0.007359594790427913,0.0071382267828875795,0.007587827779461949,5
45,-3.7060482327981,-3.7060482327981,0.03256838323213027,-3.7464807387693555,-3.6656157268268443,5,nan,nan,nan,0,-3.6141195502096415,-3.6141195502096415,0.028055161934812455,-3.6489490501688158,-3.579290050250467,5,nan,nan,nan,0,0.005640963345567745,0.005640963345567745,0.0002861582759415922,0.005285707878378383,0.0059962188127571075,5,0.005635384383510259,0.0053011747436732745,0.005990664085882586,5,0.00719867313314692,0.00719867313314692,0.00013954142784053446,0.007025437342650761,0.007371908923643079,5,0.007197606316968163,0.0070282341285172936,0.0073710601762478735,5
