epoch,au_var,au_var_mean,au_var_std,au_var_ci95_low,au_var_ci95_high,au_var_n,eu_var,eu_var_mean,eu_var_std,eu_var_ci95_low,eu_var_ci95_high,eu_var_n,tu_var,tu_var_mean,tu_var_std,tu_var_ci95_low,tu_var_ci95_high,tu_var_n,rmse_energy,rmse_energy_mean,rmse_energy_std,rmse_energy_ci95_low,rmse_energy_ci95_high,rmse_energy_n
190,0.0002747354120457967,0.0002747354120457967,0.0003280538394095553,-0.00013253192837700176,0.0006820027524685952,5,3.414617903041307e-05,3.414617903041307e-05,2.039363564368853e-05,8.828195357045662e-06,5.9464162703780474e-05,5,0.00030888159037613513,0.00030888159037613513,0.0003459941986234909,-0.00012065807704164622,0.0007384212577939165,5,0.0032362219194503857,0.0032362219194503857,0.00028030728880411163,0.0028882302476630787,0.0035842135912376926,5
200,0.0002428854465908771,0.0002428854465908771,0.0004506292599287122,-0.00031655498104801055,0.0008023258742297648,5,1.9926864894270012e-05,1.9926864894270012e-05,2.1575668441023736e-06,1.7248321299220138e-05,2.2605408489319886e-05,5,0.00026281231139303507,0.00026281231139303507,0.0004505714817843861,-0.00029655638670530944,0.0008221810094913796,5,0.0030171452097792406,0.0030171452097792406,8.081614799823649e-05,0.002916814795364044,0.0031174756241944372,5
210,4.2572447109392666e-05,4.2572447109392666e-05,7.0049402624549e-06,3.387605935899985e-05,5.126883485978548e-05,5,2.078465260252671e-05,2.078465260252671e-05,1.771659086113419e-06,1.8585199959521667e-05,2.298410524553175e-05,5,6.335709971594132e-05,6.335709971594132e-05,7.789656337655897e-06,5.36865144694627e-05,7.302768496241996e-05,5,0.0028630131750602998,0.0028630131750602998,0.00012767189537930913,0.002704512992982094,0.0030215133571385054,5
220,3.696191327117594e-05,3.696191327117594e-05,4.520597409635448e-06,3.134975007425042e-05,4.2574076468101466e-05,5,1.8106518200537665e-05,1.8106518200537665e-05,1.4062241253214563e-06,1.6360740249610977e-05,1.9852296151464353e-05,5,5.506843148722419e-05,5.506843148722419e-05,5.1539032992093545e-06,4.867004123139552e-05,6.146682174305285e-05,5,0.002850201175304959,0.002850201175304959,0.00014678173152368762,0.0026679768016231913,0.003032425548986727,5
230,3.7214712359241277e-05,3.7214712359241277e-05,7.95544063497667e-06,2.7338311719852704e-05,4.709111299862985e-05,5,1.60573773793202e-05,1.60573773793202e-05,7.00885086831728e-07,1.5187253116273254e-05,1.6927501642367144e-05,5,5.327208974169025e-05,5.327208974169025e-05,8.280806295769103e-06,4.299175904138747e-05,6.355242044199302e-05,5,0.002703774792040188,0.002703774792040188,0.00012001217997921957,0.002554783878090058,0.0028527657059903185,5
240,3.64900077757893e-05,3.64900077757893e-05,6.827593597019096e-06,2.8013789692957426e-05,4.4966225858621176e-05,5,1.615587529366496e-05,1.615587529366496e-05,1.386006311785471e-06,1.4435197049429057e-05,1.7876553537900866e-05,5,5.264588300424201e-05,5.264588300424201e-05,7.960868016966622e-06,4.276274446039092e-05,6.252902154809311e-05,5,0.002662219528463194,0.002662219528463194,9.08534917980314e-05,0.0025494281036187055,0.002775010953307683,5
250,3.174173561083489e-05,3.174173561083489e-05,3.648669143055767e-06,2.7212040788029017e-05,3.627143043364077e-05,5,1.5856846067236093e-05,1.5856846067236093e-05,1.107245120504819e-06,1.4482240068916587e-05,1.7231452065555598e-05,5,4.759858169584732e-05,4.759858169584732e-05,4.063382857702968e-06,4.255403433571033e-05,5.2643129055984314e-05,5,0.002571887553727827,0.002571887553727827,0.00016371077490139247,0.002368646366206144,0.0027751287412495105,5
260,2.956956679983068e-05,2.956956679983068e-05,5.134690350504873e-06,2.3195028746233933e-05,3.594410485342743e-05,5,1.5159352336392828e-05,1.5159352336392828e-05,1.4493789859470527e-06,1.3359999138961066e-05,1.695870553382459e-05,5,4.472891911922761e-05,4.472891911922761e-05,5.807274375987247e-06,3.751939157804528e-05,5.1938446660409935e-05,5,0.0025609972836606104,0.0025609972836606104,0.00014436425089745785,0.0023817741274221142,0.0027402204398991065,5
270,3.100271557755832e-05,3.100271557755832e-05,7.178463926758774e-06,2.2090904281479673e-05,3.991452687363697e-05,5,1.4574106601808354e-05,1.4574106601808354e-05,1.350734786793954e-06,1.2897216719268828e-05,1.625099648434788e-05,5,4.557682220744664e-05,4.557682220744664e-05,8.511787150586923e-06,3.5009736873820415e-05,5.614390754107287e-05,5,0.002491924181955143,0.002491924181955143,0.00011963609652311844,0.002343400162430693,0.0026404482014795935,5
280,2.578629643374961e-05,2.578629643374961e-05,2.6429162325898027e-06,2.2505208588704444e-05,2.9067384278794777e-05,5,1.2728665202143644e-05,1.2728665202143644e-05,9.782067068325688e-07,1.1514255870454412e-05,1.3943074533832875e-05,5,3.8514961646183105e-05,3.8514961646183105e-05,2.3318790221108156e-06,3.5620015593327595e-05,4.1409907699038616e-05,5,0.0023942182899300583,0.0023942182899300583,0.000140242862597161,0.002220111692775073,0.0025683248870850437,5
290,2.5377173106784994e-05,2.5377173106784994e-05,3.4504483606724206e-06,2.1093562435907014e-05,2.9660783777662974e-05,5,1.2121359413693283e-05,1.2121359413693283e-05,1.129830437328814e-06,1.0718714536352973e-05,1.3524004291033594e-05,5,3.7498532531707505e-05,3.7498532531707505e-05,4.305636676640083e-06,3.215323554851058e-05,4.284382951490443e-05,5,0.002343535343780574,0.002343535343780574,8.579023740666977e-05,0.0022370297717508717,0.0024500409158102767,5
