epoch,uncertainty_type,bin_index,count,rmse,rmv,mse,mean_variance,ence_term,uncertainty_min,uncertainty_max
197,aleatoric,0,125,0.00047063341793201964,0.0003170517596983398,2.2149581407437508e-07,1.0052181832781381e-07,1.2034600821888284,1.0052181832781384e-07,1.0052181832781384e-07
197,aleatoric,1,125,0.00028345916436888185,0.0003182836560548161,8.034909786470478e-08,1.0130448571162048e-07,0.20685547831088733,1.0052181832781384e-07,1.0200457864904703e-07
197,aleatoric,2,125,0.00033042092787477614,0.00031938155652611977,1.0917798957762802e-07,1.0200457864904705e-07,0.07032440135125229,1.0200457864904703e-07,1.0200457864904703e-07
197,aleatoric,3,125,0.00025914165005942144,0.00031938155652611977,6.715439479551965e-08,1.0200457864904705e-07,0.34165313278173104,1.0200457864904703e-07,1.0200457864904703e-07
197,aleatoric,4,125,0.00029318098243077517,0.00031938155652611977,8.59550884590745e-08,1.0200457864904705e-07,0.1573408802088365,1.0200457864904703e-07,1.0200457864904703e-07
197,aleatoric,5,125,0.0003158684578012898,0.00031938155652611977,9.97728826337652e-08,1.0200457864904705e-07,0.021878390605975986,1.0200457864904703e-07,1.0200457864904703e-07
197,aleatoric,6,125,0.0002547325611253589,0.00031938155652611977,6.48886776974847e-08,1.0200457864904705e-07,0.3638650484431867,1.0200457864904703e-07,1.0200457864904703e-07
197,aleatoric,7,125,0.00028785695569583575,0.00031938155652611977,8.286162694247433e-08,1.0200457864904705e-07,0.187667572966849,1.0200457864904703e-07,1.0200457864904703e-07
197,aleatoric,8,125,0.00026070448384795536,0.0003194711417661267,6.796682789842881e-08,1.0206181042135263e-07,0.3340620980772913,1.0200457864904703e-07,1.0915855018724455e-07
197,aleatoric,9,125,0.00035785048208778706,0.0003953247940665775,1.280569675304616e-07,1.562816928037819e-07,0.18060160961244268,1.166314844672493e-07,1.568153033008524e-07
197,aleatoric,10,125,0.00033189970255452435,0.0004042662608693907,1.1015741255578174e-07,1.634312096773183e-07,0.325970769149426,1.568153033008524e-07,1.641077132526761e-07
