epoch,loader,config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
197,Default_Default,0,9,-31.462899957398,-31.4634393850807,-0.0005394276826997668,2.909822248628403e-07,2.1552269350711226e-07,4.805571784020579e-07,3.2451775788424e-07,9.27250307045179e-07,6.611426505449444e-07,1.5883929575901233e-06
197,Default_Default,1,20,-31.97680904548136,-31.977253920472442,-0.0004448749910821448,1.9791375769033842e-07,1.7551119629417926e-06,5.1197317006469075e-06,1.6699481284654302e-06,2.972924365803974e-06,3.858681100365609e-06,6.831605466169583e-06
197,Default_Default,2,17,-20.170478869,-20.170040158299088,0.0004387107009122815,1.924670790949453e-07,2.1552269350711226e-07,4.805571784020579e-07,4.221477100517373e-07,8.821102480659122e-07,8.135542040400228e-07,1.695664452105935e-06
197,Default_Default,3,16,-35.1345444361875,-35.13271876832853,0.0018256678589665398,3.3330631312634697e-06,1.1667677584209041e-06,9.430648456694888e-07,1.1035575820785583e-06,1.6459041279405844e-06,1.0702316447786314e-06,2.7161357727192156e-06
197,Default_Default,4,21,-20.23384501395238,-20.23380792316961,3.709078276870059e-05,1.3757261663949369e-09,2.6617641837046547e-07,1.8292549897302366e-07,1.4551977736998717e-07,1.026508305176019e-06,1.0167624567942242e-07,1.1281845508554414e-06
197,Default_Default,5,21,-31.910734515007988,-31.910724009728316,1.0505279671946255e-05,1.1036090098580721e-10,1.641077132526761e-07,2.75186149793155e-07,1.4551977736998717e-07,6.367117575335098e-07,4.6912381751120623e-07,1.105835575044716e-06
197,Default_Default,6,32,-16.8600995775,-16.860160909485565,-6.133198556312891e-05,3.7616124531158535e-09,1.0200457864904703e-07,4.805571784020579e-07,2.023541766059904e-07,5.484825279545085e-07,6.197089101848949e-07,1.1681914381394034e-06
197,Default_Default,7,21,-24.176221641632463,-24.176235632323692,-1.3990691229537333e-05,1.9573944108025285e-10,2.98536311507103e-07,1.8292549897302366e-07,2.0528465489607257e-07,1.088134572678713e-06,1.2625394251374072e-07,1.2143885151924536e-06
197,Default_Default,8,27,-19.57173453364346,-19.57181399557864,-7.946193517938127e-05,6.314199142452191e-09,1.0200457864904703e-07,1.8292549897302366e-07,1.2739843537234147e-07,5.302457082775797e-07,1.6418878088901061e-07,6.944344891665903e-07
197,Default_Default,9,19,-36.71685491006682,-36.716760257457295,9.465260952623566e-05,8.959116490126038e-09,2.1552269350711226e-07,2.75186149793155e-07,2.0528465489607257e-07,7.74032107909059e-07,4.7059089659949244e-07,1.2446230045085513e-06
197,Default_Default,10,57,-19.865489827934034,-19.865650107642097,-0.00016027970806220537,2.568958481650578e-08,1.0052181832781384e-07,2.3044137458018729e-07,6.625620437713464e-08,3.236116473397769e-07,3.5465211546432e-07,6.782637628040969e-07
197,Default_Default,11,33,-19.773482775454546,-19.774451945521648,-0.0009691700671012882,9.392906189651154e-07,1.568153033008524e-07,1.8292549897302366e-07,1.2739843537234147e-07,6.261798281927238e-07,2.8370114468583564e-07,9.098809728785595e-07
197,Default_Default,12,21,-23.54535358318265,-23.54560386593861,-0.00025028275596028493,6.264145793107554e-08,1.641077132526761e-07,1.8292549897302366e-07,1.2739843537234147e-07,6.37036400509393e-07,3.134931654693396e-07,9.505295659787326e-07
197,Default_Default,13,22,-30.50983143554298,-30.509949484865196,-0.00011804932221437525,1.3935642475273391e-08,1.641077132526761e-07,1.8292549897302366e-07,1.2739843537234147e-07,7.354376600929973e-07,2.1628899248048712e-07,9.517266525734844e-07
197,Default_Default,14,21,-21.822922494285713,-21.822702746070732,0.00021974821498105257,4.82892779873589e-08,2.1552269350711226e-07,1.8292549897302366e-07,1.3402221104668203e-07,8.460044434328984e-07,1.7943065848658405e-07,1.0254351019194823e-06
197,Default_Default,15,35,-22.34507989408473,-22.345020185415844,5.970866888560522e-05,3.565125140090841e-09,1.0052181832781384e-07,1.8292549897302366e-07,5.142410792590517e-08,4.4791883226293893e-07,1.7777721268027992e-07,6.256960449432189e-07
197,Default_Default,16,14,-28.206274349785712,-28.206104803797754,0.00016954598795848597,2.874584203281907e-08,2.1552269350711226e-07,4.805571784020579e-07,3.2451775788424e-07,8.726951474852496e-07,7.295101985914303e-07,1.60220534607668e-06
197,Default_Default,17,21,-22.414416816238095,-22.41437958425192,3.723198617677781e-05,1.3862207946677738e-09,2.6617641837046547e-07,2.3044137458018729e-07,3.2451775788424e-07,1.0100776302641504e-06,4.451423652331438e-07,1.4552199954972942e-06
197,Default_Default,18,30,-26.528310772999998,-26.528269746591324,4.1026408673872083e-05,1.6831662086755665e-09,1.641077132526761e-07,1.8292549897302366e-07,1.3402221104668203e-07,6.810330277618213e-07,3.14449927169992e-07,9.954829549318134e-07
197,Default_Default,19,11,-42.14768946518182,-42.147137954725004,0.0005515104568161178,3.041637839775229e-07,1.1667677584209041e-06,4.805571784020579e-07,7.546051717622994e-07,1.6331174330846293e-06,6.619410426383867e-07,2.295058475723016e-06
197,Default_Default,20,11,-25.585677656363636,-25.584621579071076,0.0010560772925600759,1.11529924786102e-06,6.341812865285387e-07,2.3044137458018729e-07,3.2451775788424e-07,1.2112252767471004e-06,3.491188618574119e-07,1.5603441386045123e-06
197,Default_Default,21,22,-13.286516208846392,-13.286591177061997,-7.496821560515343e-05,5.620233351020771e-09,1.568153033008524e-07,2.75186149793155e-07,2.023541766059904e-07,6.332583486865155e-07,5.35115439271656e-07,1.1683737879581715e-06
197,Default_Default,22,21,-29.703873339047618,-29.703090296883506,0.0007830421641124019,6.131550307778338e-07,2.1552269350711226e-07,2.3044137458018729e-07,2.0528465489607257e-07,9.28731675386865e-07,3.360120614813185e-07,1.2647437368681836e-06
197,Default_Default,23,21,-26.303726307666665,-26.305281100939705,-0.0015547932730406444,2.41738212189244e-06,6.341812865285387e-07,2.75186149793155e-07,4.221477100517373e-07,1.227115509370251e-06,5.075935434538109e-07,1.7347090528240617e-06
197,Default_Default,24,13,-36.35606652630392,-36.35632186940011,-0.00025534309619246187,6.520009677315283e-08,2.98536311507103e-07,2.3044137458018729e-07,3.2451775788424e-07,1.0762941802964728e-06,3.917407932862477e-07,1.4680349735827204e-06
197,Default_Default,25,20,-27.044814345200002,-27.04495450954578,-0.00014016434577612813,1.9646043826850008e-08,2.1552269350711226e-07,2.75186149793155e-07,2.748175754278456e-07,8.340448257301524e-07,4.90631051560136e-07,1.3246758772902884e-06
197,Default_Default,26,28,-23.18541069617857,-23.18520759325742,0.00020310292115155448,4.125079658029456e-08,1.0200457864904703e-07,1.8292549897302366e-07,1.2739843537234147e-07,5.681321837934988e-07,2.641469034356768e-07,8.322790872291757e-07
197,Default_Default,27,13,-31.601224990538462,-31.601799486734567,-0.0005744961961049455,3.30045879339052e-07,6.341812865285387e-07,4.805571784020579e-07,5.580019867585311e-07,1.2131464354846924e-06,7.041512938529516e-07,1.9172977293376442e-06
197,Default_Default,28,22,-25.01524692231818,-25.0154352662296,-0.00018834391141808737,3.5473428968264346e-08,2.1552269350711226e-07,2.3044137458018729e-07,2.748175754278456e-07,9.556815024765535e-07,3.778369274424459e-07,1.3335184299189993e-06
197,Default_Default,29,46,-23.574315651086955,-23.574311927103054,3.723983901693373e-06,1.3868056100071396e-11,1.0052181832781384e-07,1.8292549897302366e-07,5.142410792590517e-08,4.2862864454072614e-07,1.691263806550068e-07,5.977550251957329e-07
197,Default_Default,30,19,-36.2602739842468,-36.26022148340729,5.250083950869566e-05,2.7563381491178196e-09,1.641077132526761e-07,1.8292549897302366e-07,1.2739843537234147e-07,6.628931429283624e-07,2.796122896698844e-07,9.425054325982469e-07
197,Default_Default,31,34,-20.794134962194075,-20.793769322276546,0.00036563991752913694,1.3369254929071405e-07,1.0200457864904703e-07,2.3044137458018729e-07,1.2739843537234147e-07,5.514904586775501e-07,4.073580969639315e-07,9.588485556414814e-07
