epoch,mace-mv-sp_run-0_epoch_outputs,mace-mv-sp_run-0_epoch_outputs_top1_share,mace-mv-sp_run-0_epoch_outputs_top5_share,mace-mv-sp_run-0_epoch_outputs_top20_share,mace-mv-sp_run-1_epoch_outputs,mace-mv-sp_run-1_epoch_outputs_top1_share,mace-mv-sp_run-1_epoch_outputs_top5_share,mace-mv-sp_run-1_epoch_outputs_top20_share,mace-mv-sp_run-2_epoch_outputs,mace-mv-sp_run-2_epoch_outputs_top1_share,mace-mv-sp_run-2_epoch_outputs_top5_share,mace-mv-sp_run-2_epoch_outputs_top20_share,mace-mv-sp_run-3_epoch_outputs,mace-mv-sp_run-3_epoch_outputs_top1_share,mace-mv-sp_run-3_epoch_outputs_top5_share,mace-mv-sp_run-3_epoch_outputs_top20_share,mace-mv-sp_run-4_epoch_outputs,mace-mv-sp_run-4_epoch_outputs_top1_share,mace-mv-sp_run-4_epoch_outputs_top5_share,mace-mv-sp_run-4_epoch_outputs_top20_share
0,0.005534287048974016,0.002075081503159561,0.010218442134041631,0.0392659024242149,0.03379732327457269,0.000453271371009337,0.002265361731195694,0.009055116352807695,0.03424879486719809,0.0003659059163288501,0.0018196121231995627,0.007182367161356364,0.02925573189828594,0.00034457596404012834,0.0017082829191682365,0.00669689527736823,0.01827907002697242,0.0003154349774229639,0.0015528783071473526,0.006087806328442124
1,0.024640526476387602,0.0005592966882308785,0.0027762100166163917,0.010920792070272193,0.012989564464837084,0.0007571669402624833,0.0036646609031137194,0.01202281412557135,0.035588635443125564,0.0003349312730491357,0.0016593207407536686,0.006489119687518635,0.03236832664219703,0.00036096189310000294,0.0017984150320236824,0.0071420961606302015,0.014096080117779484,0.0011360518891252083,0.005669113301605666,0.02256126959088074
2,0.014101913472026934,0.00039710013763199576,0.0019336742372253058,0.0074595874325902685,0.025588720823951284,0.00039758372516219875,0.001977563779235001,0.00782611340506002,0.018187096547486997,0.0003244945037257835,0.001564491685134833,0.005752053633757244,0.030759899250782236,0.0003102320418187956,0.0015308112023133984,0.005922850407420451,0.027617507956955313,0.0005592217829927951,0.002785910661622575,0.011037069571348146
3,0.008627771777518686,0.00037321510019492764,0.001642357934122279,0.005752605609021736,0.03907439024383142,0.00039019055043162883,0.0019476025267181466,0.007761593430131929,0.0368176706719757,0.00040108898484987984,0.0019987403484442844,0.007848256201309231,0.03762350066671786,0.0003921523827987829,0.0019510086702758651,0.007701940213716858,0.03526847979760024,0.00046129842983794916,0.0023034388345901055,0.009184386974215017
4,0.0006877639873378623,0.0016572528861361169,0.006062923235321326,0.015875317000001235,0.0317860145932979,0.0004926661702169497,0.002450026137075653,0.009662629118285703,0.01597724313696891,0.0013353158593122807,0.004789665601318956,0.013983539205501272,0.026784289042673527,0.00036576808079358974,0.001815729122117559,0.007150747352208741,0.021917385090780735,0.0006452300577107549,0.0032152823959825474,0.012762078234860216
5,0.0025431124014906395,0.002016078875272453,0.006521860649297749,0.018275059824669534,0.03274882717460115,0.00035301083546074465,0.0017483503452256231,0.006839091315971311,0.03338070552977398,0.0002540997862368956,0.001269179572860099,0.005065382383081674,0.03064572836304361,0.0003459916345800819,0.0017064269700158752,0.0066104534002851155,0.018168527009581954,0.0003829859721932,0.0018740021885634733,0.007108594999390958
6,0.00013744643491868963,0.030592613487218312,0.08718586480789933,0.18602175760136683,0.0069961706406567485,0.0004281565032148802,0.002024927413010968,0.007513433793616068,0.019516629687178776,0.00036138018559368697,0.0017832188574579413,0.007003114465153687,0.007385603730884682,0.00038000767393017395,0.0018949212922878798,0.007525120598076636,0.0014179993982009278,0.0009585893635926614,0.003116757629947038,0.008831351146498405
7,0.00019511375068339282,0.012188320311999215,0.0368958661030594,0.08171417586586753,0.015775177760193517,0.0003126662319645983,0.0015408919189524343,0.006079846765295555,0.01818785728116227,0.0010413491760121359,0.00520648921171516,0.02081405521149597,0.02614342435059466,0.000604077951547534,0.003015715361140832,0.011995942194952265,0.002639809457045043,0.0010026942807801339,0.0030173663852801026,0.008858955017841749
8,8.082176170699509e-05,0.019687178172275593,0.060222195776770814,0.12454861313911218,0.0031607087649079347,0.001829350776297227,0.008935388054496967,0.03365301573133685,0.03882229601529864,0.00042607212072214056,0.002129953289404415,0.008514559225886995,0.0029423111276052263,0.0013288296402462084,0.006349734652155368,0.022253855440883017,0.00024163333902112196,0.0022885505377609624,0.008441620119792253,0.020942068021488694
9,6.441002680695034e-05,0.02778904546504042,0.07733951194198993,0.14680393450569848,0.001179016980946367,0.0008252585456077672,0.0025821281776079773,0.00775670485340465,0.035514595767155904,0.00047083088887703967,0.0023526497057742768,0.009372765469791718,0.0008453118836511963,0.0009796906523796473,0.00474161045626263,0.017337511324847812,0.00014236983067254867,0.003835376090852736,0.014388537304322612,0.036842091379149226
10,3.758894801657461e-05,0.03182701673895248,0.08215096554633972,0.14102381417577647,0.003196084052459364,0.0005843918822859395,0.0025194480544884924,0.00915860531431369,0.02856959403227164,0.0005695906792331022,0.002842866325167495,0.01124200114231271,0.0022256083741178352,0.00048435929564995397,0.0023407115489251563,0.008621409373474508,0.0002341088944864819,0.0027574184270529904,0.010644251446963227,0.02697725544401401
11,2.626752662118985e-05,0.02192803982932141,0.07103908805395917,0.12572316244389295,0.002445768567748329,0.0007806063425636451,0.0026349869836737125,0.007961870683930568,0.002602307164789328,0.0007736074253986843,0.003843748975422593,0.014937101368278511,0.00013995439060491906,0.04324279660671183,0.05796187109870607,0.07877383862327522,0.0010798227686222234,0.0015152092072495491,0.006011282771164345,0.018170372862782835
12,2.9499087243393607e-05,0.01788432582709185,0.0626179412606193,0.13365479266952582,0.00040439741710931277,0.0016787622771252352,0.005827455759604753,0.01341637492025212,0.022479188021272512,0.0005419638595022138,0.0026432565095303377,0.009918391438640688,7.770554675921942e-05,0.00349418195181472,0.011701018306254495,0.024169650319901266,8.372492888287283e-05,0.013075235816384211,0.0463688333192348,0.10599689808394588
