config_index,num_atoms,ref_energy,pred_energy,error,sq_error,rmse_e_atom,aleatoric_var,epistemic_var,total_var
0,48.0,-156.22341918945312,-156.22666931152344,-0.0032501220703125,1.0563293471932411e-05,0.0032501220703125,6.30908107268624e-05,9.895686162053607e-06,7.298649870790541e-05
1,48.0,-156.22621154785156,-156.2291717529297,-0.002960205078125,8.762814104557037e-06,0.002960205078125,4.2317882616771385e-05,1.5111988886928884e-06,4.382908082334325e-05
2,48.0,-156.24191284179688,-156.23304748535156,0.0088653564453125,7.859454490244389e-05,0.0088653564453125,6.513405969599262e-05,5.7577153711463325e-06,7.089177233865485e-05
3,48.0,-156.22340393066406,-156.22354125976562,-0.0001373291015625,1.885928213596344e-08,0.0001373291015625,4.966962296748534e-05,1.5698140487074852e-05,6.536776345456019e-05
4,48.0,-156.24049377441406,-156.232177734375,0.0083160400390625,6.915652193129063e-05,0.0083160400390625,4.460104901227169e-05,2.996146122313803e-06,4.759719377034344e-05
5,48.0,-156.22779846191406,-156.2252655029297,0.002532958984375,6.4158812165260315e-06,0.002532958984375,5.795779361505993e-05,5.330855401552981e-06,6.328865129034966e-05
6,48.0,-156.24261474609375,-156.23660278320312,0.006011962890625,3.6143697798252106e-05,0.006011962890625,3.858068521367386e-05,6.863789167255163e-06,4.544447438092902e-05
7,48.0,-156.2252960205078,-156.22987365722656,-0.00457763671875,2.0954757928848267e-05,0.00457763671875,4.899166742688976e-05,2.752593672994408e-06,5.1744260417763144e-05
8,48.0,-156.22303771972656,-156.230224609375,-0.0071868896484375,5.165138281881809e-05,0.0071868896484375,4.254275336279534e-05,5.737482752010692e-06,4.828023520531133e-05
9,48.0,-156.23440551757812,-156.2294158935547,0.0049896240234375,2.4896347895264626e-05,0.0049896240234375,5.087592944619246e-05,9.097740871766291e-07,5.178570427233353e-05
10,48.0,-156.23316955566406,-156.22642517089844,0.006744384765625,4.5486725866794586e-05,0.006744384765625,5.804963439004496e-05,4.760141109727556e-06,6.280977686401457e-05
