epoch,au_var,eu_var,tu_var,rmse_energy
0,0.011605325605995021,0.004525704352981484,0.01613102995610796,0.06072940854774196
10,0.005495504859941284,0.005027006091054577,0.010522511009977897,0.0421950935909067
20,0.0005519786723360449,0.0001295717523612275,0.0006815504240196242,0.01986692898352787
30,0.00545677866097516,0.0010238627020471335,0.0064806414949905595,0.02660349372428145
40,0.0006761629646065193,9.193099324884528e-05,0.0007680939567597307,0.01744753105791074
50,0.0003628646085967739,0.0001232037678119565,0.0004860683763394445,0.01724177245562886
60,0.0004178091481843603,5.9657969684663323e-05,0.0004774671180754558,0.016238320363016905
70,0.0004412629788369759,8.972471790207322e-05,0.0005309876959826034,0.01659894353432445
80,0.0009112775297311327,7.736210330817982e-05,0.0009886396332099685,0.015818718915904646
90,0.0008467319751214472,8.441374744568719e-05,0.0009311457285156394,0.015586821236150869
100,0.00037967375370204535,0.00010601454993888935,0.00048568830700712167,0.01554398256635818
110,0.00031285405354430625,0.00028587366374973315,0.0005987277130446273,0.017394497123101614
120,0.00041692176868669774,4.5470490097583464e-05,0.0004623922588887581,0.014803227364255328
130,0.001452657240456274,4.894262082120907e-05,0.001501599858498921,0.014860840789277241
140,0.00033360284872589545,4.77321700991898e-05,0.0003813350181646274,0.014765506442889579
150,0.00041324115716515736,3.597568570026553e-05,0.0004492168449867495,0.014328280178552361
160,0.00048530298168998344,7.017518026413847e-05,0.0005554781633247967,0.014431638260948431
170,0.00028359865688192714,4.952451877678925e-05,0.00033312317492371224,0.01486950507137646
180,0.00022819907686991427,4.9395723307979684e-05,0.0002775948012312165,0.014388734048036167
190,0.00020447272658305338,3.206936649464617e-05,0.00023654209296722912,0.014146884866822003
200,0.00024377560210310094,4.001971904956307e-05,0.0002837953217114045,0.014119371748763527
210,0.00018144690418829667,3.27679438417549e-05,0.00021421484847859574,0.01393340731902588
220,0.00019059689862723644,3.1033340223820165e-05,0.00022163023918173622,0.013777803929852483
230,0.0002889557875113633,4.073175323967014e-05,0.0003296875403721424,0.014104538385262357
240,0.0001754189245173802,2.2116179217840434e-05,0.0001975351042857983,0.013853065658540015
250,0.00018959240634209892,2.2661140807437635e-05,0.0002122535471064839,0.013751286353688117
260,0.0010512286748748237,0.0013524932670685428,0.0024037220124804664,0.02174855054506357
270,0.0005113733202401136,0.0004110628923554537,0.0009224362346888984,0.016837309780446647
280,0.0004198717706904722,0.00025680640453658066,0.0006766781752511815,0.015552486471775087
290,0.0003474191260319594,0.00019472935365850947,0.0005421484892320541,0.015036558060220513
