epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,nll_energy
0,0.22072302670222824,0.26082419866331924,0.26341661965897517,0.16138233048999784,0.38121090521383727,0.325106081874851,0.31284283520504963,0.39939200458466745,0.25499326628241537,0.09910823718369006
5,0.6903010138957327,0.7195684248872434,0.71686822168547,0.47285343551917514,0.3672325916325093,0.4724704373662093,0.14792778384045108,0.2832298634344754,0.15103206343791892,0.026934607865190984
10,0.7109224389646528,0.9982231531356235,0.9955286903731247,0.4513656565352621,0.3445992068173479,0.4487553131340411,0.09014126870145975,0.16563868139419533,0.09166688873838796,0.0030143827922949093
15,0.31271706290566254,0.31918918678669655,0.3148472344388007,0.4762959111736245,0.35958362170321,0.4710238463914509,0.12447775169097579,0.24776584869887,0.12664837618573396,-0.011548151636988805
20,0.45050354920275837,0.10884816705288071,0.4075007213345689,0.4719552578108538,0.36809627094573705,0.46622513369198115,0.13076032402286736,0.2508962183054521,0.13323491054297662,-0.023350316900697707
25,0.30316575316991057,0.11856449783776017,0.2659766988979664,0.48437711728935473,0.37113565489752665,0.4829590210935113,0.12178790443848805,0.24238310022221787,0.12414340677205138,-0.021520518428566626
30,0.9701006699014179,0.9746628265453856,0.9710681576337312,0.4884759088940417,0.34066702778220664,0.47704407071003385,0.08537371948102082,0.21616127146582859,0.08994088238331618,-0.02793033970291436
35,0.9741314836672501,0.9687266473699204,0.9710655432933105,0.45993641219613746,0.354262910948448,0.45027611963065806,0.09163443157615647,0.17216921746140212,0.09451642145714288,-0.03954709799410403
40,0.08764487203566766,0.11419710072161175,0.09029960492785082,0.4823565530245664,0.3816747793750142,0.4768235389853473,0.11125153499272418,0.21317931158005304,0.11356029777424212,-0.039167690266474584
45,0.17208413927119245,0.07640523291008808,0.15333184866720403,0.46062784859152267,0.3356746279598958,0.4476312530283114,0.10359352681066318,0.20540321417488366,0.10989414502108384,-0.04165346509205366
50,0.27676449940619857,0.06602946948058883,0.22615661159095135,0.4389041869094474,0.33510621895811094,0.42405742475132435,0.11150370958699785,0.21679019936302402,0.11646752556327461,-0.04128871202572687
55,0.5031253380096777,0.08980086498584687,0.4803653885472134,0.4682735225126884,0.36188719520068696,0.452496680367398,0.0972604729744306,0.19048671814082627,0.1022573784929609,-0.048839204700760745
60,0.41843858757269065,0.06573145662312471,0.4112701005346891,0.3783403753270412,0.28602017846164035,0.3689973463444867,0.11837682530487072,0.22040188721489767,0.12149582510504528,-0.04991784443579893
65,0.3366215198231469,0.07358701875317651,0.3191761269576392,0.4694065170989383,0.33013683576616226,0.4569214285453001,0.09458797616202497,0.20252617396571948,0.09957917641176078,-0.04747365557338216
70,0.16351722014927877,0.07918417201335798,0.16048499089275164,0.4567933278799548,0.31494009178063914,0.4355445390602937,0.08756552712775842,0.2089038641933767,0.09360290269541816,-0.054118127155866225
75,0.9958327654218015,0.9999995972777224,0.9999543874783356,0.43656772634189156,0.3387574111406632,0.41875981477127483,0.005908975597629032,0.0120076712676222,0.006200624076378598,-0.050444534045093976
80,0.23586573713578626,0.13813164334244532,0.23130381928353616,0.4174840659074313,0.3292475048416849,0.41213029859954714,0.09693843004548497,0.18193604707553554,0.09996450187760317,-0.052889273318888
85,0.30416400867641175,0.025008467324858025,0.2929089786535367,0.4437198814049001,0.31489339182602566,0.42711236270126185,0.08835933084878989,0.17720706688046395,0.09326968127582448,-0.055274497084810144
90,0.28640872246718596,0.110372072642389,0.28159350717683723,0.45331723357642956,0.3393353476226654,0.4401511338715426,0.0843229919011157,0.18560576386454491,0.08875248129530477,-0.05765763035450663
95,0.16329226629398716,0.1683168579662927,0.17118823621845236,0.4462237514582965,0.32108286889962884,0.4284161856546507,0.08381077285787984,0.16731515094013588,0.08981216412329038,-0.061729735304581035
100,0.4094874767334077,0.11729988955555917,0.341519833180042,0.46441347879485184,0.374511427417193,0.4560035114321545,0.08104541674278964,0.1554358011340088,0.08316106237713364,-0.06100488638286459
105,0.6072820021328359,0.4662338409405624,0.544632635472993,0.37985582122740447,0.301591398420324,0.374048742690472,0.08938378968674879,0.14621584311329378,0.09188899851192817,-0.062410355134358726
110,0.8939752474549738,0.8349702445862592,0.8529467862400217,0.40896716901577207,0.33172942098126507,0.40293119236154984,0.08143703507097341,0.1364118616473285,0.08366510962407848,-0.06183470003686134
115,0.3264559828027406,0.22786998969254957,0.315773816226677,0.4319885624337009,0.33201337962064803,0.4171640380872449,0.07776867758261616,0.15854800830246052,0.08086941502400397,-0.06498260152601451
120,0.3609651509062718,0.09081848251165718,0.35886531433568275,0.38360722933740843,0.3005588456652537,0.3727174931160188,0.08408533413178951,0.14576039795815715,0.08721573791461891,-0.06853379088764903
125,0.3120953744789419,0.18921766537621365,0.3049153119069175,0.35103793407131156,0.26032519714540286,0.3352386286079753,0.09399313265697956,0.14852334100453563,0.09740043520084639,-0.06138360775109986
130,0.18049291070387125,0.10100308949516733,0.18059443893034402,0.38046548716367556,0.30031766822747635,0.37429363716731073,0.08557094167396545,0.16295564338237525,0.0871914612615903,-0.0691104820552248
135,0.4700831281965291,0.06842406404475102,0.44566103805059437,0.40902506767822183,0.2672757032158066,0.3858361232775775,0.08447716840303879,0.16594783601689295,0.09056178033914676,-0.07022852796560027
140,0.45212973376458593,0.12157960091232071,0.4491527485350267,0.3245895528544894,0.24605391863067314,0.3155639894110755,0.08943469720918494,0.1491848208148186,0.09168286508386851,-0.06912064364564605
145,0.4991176813075981,0.08967998477446838,0.44514872125468075,0.4022158354543495,0.3303530563967054,0.39690847770692916,0.08192888362035754,0.12639972741572303,0.08360498688112195,-0.07308604691485025
150,0.39426781015625134,0.12932006763405282,0.39158016012202373,0.4136068722243642,0.31502428310524777,0.4052760629798344,0.07309656455579214,0.12206578262484288,0.075339140480334,-0.07586226550821211
155,0.5782101673420998,0.15685048698831333,0.5682069712270558,0.4016297932508269,0.3128189097724504,0.39453825460052216,0.0730106431280802,0.12144402748127327,0.07520305954756679,-0.07437907611999958
160,0.40965212784562727,0.1324476024441351,0.3903002075280244,0.4370777531466734,0.3401523201639028,0.4249383060644841,0.07304609438805335,0.1472987829605952,0.07590776480712848,-0.06774971877595408
165,0.6850976358821639,0.7230459528014926,0.7109070111721947,0.42504884674097687,0.3324754385081745,0.4138291967545254,0.051867375209901825,0.09550324458319415,0.05386175793423942,-0.07123556862503978
170,0.44241537614061527,0.12041190166680353,0.38246583061434214,0.4380759287855587,0.3624068358922122,0.431180774490387,0.06920229934011264,0.13073776057510947,0.07127961639267696,-0.07865916947418172
175,0.6535184962894603,0.08621626968938356,0.6087608923759305,0.3217927273601722,0.23727660039988407,0.31016295884575984,0.08101191981827993,0.129455903509047,0.08304374332290607,-0.07966174311919222
180,0.6039563723191148,0.21009368525337943,0.5941787322933071,0.43544551902962725,0.30042299722080645,0.41593782696754605,0.06829904267218342,0.11714415637163712,0.07225233250440759,-0.07634403701352842
185,0.7655515333719711,0.12171793651983276,0.7509688206207163,0.33004545807259666,0.26139254903175224,0.32489534164681805,0.08030413373272308,0.11542241109997921,0.08139222608187054,-0.0801700056311919
190,0.7804796651501534,0.14674896755941685,0.7674878367239955,0.4079522661283755,0.2759937050700492,0.3881148013737576,0.06402195352459361,0.12091277933048855,0.06783459493137639,-0.08135729161492214
195,0.8139544079298902,0.13337932573871805,0.8013158651105022,0.3879843138878278,0.28712077865517427,0.3735534004658292,0.06718199822467318,0.10573728962250577,0.06996471763466398,-0.08214802109014585
200,0.7075893021729558,0.08559171533512819,0.6841730683361952,0.3838506617826822,0.29888873083733947,0.37377709513789303,0.06275710330539003,0.10108989645497557,0.06497140157291416,-0.08381628813655204
205,0.7592754747719862,0.20061392479543372,0.7486245401916991,0.3723444068344163,0.2859666473784319,0.35813339784852877,0.06834344092622743,0.10452674593340808,0.07136660767417773,-0.08708339352693223
210,0.8374335230593721,0.16581620239715783,0.8281103120264133,0.36875411615539727,0.30158915561742866,0.3610840715817411,0.06616067152052638,0.11902669804915222,0.06705945296411234,-0.08598002440521886
215,0.7566886669915865,0.8016540572882458,0.7814310301754789,0.3980996813059849,0.32395478557342455,0.3905032576846466,0.03432932854577399,0.06069367431552866,0.03518809708764231,-0.07653514569092039
220,0.8045356319805538,0.21286747239888054,0.7882201593581821,0.3854592425569999,0.30799553898777265,0.3804589681208104,0.06000721604762022,0.08867562228428283,0.06081839122009258,-0.08978102872843512
225,0.4348324982277526,0.3148093008991288,0.3953690494846551,0.4162982799913679,0.3162274921235339,0.40255527857444057,0.05246653280174885,0.0849575638691355,0.05459659059894255,-0.08776133162288202
230,0.6213704340212048,0.05971914703178074,0.5861568571476833,0.3706914163941128,0.28737496469149026,0.3646755409371337,0.06482091822211367,0.09528254462417338,0.06669542412661655,-0.08651960021027018
235,0.8118771369737697,0.09136433209668433,0.7912723916912092,0.35232992133450847,0.26073438522661474,0.33974647621421944,0.059701998589124596,0.09042182089960289,0.06173734800774755,-0.0955065445954289
240,0.82370609264057,0.190299932265811,0.8079485124062962,0.33482168893386477,0.2667819494685889,0.33486369463667665,0.06460458039123822,0.09703685084801253,0.06526144033247636,-0.0955724120020663
245,0.7573456440965106,0.1449423547765277,0.7442080973835017,0.3693388352573919,0.2543706579128153,0.35370151563034724,0.05758281881457661,0.09318925739034778,0.06097891632441175,-0.09284767162429834
250,0.8479642793364613,0.18726378812923755,0.8381469083147125,0.38586814576212397,0.29280781269108574,0.37307876945834995,0.051332531295799594,0.0840330487708434,0.053218006621534815,-0.09780153585953698
255,0.9848849406058912,0.9997175276027495,0.999306357495371,0.40269805646394535,0.28646856077312105,0.38553769702730906,0.015894461693023988,0.025321707852499244,0.016466100136081505,-0.0969575826996865
260,0.9792732841071025,0.9854677519181921,0.9856088519050383,0.33395345073337135,0.2649155931699765,0.32714941253371554,0.03350452198492318,0.046289756243676046,0.03411404557603285,-0.10004901426505379
265,0.935946639531224,0.9305936380366322,0.9348674980573553,0.366268034214189,0.2915765005127263,0.3609823468170626,0.03997430640462018,0.057478085011874715,0.04107588800120124,-0.10103694405636808
270,0.9104921021511583,0.8923540428854587,0.9022113767593406,0.3410367998696381,0.24430403967736214,0.31870758216347334,0.04906329971627524,0.07592757080536315,0.051799424765803494,-0.09936812474171347
275,0.8768313533428539,0.8595928598246491,0.8697201744220941,0.35490372182141583,0.2504320389047701,0.3405059046464938,0.045549069181122226,0.06865349001035734,0.047554712275371544,-0.10181343971530885
280,0.792910891551056,0.7488885797996693,0.7716528130368052,0.3810034545147371,0.2775302640890704,0.36768446801473526,0.04465093964794111,0.06974588637724692,0.04662716521614467,-0.10383048623034001
285,0.44721204446219964,0.39973939579746937,0.4822655874809559,0.35063479719835966,0.2666189838215269,0.33902679721548273,0.04868424699642722,0.06823103231614437,0.04991282635675502,-0.1027503301196039
290,0.7078087549138709,0.6381761602352477,0.6739831791027703,0.3938789053981407,0.2889325549374611,0.3774282664287573,0.04012753835168348,0.06497823521071265,0.0419308277342249,-0.10631183596812988
295,0.6354967802119262,0.5307147925634818,0.588425884665922,0.2794775909238103,0.22473074343428406,0.2775685363153786,0.04867719230343348,0.06791936828292378,0.049318671746454594,-0.10839137473730254
