epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n
0,-1.6192638419154881,-1.6192638419154881,0.1380734046502985,-1.7906771330882358,-1.4478505507427404,5,-1.5978295690011979,-1.5978295690011979,0.13872512588147942,-1.7700519492338325,-1.4256071887685633,5,0.0474438037408066,0.0474438037408066,0.001925583886888546,0.04505325885407223,0.04983434862754098,5,0.04880723948013768,0.04880723948013768,0.0019742474302739815,0.0463562805103802,0.05125819844989516,5
5,-2.6234818104718927,-2.6234818104718927,0.11254644817780297,-2.76320428013085,-2.4837593408129353,5,-2.583395863454938,-2.583395863454938,0.1095283343945578,-2.719371450663722,-2.447420276246154,5,0.037839115682404736,0.037839115682404736,0.023265438465758723,0.008955889487662506,0.06672234187714697,5,0.03879577297007064,0.03879577297007064,0.02033790289668961,0.013546979548174031,0.06404456639196725,5
10,-2.9139893016852136,-2.9139893016852136,0.0393268209912749,-2.962812171191107,-2.86516643217932,5,-2.861247416610718,-2.861247416610718,0.03853759177463711,-2.9090904857136577,-2.8134043475077783,5,0.02490622265283393,0.02490622265283393,0.0010991668384938403,0.02354164555841544,0.026270799747252424,5,0.02618437236719189,0.02618437236719189,0.0019380527577742411,0.02377834781439772,0.028590396919986057,5
15,-3.029498259411574,-3.029498259411574,0.056359226347707035,-3.099466263030216,-2.9595302557929317,5,-2.97003819224596,-2.97003819224596,0.05549583476708395,-3.038934325486811,-2.9011420590051094,5,0.023996141043453562,0.023996141043453562,0.002304623760358377,0.021135031442524422,0.026857250644382703,5,0.025124180317364204,0.025124180317364204,0.0015475180229245374,0.023202990946170805,0.027045369688557603,5
20,-3.160534543105006,-3.160534543105006,0.03363736800907683,-3.202294156199419,-3.118774930010593,5,-3.093788295477033,-3.093788295477033,0.03294973421720789,-3.1346942353265193,-3.052882355627547,5,0.022246070012439258,0.022246070012439258,0.001871245419193221,0.01992298442830215,0.024569155596576367,5,0.023724795412992362,0.023724795412992362,0.0024815650339753996,0.02064401942423271,0.026805571401752014,5
25,-3.217807714913845,-3.217807714913845,0.04833003622925099,-3.277807760494934,-3.1578076693327564,5,-3.1459572940582037,-3.1459572940582037,0.04254695616915544,-3.198777848493064,-3.0931367396233433,5,0.020479761029041366,0.020479761029041366,0.0013228473340523238,0.018837492441377376,0.022122029616705355,5,0.02207100029977129,0.02207100029977129,0.0017094854182346613,0.019948734085697813,0.02419326651384477,5
30,-3.2669272630385158,-3.2669272630385158,0.030317359805950798,-3.304565202344557,-3.2292893237324747,5,-3.1913622539663313,-3.1913622539663313,0.022781194858898117,-3.2196443087002007,-3.163080199232462,5,0.025346386335340303,0.025346386335340303,0.006398703821728311,0.01740261987213158,0.03329015279854902,5,0.022978585902062882,0.022978585902062882,0.003352376865517343,0.018816727554141963,0.0271404442499838,5
35,-3.338743264370799,-3.338743264370799,0.04735208681890875,-3.397529220044771,-3.2799573086968272,5,-3.2556451036870477,-3.2556451036870477,0.042704985718522444,-3.308661846267106,-3.2026283611069895,5,0.019327422139373926,0.019327422139373926,0.0018304310238019357,0.017055006196207614,0.021599838082540238,5,0.020491898969724243,0.020491898969724243,0.002012691636930089,0.017993212865214502,0.022990585074233984,5
40,-3.3664177114902736,-3.3664177114902736,0.046898656452770957,-3.4246407492614517,-3.3081946737190955,5,-3.2810745984768865,-3.2810745984768865,0.041562044668781634,-3.332672419813939,-3.2294767771398343,5,0.01910388566170855,0.01910388566170855,0.00036450880840002296,0.01865136075535491,0.01955641056806219,5,0.02048569048720949,0.02048569048720949,0.0018417985376851555,0.018199162174089602,0.022772218800329376,5
45,-3.41610449661696,-3.41610449661696,0.026893959551952583,-3.449492404528282,-3.3827165887056374,5,-3.323564462661743,-3.323564462661743,0.020692514090379765,-3.3492534934483302,-3.2978754318751555,5,0.018563393039116534,0.018563393039116534,0.0018509016441880639,0.016265563538418116,0.020861222539814952,5,0.02259178131114922,0.02259178131114922,0.004275495090620729,0.017283904050264712,0.027899658572033727,5
