epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,nll_energy,rmse_e_atom,magnitude_aleatoric,magnitude_epistemic,magnitude_total
0,0.16793486397710933,0.382820351473605,0.25696536429697825,0.4858357617787135,0.4251278617649597,0.4948264767206918,0.22909587653476743,0.29241317134717004,0.22586154751080245,0.6785950917488253,0.45574477458491847,0.7616861424423732,0.06265483476017543,0.045138498450801874,0.005211994476557593,0.0015094457123332177,0.006721440195387695
5,0.9579295024278573,0.9826186940258631,0.9837320123416982,0.5073400387825988,0.44913298828696646,0.5059753838631545,0.14443904193150447,0.18795554118413255,0.14671490690943267,0.6580733319684956,0.2410368966171265,0.8070415236782696,0.02767892053127491,0.07940637180428525,0.00667054845073726,0.04939257310277764,0.05606312138425536
10,0.2988789563588808,0.25463921451021126,0.2916198484507004,0.38429390055356233,0.37271407623953945,0.4017204134947644,0.2511016572827237,0.2729892836079807,0.23850221034742242,0.5184036413615842,0.4322351724646972,0.7034648574037891,-0.0015392213301150088,0.02497024608312399,0.002114192061209651,0.0006290407325074011,0.0027432327946186707
15,0.22452159978679553,0.19903422873094556,0.21866106966592902,0.4781749408711079,0.3880629741049811,0.467740597452105,0.19916918419958934,0.2792419534127339,0.20800282368967316,0.6558973613369989,0.8035458433791636,0.7522469923817323,-0.013561466199431617,0.022324590062572782,0.0027255232064946904,0.0011383177310474275,0.0038638409246818627
20,0.260043272233206,0.08972502859159696,0.23252897199055997,0.4606033864901733,0.37200542613297255,0.45225974063824037,0.21370818211822973,0.2938636479159148,0.22029976145766275,0.5891961569088751,0.6789988354778601,0.711512146241623,-0.022852756967152235,0.019919702237049117,0.0006595247594129979,0.0002024000920293838,0.0008619248539899127
25,0.36405109662226354,0.2841239253985016,0.35204287042301374,0.4849243498538744,0.38460718653025827,0.4698678278195506,0.18301804904709273,0.2662599972319347,0.19321637438722325,0.6653830092686079,0.3238558550541091,0.7955864278238505,-0.021943645379386343,0.022424921515704972,0.0026510868135029343,0.0006691251482889857,0.0033202119599415893
30,0.3147442572692946,0.3209322611754168,0.32199996629339045,0.4304280467451783,0.35397938533044854,0.42290447569626777,0.2119399255658646,0.27431282561103854,0.21587279912338914,0.6184633621788502,0.5543653714594019,0.7419807850586118,-0.027512893041516374,0.021020538836244735,0.0024806470209807413,0.0011137740492595208,0.0035944210671940893
35,0.9691087921340427,0.9689890102953562,0.9696409752330761,0.4346380285117018,0.3849484024926147,0.4303790206506474,0.21872932144865254,0.2597921204493315,0.22173987907928994,0.6674052753694426,0.24965652808374214,0.7765672954138346,-0.028177829178205417,0.02239725567141693,0.0019387223315375922,0.0015216496136048953,0.003460372022021802
40,0.5894460886270546,0.5732758506297093,0.5878284043247646,0.4900541568699304,0.4049608933835754,0.47593222951214675,0.1861897449766726,0.24944997607845987,0.1935144017266676,0.7041951882354505,0.2848909902665783,0.8030773372131368,-0.03261989126780425,0.019522690458571922,0.005199364437428885,0.0005255570863825846,0.005724921518420815
45,0.2599947200717891,0.09962138772004665,0.2174655706940547,0.48085600051845445,0.3913711693008086,0.46925759109131354,0.203278627630203,0.2782639503682871,0.2128131035515601,0.622544378922988,0.26892393969424405,0.7468872220121917,-0.03816980988694546,0.016689077617512343,0.0011777524838699354,0.0001947200990888018,0.0013724725794738697
50,0.9888144269396595,0.9999999999997422,0.9999999999686153,0.44444639986374146,0.3564841149173178,0.43172826431203387,0.2007818965877617639,0.261068620387781103,0.2108198306701396193,0.60562780385362,0.2931725264845454,0.7885464369194302,-0.0406310826607529,0.017103852978153,0.0072654816610083,0.00648260894,0.003952414964
55,0.15677263028222005,0.09486264604297302,0.1505052742864403,0.4736417071562306,0.4036022073184389,0.46521136873253993,0.20358979766112825,0.2608865571584163,0.20898976136722153,0.7190598627773378,0.2642412087368307,0.7984844271409953,-0.04130334762044409,0.01663154737504876,0.002997329934677782,0.00024345245381196035,0.0032407823829047992
60,0.06616066706788691,0.014584551177866239,0.06227938959682073,0.4214761737322482,0.37163257781432746,0.41579320237738004,0.2270447559566118,0.26966081651285334,0.23085851006496627,0.6582366464103254,0.3819965370819803,0.7562337147465901,-0.0493303099351335,0.01594184327753356,0.0007346143432495046,0.00010289865542338702,0.0008375129941335945
65,0.17630908096645784,0.050256515513102146,0.16795500267918936,0.41250270196744665,0.36315249069559025,0.40680351406000176,0.22974827238456677,0.26907119275681307,0.2330381760763742,0.6344289257844373,0.3158792075224961,0.7495656100222956,-0.048569433511765646,0.016200946430054153,0.0010033668655108977,0.0001392825345964036,0.0011426493998956538
70,0.11605611510724835,0.02295127740256809,0.10860538098147354,0.47165320565573376,0.39926643517798055,0.46317610743848425,0.20575418290608222,0.2708875114493391,0.21318670946607612,0.6573239372975367,0.4161142640540041,0.7932017407453913,-0.04843025498076333,0.015899424884863452,0.0010870797828028754,0.0001131379825037925,0.0012002177575498717
75,0.11510617058428524,0.03543151465045227,0.11510663008914464,0.43437312164456165,0.3684326554850455,0.4261156460761555,0.22339626236408044,0.2749540225170741,0.22832202829730128,0.7130239441441619,0.3646413954899064,0.8216477967652657,-0.040293240090895396,0.015670464275190463,0.01118933215003386,0.00012936140507426898,0.011318693546021096
80,0.22352392932095475,0.03403860668759272,0.2160208948590207,0.481362518343674,0.4217052381322285,0.4739318349582855,0.20174543152184676,0.2471991324965727,0.20582162374340096,0.7021088163313319,0.2901353850640651,0.7945718531845911,-0.05000858521813405,0.015255145257678012,0.0009682810898665047,9.321406479599431e-05,0.001061495151229783
85,0.8425208766715866,0.8325252328867326,0.8405435648351658,0.46740628401574136,0.3681287252945216,0.4504515486666351,0.2027329901527559,0.2780217782885472,0.21381632521456848,0.6454845602192046,0.20257984947428354,0.7657631678961986,-0.05417905931596331,0.017968722046306885,0.00153080631278709,0.0004591949629133569,0.0019900012773931483
90,0.18146566568395545,0.07853916667011679,0.16349430735853027,0.4636876895964758,0.4003767042561897,0.45513223282419224,0.20398216404763453,0.2542629173190355,0.20926526281089528,0.749611894476324,0.4220064707255859,0.8297247929351986,-0.052820795288727095,0.01514724250743194,0.0006480972643857513,0.00012187345576905728,0.000769970718435452
95,0.22878844398044015,0.1403212377986293,0.22223906032641494,0.4555655673874697,0.3538469723012517,0.4403173373351239,0.2077907833671005,0.29333917595430625,0.21944057497663078,0.6968052491633678,0.48173316115729486,0.8058007432384664,-0.05677287242559787,0.015163945164962297,0.0005202299060074802,8.07235676990922e-05,0.0006009534700034055
100,0.19410685903096273,0.10762496335157168,0.18854596422011657,0.4186552103612257,0.3675739990245177,0.41438004979348964,0.227221038745559,0.2712457240280667,0.23057182161063108,0.6932423183160453,0.3219516508234688,0.7839209415023218,-0.05664385484276096,0.015225095741591406,0.0006611061312901256,8.240714536067343e-05,0.000743513272808359
105,0.16160511814537729,0.06531485874605736,0.15475861393550674,0.4126239527602544,0.34447605008555066,0.4021326975428953,0.23122266925955043,0.28694295997688735,0.238062196419052,0.6912483440339833,0.48358036808018856,0.792179565222196,-0.061624127875264986,0.014837230551478951,0.0005416855150471111,6.903228109904831e-05,0.0006107177942693306
110,0.18873705200472465,0.07605005362816203,0.18586358076113502,0.3969220498706733,0.3308624889609592,0.3850883014578815,0.23737521275281512,0.2908652455924619,0.24507278600915428,0.6645678769289041,0.3657995326778665,0.7693012160240024,-0.060963626301847,0.014955971641011062,0.0006782476971696542,7.779802112347511e-05,0.000756045721222381
115,0.18529035267789382,0.0650441152361225,0.18477828097191684,0.44540728424676734,0.3712061408151095,0.4354061078356215,0.21345470732546545,0.2738101211431977,0.22116331656560226,0.7466140548171065,0.504406067565538,0.8404252252741476,-0.053565291468630934,0.014930076611548151,0.0035603608423561126,8.261102257843276e-05,0.0036429718556201442
120,0.6906999900678671,0.9825244526566754,0.9839860646375126,0.4277341708185338,0.3648660587847802,0.41732146536527365,0.21368399734744178,0.26168137038705636,0.22081155608340022,0.7110199608161415,0.34283222086813864,0.8255319616838882,-0.05902066792766666,0.02175886522921107,0.0010242945389914804,0.002038527078212859,0.0030628215768935844
125,0.02509696534722255,0.027056184871235945,0.025184402563410813,0.43233902620023607,0.3718146781616201,0.42397790771585725,0.21444140689631364,0.25959879171583167,0.2192997329702922,0.7530222080445346,0.39873374907516823,0.8278940327114659,-0.062111284850037245,0.01477658188197319,0.0015660096961753879,8.470719958965105e-05,0.0016507168679543974
130,0.2331889714561575,0.033188834300182074,0.21562457623966608,0.4605659339233909,0.39196635238185384,0.4513219546630635,0.20715790802904488,0.263920798051102,0.21260591233950799,0.6857591445041532,0.46316321239657005,0.801299857883793,-0.062050286165623275,0.014972347432678163,0.0006310111996864543,8.130843962312156e-05,0.0007123196352102059
135,0.2747975554819275,0.1540926375724366,0.26696111712886506,0.44671968017133706,0.4102335470396577,0.44795607830169476,0.20029611511732232,0.23566361412349002,0.2009789623043381,0.7502290124296042,0.38315286345938643,0.8419141722043618,-0.0539604275262394,0.01547465944661219,0.0008285564307121513,0.0002832162377743248,0.0011117726646886331
140,0.2969441397651332,0.11289474080998808,0.2864403938382139,0.41913409293670045,0.3559520420076808,0.4080110461154304,0.2204859749836254,0.2730342409744887,0.22677050824552977,0.7200096480900342,0.5496929042074915,0.8248078269654198,-0.06471228417643375,0.014728305077821562,0.0006068074591866934,7.851345818367122e-05,0.0006853209195380259
145,0.2338130981593305,0.06138638532063646,0.23337530501968337,0.40583332748536544,0.3468630907804384,0.39584031472891085,0.23300310796546253,0.28023782507722905,0.23879103218709297,0.742215214661113,0.7055077781635944,0.8390105927303516,-0.061862691373797955,0.014374652814786518,0.001476609049212575,6.127370092195747e-05,0.0015378827483485112
150,0.29237098644801585,0.06385719217132953,0.2806998536965211,0.4286896562142843,0.35882470843083986,0.4163215464110431,0.21654623381635368,0.273373140533629,0.22450755248104834,0.7445461480243117,0.4288428509900648,0.8337799317317883,-0.06637086482944722,0.014599125771502795,0.0006656031467513731,0.00011791864147390357,0.0007835217859766453
155,0.325680865964913,0.07331404641418902,0.3201034522477178,0.4508339002095566,0.3928034358189224,0.4422413003156946,0.21073377053707382,0.25375083819904015,0.2164873414370727,0.7056347935404441,0.6325715497924057,0.8052625391191116,-0.06845801856765033,0.014157646882574423,0.0004157793683698719,5.4190241982976776e-05,0.00046996961088722854
160,0.31293824478472193,0.06815276561110142,0.2962578794497495,0.3940696683381822,0.349703241633751,0.39221743684029037,0.22805353480223006,0.26924855048597335,0.2307523561196248,0.7275404045323721,0.5253998534848902,0.8087568417264603,-0.06982561451752664,0.014389027968046125,0.0004057805170490519,5.8651955289155924e-05,0.0004644324702834001
165,0.3340492821657796,0.05050790176355059,0.32152704086868766,0.352237842542161,0.3060183056124693,0.34766140863025036,0.2516656020563248,0.2840325000875582,0.2529572693375052,0.7318944764357921,0.5757863061310703,0.8316950501507414,-0.0674010690558285,0.014335034928474244,0.0005370870040563841,8.176194959600707e-05,0.0006188489523958378
