epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n
50,-2.6175793412709236,-2.6175793412709236,0.12487444085385595,-2.7726065816314356,-2.4625521009104117,5,-2.4275008586287496,-2.4275008586287496,0.08893029472485806,-2.537904701732052,-2.317097015525447,5,0.02357184869631635,0.02357184869631635,0.0013300936222783795,0.02192058409586655,0.02522311329676615,5,0.02879519010605856,0.02879519010605856,0.003959928891336198,0.023879077218184462,0.03371130299393266,5
55,-2.710686263768673,-2.710686263768673,0.027765840754520103,-2.7451565816257943,-2.6762159459115518,5,-2.4928911702215673,-2.4928911702215673,0.026233150882351817,-2.5254587073368002,-2.4603236331063343,5,0.09390492360802927,0.09390492360802927,0.1602021745345147,-0.10498045956581684,0.29279030678187534,5,0.0274889614020854,0.0274889614020854,0.004203194680482328,0.02227084256561544,0.03270708023855536,5
60,-2.78696569988966,-2.78696569988966,0.04611778849141693,-2.8442193174631827,-2.729712082316137,5,-2.542361493194103,-2.542361493194103,0.03467990415623738,-2.5854153783650533,-2.4993076080231527,5,0.023352098416840595,0.023352098416840595,0.0031464054705870365,0.019445946334596738,0.027258250499084452,5,0.026781256772885276,0.026781256772885276,0.004031475074740832,0.02177632180664425,0.0317861917391263,5
65,-2.860603652799129,-2.860603652799129,0.0705859404108002,-2.948233623154268,-2.7729736824439906,5,-2.575394221568108,-2.575394221568108,0.04483943149189064,-2.631060803744499,-2.519727639391717,5,0.020976626222963347,0.020976626222963347,0.001438281404408784,0.019191050283942433,0.02276220216198426,5,0.02616363550093419,0.02616363550093419,0.004224392909426544,0.020919199806416405,0.03140807119545198,5
70,-2.864298899033069,-2.864298899033069,0.02725537149193766,-2.898135487197181,-2.830462310868957,5,-2.5761439007222653,-2.5761439007222653,0.01587994360398509,-2.595858293973383,-2.5564295074711474,5,0.02208083998284389,0.02208083998284389,0.003436905714536814,0.017814042032353098,0.026347637933334684,5,0.02690244417277483,0.02690244417277483,0.0035783044570407217,0.022460104640748695,0.03134478370480097,5
75,-2.928316377712488,-2.928316377712488,0.0476472055057927,-2.9874687128896924,-2.869164042535284,5,-2.5998367356061935,-2.5998367356061935,0.027743476492011743,-2.6342792890154767,-2.5653941821969104,5,0.01986078044857688,0.01986078044857688,0.0012645413101015656,0.018290896745503153,0.021430664151650604,5,0.025897461163231456,0.025897461163231456,0.003740100721581819,0.021254257241175332,0.03054066508528758,5
80,-2.9419552987253668,-2.9419552987253668,0.11300258799563205,-3.0822440499764023,-2.801666547474331,5,-2.6049862722635266,-2.6049862722635266,0.060412700706034654,-2.679986522187712,-2.529986022339341,5,0.021582251143267582,0.021582251143267582,0.003721649270174708,0.016961954051245943,0.02620254823528922,5,0.026451172825218187,0.026451172825218187,0.0041977263061122524,0.02123984278381353,0.031662502866622845,5
85,-2.950115434941053,-2.950115434941053,0.10545330818328469,-3.081032019974446,-2.8191988499076603,5,-2.6020733505249023,-2.6020733505249023,0.060014737342231804,-2.676579542885081,-2.5275671581647234,5,0.020014888711423824,0.020014888711423824,0.0018705431093337856,0.017692675020355,0.022337102402492648,5,0.026654225452103126,0.026654225452103126,0.004232206841467703,0.021400089034904042,0.03190836186930221,5
90,-3.062351893774271,-3.062351893774271,0.053588811477511274,-3.128880524459241,-2.995823263089301,5,-2.6577290341377258,-2.6577290341377258,0.03079204475338288,-2.6959562781640756,-2.619501790111376,5,0.019508114906028072,0.019508114906028072,0.0013669773435298746,0.017811060458746947,0.021205169353309197,5,0.02647477472971102,0.02647477472971102,0.004271758223169793,0.02117153665875642,0.031778012800665625,5
95,-3.0623938129556176,-3.0623938129556176,0.05931196195855971,-3.136027534315494,-2.9887600915957413,5,-2.6602669314026834,-2.6602669314026834,0.03092226292540036,-2.698655836724288,-2.621878026081079,5,0.019365319893092894,0.019365319893092894,0.0031168031875204705,0.01549591800745293,0.023234721778732856,5,0.02598816700071476,0.02598816700071476,0.003796740085413853,0.021274647294174512,0.03070168670725501,5
