epoch,au_var,au_var_mean,au_var_std,au_var_ci95_low,au_var_ci95_high,au_var_n,au_var_geometric_mean,au_var_geometric_ci95_low,au_var_geometric_ci95_high,au_var_geometric_n,eu_var,eu_var_mean,eu_var_std,eu_var_ci95_low,eu_var_ci95_high,eu_var_n,eu_var_geometric_mean,eu_var_geometric_ci95_low,eu_var_geometric_ci95_high,eu_var_geometric_n,tu_var,tu_var_mean,tu_var_std,tu_var_ci95_low,tu_var_ci95_high,tu_var_n,tu_var_geometric_mean,tu_var_geometric_ci95_low,tu_var_geometric_ci95_high,tu_var_geometric_n,rmse_energy,rmse_energy_mean,rmse_energy_std,rmse_energy_ci95_low,rmse_energy_ci95_high,rmse_energy_n,rmse_energy_geometric_mean,rmse_energy_geometric_ci95_low,rmse_energy_geometric_ci95_high,rmse_energy_geometric_n
0,0.022521032273285092,0.022521032273285092,0.0047281091164765605,0.016651250567446874,0.02839081397912331,5,0.02215502590554933,0.01730767570227788,0.028359970530933924,5,0.004228939518529224,0.004228939518529224,0.0009595000098820004,0.003037753895268053,0.005420125141790395,5,0.004141169444572513,0.003110710158083453,0.005512980476209619,5,0.02674997179659084,0.02674997179659084,0.004739194278424201,0.02086642825082812,0.03263351534235356,5,0.02644138417921404,0.021490298045330043,0.032533136387315906,5,0.1086198799944726,0.1086198799944726,0.003685213893990862,0.10404481614459929,0.11319494384434592,5,0.10856981921956697,0.10408776850121854,0.11324486839422887,5
10,0.0035631777536787564,0.0035631777536787564,0.0010439067479076903,0.002267204124365414,0.004859151382992099,5,0.003435157593060033,0.002346826595486307,0.005028197529316284,5,0.0013177089311153395,0.0013177089311153395,0.00040742995632653625,0.0008118989243788287,0.00182351893785185,5,0.001262380141855616,0.0008316605662638715,0.0019161707157890932,5,0.00488088667929871,0.00488088667929871,0.0014156703168283816,0.003123381612789185,0.006638391745808235,5,0.004703980007240926,0.003199933143394975,0.006914965693641399,5,0.04022101192883099,0.04022101192883099,0.0016688197898743092,0.03814923066667501,0.04229279319098697,5,0.04019357939678935,0.038189317979650236,0.04230302896707571,5
20,0.0023124724976648576,0.0023124724976648576,0.000650218359568221,0.0015052492001962317,0.0031196957951334834,5,0.0022396989303335823,0.0015754398734434915,0.003184032207825999,5,0.0008505374340732669,0.0008505374340732669,0.0003401129256846633,0.00042829916081812654,0.001272775707328407,5,0.0008037893082424677,0.0005108215283062423,0.0012647807820221223,5,0.0031630099387466907,0.0031630099387466907,0.0009700881937094761,0.001958679456473703,0.004367340421019678,5,0.0030485300918320257,0.0020948768046632447,0.004436316111819918,5,0.03177165679551186,0.03177165679551186,0.0007578912032768782,0.03083076143746955,0.032712552153554175,5,0.03176441158257094,0.03083614723680312,0.03272061958449679,5
30,0.008780946966622724,0.008780946966622724,0.016290517327088635,-0.011443159167468318,0.029005053100713767,5,0.0028122617470299695,0.00045509077542494193,0.017378546349183153,5,3.445713290038637,3.445713290038637,7.67533814015072,-6.082949922106665,12.97437650218394,5,0.01085817221556245,3.77123804104713e-05,3.126291752988259,5,3.4544942948388746,3.4544942948388746,7.691625324063961,-6.094388885124093,13.003377474801841,5,0.024190295642052627,0.00018384990482039424,3.1828703083723258,5,0.3081629660410862,0.3081629660410862,0.5996990233546943,-0.4363423466704044,1.0526682787525767,5,0.07342432268672784,0.008816608536064263,0.6114744847695531,5
40,0.0016475551736654596,0.0016475551736654596,0.0006300801530368028,0.0008653327535823791,0.00242977759374854,5,0.001545320775688089,0.0009307485808419443,0.0025656942690291994,5,0.000430582043503382,0.000430582043503382,6.086117906148831e-05,0.0003550250234240551,0.0005061390635827089,5,0.00042682891187433345,0.0003537048770372203,0.0005150704212445916,5,0.0020781372195662695,0.0020781372195662695,0.0006604649188159602,0.0012581931780245906,0.0028980812611079485,5,0.0019897319089835597,0.0013123596087584696,0.003016728831949286,5,0.024274015284897754,0.024274015284897754,0.0018456094436410228,0.0219827558656398,0.02656527470415571,5,0.02421785035079889,0.022033568740670712,0.026618669109697585,5
50,0.001580740321262274,0.001580740321262274,0.0004826878736699095,0.0009815002486031703,0.0021799803939213775,5,0.0015125045508422284,0.0009818325795120846,0.002330000108017697,5,0.0006512282573507763,0.0006512282573507763,0.00025375021971782316,0.0003362062557726766,0.000966250258928876,5,0.0005979578047497395,0.0003189242510480879,0.001121123699706407,5,0.0022319685835181734,0.0022319685835181734,0.0006867816753668143,0.0013793532113549382,0.0030845839556814087,5,0.0021230612075079933,0.0013252142032685933,0.003401253080225058,5,0.023571902947703404,0.023571902947703404,0.0013301626039517731,0.02192055270892451,0.0252232531864823,5,0.02354070757887785,0.021902473515844272,0.02530147624255103,5
60,0.0013707066754144036,0.0013707066754144036,0.0009655950799023228,0.00017195423640940463,0.0025694591144194024,5,0.0011808927614349691,0.0005854138212465429,0.0023820888120477425,5,0.0011432835211978454,0.0011432835211978454,0.001834300719455553,-0.0011339365134551901,0.003420503555850881,5,0.0005356704293988263,0.00012055879508230324,0.0023801068079390844,5,0.002513990209355543,0.002513990209355543,0.002792729044605151,-0.0009530849895354656,0.005981065408246552,5,0.0017858560433380293,0.000642626399202223,0.0049628863854429845,5,0.023352230675355804,0.023352230675355804,0.003146480587522756,0.01944598533806977,0.02725847601264184,5,0.02319313680404604,0.019765246586815093,0.02721552662894827,5
70,0.0020468325143045514,0.0020468325143045514,0.0024396750067761136,-0.000981938474305131,0.005075603502914234,5,0.0013770733516055332,0.0004599272609966608,0.004123110710143064,5,0.001073269452816785,0.001073269452816785,0.0014288680849153727,-0.0007006201800736119,0.002847159085707182,5,0.0006205739929643458,0.00016273219853072527,0.002366538916212079,5,0.003120101965849462,0.003120101965849462,0.003865961685644117,-0.0016793539305440435,0.007919557862242969,5,0.0020179581435759934,0.0006362107255260887,0.006400638822706684,5,0.022080802195768363,0.022080802195768363,0.003436673133024065,0.017814292987071597,0.02634731140446513,5,0.021884021629386977,0.018239859653214067,0.026256254805726423,5
80,0.0010366418061585863,0.0010366418061585863,0.0005301655461973788,0.0003784598675712289,0.0016948237447459438,5,0.0009536000691492277,0.0005583875450215939,0.001628533981441591,5,0.0010115274303334992,0.0010115274303334992,0.0015985775828089284,-0.0009730505943647693,0.0029961054550317677,5,0.00047781636759179445,0.00010635757676126581,0.0021466122874450834,5,0.002048169201813871,0.002048169201813871,0.0016099768366748353,4.943940308629099e-05,0.004046899000541451,5,0.0016550527366912082,0.0006916621519052421,0.003960314372679927,5,0.021582497212449314,0.021582497212449314,0.0037215017161381027,0.01696238330359104,0.02620261112130759,5,0.021341274783678796,0.017381265471140037,0.026203501128770894,5
90,0.0010719091302035665,0.0010719091302035665,0.0006606031783250725,0.0002517934443285499,0.0018920248160785831,5,0.0009494198130756556,0.0004974738591931568,0.0018119504468487504,5,0.00044342003020245103,0.00044342003020245103,0.00035238057621439603,5.95189890488393e-06,0.0008808881615000181,5,0.00035869047718116594,0.00015045544025844344,0.0008551293206776037,5,0.0015153291592762978,0.0015153291592762978,0.0010059562234778058,0.00026646977553931514,0.0027641885430132805,5,0.0013162221540843153,0.0006551247175430905,0.0026444441989603375,5,0.01950805357664115,0.01950805357664115,0.0013671212308771937,0.017810820498262856,0.021205286655019442,5,0.01946930851651296,0.017832962759729575,0.021255804726242375,5
