metric,bin_index,bin_left,bin_right,bin_center,density_mean,density_std,density_ci95_low,density_ci95_high,density_n
aleatoric_var,0,6.668091373285279e-05,0.0007247052753518802,0.00039569309454236647,1376.2039985079666,23.560508931703524,1346.9544526745976,1405.4535443413356,5
aleatoric_var,1,0.0007247052753518802,0.0013827296369709075,0.0010537174561613938,86.69968526717749,20.109286389471098,61.734711223951194,111.66465931040378,5
aleatoric_var,2,0.0013827296369709075,0.002040753998589935,0.0017117418177804212,15.289108804197728,2.3320654515143215,12.393931305773771,18.184286302621683,5
aleatoric_var,3,0.002040753998589935,0.0026987783602089623,0.0023697661793994486,9.885728985846725,2.352187182912845,6.965571063337112,12.805886908356339,5
aleatoric_var,4,0.0026987783602089623,0.0033568027218279896,0.003027790541018476,4.23674099393431,1.795419267830402,2.0077909183332814,6.465691069535339,5
aleatoric_var,5,0.0033568027218279896,0.004014827083447017,0.0036858149026375033,3.4385144298597297,1.8850527323900896,1.0982875504578131,5.778741309261646,5
aleatoric_var,6,0.004014827083447017,0.004672851445066044,0.00434383926425653,3.1315042129079678,0.794676243004372,2.1449415176867115,4.118066908129224,5
aleatoric_var,7,0.004672851445066044,0.005330875806685072,0.0050018636258755585,1.964865388491274,0.884487856613064,0.8668047236704985,3.062926053312049,5
aleatoric_var,8,0.005330875806685072,0.005988900168304099,0.005659887987494585,1.2894429111973986,0.9805120028792258,0.07217163528736825,2.5067141871074288,5
aleatoric_var,9,0.005988900168304099,0.0066469245299231264,0.006317912349113613,1.2280408678070462,0.4854257752550015,0.6254017863178473,1.8306799492962451,5
aleatoric_var,10,0.0066469245299231264,0.007304948891542154,0.00697593671073264,1.2894429111973984,0.9312080940785809,0.13338070952294911,2.4455051128718477,5
aleatoric_var,11,0.007304948891542154,0.007962973253161181,0.007633961072351668,1.9034633451009217,0.4002923489547422,1.4065144276798864,2.400412262521957,5
aleatoric_var,12,0.007962973253161181,0.008620997614780208,0.008291985433970694,1.1666388244166956,0.5905459433924185,0.43349673958152746,1.8997809092518638,5
aleatoric_var,13,0.008620997614780208,0.009279021976399236,0.008950009795589721,1.1666388244166925,0.5905459433924168,0.43349673958152646,1.8997809092518585,5
aleatoric_var,14,0.009279021976399236,0.009937046338018264,0.009608034157208751,0.6754224772938746,0.4553697412961125,0.11009690823338436,1.2407480463543648,5
aleatoric_var,15,0.009937046338018264,0.01059507069963729,0.010266058518827777,0.2456081735614096,0.40029234895474275,-0.25134074385962624,0.7425570909824455,5
aleatoric_var,16,0.01059507069963729,0.011253095061256317,0.010924082880446804,0.614020433903524,0.6512670189004321,-0.19450473736120755,1.4225456051682555,5
aleatoric_var,17,0.011253095061256317,0.011911119422875345,0.01158210724206583,0.8596286074649313,0.7644492753212331,-0.0894083671017073,1.80866558203157,5
aleatoric_var,18,0.011911119422875345,0.012569143784494374,0.01224013160368486,0.798226564074579,0.46560404703928976,0.22019546323735517,1.3762576649118028,5
aleatoric_var,19,0.012569143784494374,0.0132271681461134,0.012898155965303887,0.3684122603421144,0.2568631762610935,0.049525632352352134,0.6872988883318767,5
aleatoric_var,20,0.0132271681461134,0.013885192507732427,0.013556180326922913,0.3684122603421144,0.5044692636271049,-0.2578686443174465,0.9946931650016753,5
aleatoric_var,21,0.013885192507732427,0.014543216869351455,0.01421420468854194,0.9210306508552835,0.8683560252005739,-0.15700291083102247,1.9990642125415894,5
aleatoric_var,22,0.014543216869351455,0.015201241230970483,0.01487222905016097,1.2280408678070447,1.4068975583062604,-0.5185731265604614,2.9746548621745506,5
aleatoric_var,23,0.015201241230970483,0.01585926559258951,0.015530253411779996,0.3684122603421144,0.504469263627105,-0.2578686443174467,0.9946931650016755,5
aleatoric_var,24,0.01585926559258951,0.016517289954208536,0.016188277773399023,0.2456081735614096,0.2568631762610935,-0.07327845442835265,0.5644948015511718,5
aleatoric_var,25,0.016517289954208536,0.017175314315827563,0.01684630213501805,0.4912163471228192,0.6366299358692632,-0.29913739871863093,1.2815700929642693,5
aleatoric_var,26,0.017175314315827563,0.017833338677446593,0.01750432649663708,0.3070102169517604,0.3760091886764877,-0.1597920083245183,0.773812442228039,5
aleatoric_var,27,0.017833338677446593,0.01849136303906562,0.018162350858256106,0.2456081735614096,0.33631284241806997,-0.1719124295449644,0.6631287766677836,5
aleatoric_var,28,0.01849136303906562,0.019149387400684646,0.018820375219875132,0.2456081735614096,0.2568631762610935,-0.07327845442835265,0.5644948015511718,5
aleatoric_var,29,0.019149387400684646,0.019807411762303676,0.01947839958149416,0.49121634712281664,0.2745982859564378,0.15031220221958197,0.8321204920260513,5
aleatoric_var,30,0.019807411762303676,0.020465436123922702,0.02013642394311319,0.5526183905131716,0.7329768467576432,-0.3573466673802478,1.462583448406591,5
aleatoric_var,31,0.020465436123922702,0.02112346048554173,0.020794448304732215,0.42981430373246676,0.465604047039291,-0.14821679710475866,1.007845404569692,5
aleatoric_var,32,0.02112346048554173,0.021781484847160755,0.021452472666351242,0.1228040867807048,0.16815642120903498,-0.0859562147724822,0.3315643883338918,5
aleatoric_var,33,0.021781484847160755,0.02243950920877978,0.022110497027970268,0.2456081735614096,0.2568631762610935,-0.07327845442835265,0.5644948015511718,5
