epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,rmse_e_atom,nll_energy,magnitude_aleatoric,magnitude_epistemic,magnitude_total
0,0.6256530719394272,-0.013373691275325736,0.6092459666720658,0.1668393780144603,-0.008400834444518602,0.17417783253104271,0.3913551321804399,0.6879677010716467,0.38497138257807945,0.6062993980423683,6.207046089712355,0.6536835937163958,0.1396290511471571,0.15171534036323428,0.028347313534654677,0.004007597927271854,0.032354911457374694
5,0.7985388717925189,0.3901863753328781,0.7867658422067672,0.34488277340115475,0.4129858994183142,0.3984921471380165,0.28717471657748195,0.2862234210343809,0.25619437078989865,0.7259677103297997,0.64438718543663,0.773152061239996,0.10187066789007487,0.12672797588482498,0.01874444081704132,0.004570408363771276,0.023314849180355667
10,0.6918337598879459,0.5871511599446061,0.6686201846545606,0.4341805433817982,0.3533921618732329,0.4325488633777756,0.23432676496783716,0.31263443127351853,0.23567912997465706,0.5567822938010021,1.14769397387024,0.6548088815932435,0.05914475660398948,0.0606168158419343,0.003946651659189956,0.0015916374169450136,0.00553828908711439
15,0.45454452048824046,0.20965433789513133,0.3765166834507108,0.4236656493407763,0.325748724094566,0.4284963563176016,0.24581719947910385,0.34011064692205745,0.24334695968169814,0.3577742009977659,1.4907072149585399,0.5506829226602221,0.04652174223594513,0.0416482941382099,0.002428774116819841,0.0012247549112456909,0.003653529020008864
20,0.4036063596558828,0.23129539324285214,0.36989211789666765,0.39594151877700573,0.3030789887711592,0.3831591015300786,0.2568312072902086,0.31667243644804033,0.2611824192194007,0.35520202334350104,1.5991262713429955,0.5257322403446165,0.044840212985789996,0.03574510136547251,0.0021238378789741547,0.00076993881258677,0.0028937766881193968
25,0.660637021909817,0.18261888968480464,0.5664645645352031,0.4394337950218986,0.34260991945574787,0.42748839907804165,0.24765257604563884,0.31896843653941476,0.2519473568631351,0.4267356614672476,0.8818284940117088,0.6036109480866226,0.038128995149250076,0.029097378008118357,0.0019491051680292004,0.0007155211039284041,0.0026646262767433654
30,0.7833568324488249,0.7277098902498956,0.7430781669970772,0.3859949944982894,0.31946126410358705,0.3845353172804239,0.26345331978497016,0.331687268029088,0.26120432607236266,0.3277929252010441,0.9306968847492816,0.5692339027232676,0.04092519177776648,0.02459893263663189,0.002404832444153726,0.003358483758379953,0.005763316154666245
35,0.6453237448724887,0.08694474166020037,0.5553069985404241,0.42153486024191655,0.3246437221554431,0.4148361208653064,0.25792747426945334,0.33421917164738096,0.2586975167268642,0.30768129102538405,1.271509277694353,0.5191673377354686,0.03489710063903118,0.018494525169046757,0.0013414815637719584,0.0005245955831309402,0.001866077144711744
40,0.5963723092422832,0.1504942153520582,0.5450290180849692,0.3987992042525651,0.30892306377442197,0.38786186669852063,0.27149239584642243,0.33870554154881855,0.275012854182288,0.2856368984317707,0.8736665662065434,0.5199351727126323,0.03352149450082153,0.016627585581027234,0.0013996894259238615,0.00047677544609887266,0.0018764648768177722
45,0.7992491756686457,0.23270698963914288,0.7392179103757361,0.42242311526733545,0.3526924949303605,0.4241330255580508,0.25486338933194314,0.3185466464274952,0.25427635170330665,0.32099146128395006,1.5474288675591221,0.5095033587383055,0.036726226795546275,0.020221395053568448,0.0014259676998393844,0.00046937889437904235,0.0018953465965052601
50,0.7483566428808679,0.07712011759363306,0.5447089420840199,0.4126295422269571,0.37571186317585037,0.4245773645691477,0.26823972051320244,0.3084213138467466,0.26022382564546664,0.3618787299696197,0.4335818916111747,0.6108746124630979,0.033845323094520464,0.020490821623783684,0.001565869385370752,0.0009190590870975029,0.002484928473341279
55,0.8018969873032618,0.06996066156780548,0.6187879172525566,0.3858764215280225,0.32010403135834314,0.3839755144114873,0.26929598911691577,0.32518802481868014,0.2693068742935021,0.2723498170095232,1.371422375488422,0.4318755123272114,0.03373049116437617,0.012242502394376027,0.0010644907758469344,0.0005614899899508601,0.0016259807690337765
60,0.4360247955521891,0.240950401795018,0.4281003172660238,0.42794580179819525,0.33542745443299304,0.4059867744089231,0.2535468533377412,0.33232691449221174,0.26646404503808224,0.2265462411488168,1.3191151605432359,0.41441124398957463,0.032500492371471075,0.0088445785866581,0.001072506487663486,0.00039940273156207696,0.001471909222906106
65,0.7128221709806799,0.21878129198850546,0.6698324563324228,0.3615486282130167,0.30825219559566486,0.35677310186767874,0.2766003286861222,0.31335970511142225,0.27565395413051186,0.20147089188199369,1.1495279083525165,0.4018110124350314,0.03412245790552877,0.009546894701662768,0.0008773903599430923,0.00041837940481509575,0.0012957697654142975
70,0.8376265320145675,0.16266161592142386,0.7923382823045458,0.4133664223241781,0.35161454730857067,0.4139861569155669,0.2568038094969117,0.3134600327865192,0.25623466724031,0.3166101999632488,1.5680419503146534,0.310682375463503,0.032841743693363984,0.005925374361915237,0.0007558767474416527,0.00034796569304871807,0.0011038424389829742
75,0.7371563095922333,0.2642682011791783,0.707992759299787,0.38131298568172056,0.2670910572681964,0.3509962133691057,0.2735410801739222,0.36489854141952904,0.2882712742118369,0.4158244799707404,1.5297465758739612,0.2461997253771737,0.031478062177555347,0.0034812993240254855,0.0006646962532431644,0.00030656945211412676,0.0009712657066615066
80,0.8659908417339354,0.42473757831140946,0.8601812538110516,0.36053896122916596,0.3192228515482898,0.36387967674324984,0.27791208233010023,0.3222860216619758,0.2768902923702157,0.29114646775821,1.4164620537726926,0.3217184750433055,0.031592853261687544,0.0036409346472425566,0.000738513118357514,0.0003089247503279694,0.0010474378655228064
