phase,split,mean_au,mean_eu,mean_tu,rmse_energy
pretrain,id,0.00014037943955786018,7.198051182873736e-05,0.00021235995173819993,0.9322461677357504
pretrain,ood,0.00015629477209126843,8.688142557833667e-05,0.00024317619763641773,0.9224076991452695
finetune,id,9.06427041355537e-05,6.1015148983796455e-05,0.0001516578530811445,0.011316643822009285
finetune,ood,0.0001406956841711148,8.289902322777803e-05,0.00022359470709580828,0.01562714356863184
