phase,source_epoch,epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
pretrain,0,0,0.4051933555746304,0.35397957651163364,0.414008505396217,0.46360112247507623,0.3381089966438572,0.4666242219723294,0.2339297152403117,0.3529116115246343,0.23574436981629204,0.7394236918303395,0.1663947382929181,0.8110562363128451,0.0063638930118945424,0.002371604749662365,0.008735497763629536,0.050357176212929164,-1.603005575364828
pretrain,5,5,0.2607736732577452,0.1398244096497352,0.2460260250294365,0.48547992981681776,0.4070746115178114,0.478253349181685,0.2135379560693583,0.2855389767203361,0.21866193505709489,0.5233932571742472,0.4705660169432894,0.6918227764526012,0.0011148394194406865,0.00043940728758831027,0.0015542467083946394,0.028040310496399955,-2.6198076394313574
pretrain,10,10,0.19451227510367636,0.18148854717552163,0.2037757009898483,0.48866215282411557,0.41811284659910025,0.48453562003704354,0.19616878167963414,0.2626286008316815,0.1990628595804917,0.4495117254778307,1.1072641757694417,0.627942129486298,0.00095361935374538,0.0004571536971110163,0.001410773046865579,0.027049475365062223,-2.8914717076563834
pretrain,15,15,0.3792738840155864,0.25777395382372775,0.34500871576340436,0.5061859417890994,0.43998764593292966,0.5020062210654869,0.18386928481061965,0.2460817450368378,0.1871877899130005,0.5037696621842594,1.1610665962232825,0.6616017830633936,0.0015542604451014267,0.0006695684293169007,0.0022238288756894326,0.026057297674694235,-2.9745077777475117
pretrain,20,20,0.3493025455641872,0.19115459768978044,0.27653756741332125,0.5025984312027416,0.4177237660509072,0.4901117198516143,0.1860018320659227,0.25325074897441774,0.19336562268761026,0.46569981563716994,1.000738784327549,0.6575744167309203,0.0012185093280366345,0.0008436480045756298,0.0020621573277621063,0.02453141694966912,-3.110280872582197
pretrain,25,25,0.3924373984588586,0.3101607550870655,0.39981922539426246,0.48278527384824466,0.425519258687558,0.4788424777480708,0.19500232813451462,0.24919291242356967,0.1989223204744561,0.46015707558061353,1.0215116973833958,0.6265382932442186,0.0007503559094089178,0.00017331288982736396,0.0009236687985869139,0.02319221684181528,-3.197228160047531
pretrain,30,30,0.5002489231963086,0.15036902352564133,0.4112712279937771,0.46641572810499227,0.40611574451628024,0.4618137350383396,0.1974317004122943,0.25240696809363594,0.20149298358125062,0.4139975771998457,0.9548696073845986,0.6073663794099724,0.0005660415359263061,0.00026267413300723095,0.0008287156681050691,0.023113229894331188,-3.226227813615799
pretrain,35,35,0.6618032669810507,0.0883795888968721,0.4405079802842318,0.4898599415827854,0.43643962952731585,0.48667475365956814,0.18971681604761895,0.23928322262086593,0.19238585464512006,0.39807404229434673,1.1360643837113495,0.5954645700050973,0.000517282013347085,0.00018211482790686658,0.0006993968413634139,0.022025269706490054,-3.289776163560152
pretrain,40,40,0.37099642404863636,0.08379497413927951,0.3280995832410269,0.5118304514916878,0.4259324412341501,0.4984373500394094,0.18241695758862192,0.24950414432405482,0.19121298168174017,0.47314413878534295,0.5069756056263025,0.6710228347107056,0.0013287058246574815,0.0003616411698148477,0.001690346995550499,0.02313144041854128,-3.2285453694140913
pretrain,45,45,0.4717853885394219,0.08081412667673718,0.10124285390375887,0.49650757146981506,0.42472493489197016,0.4835809134937766,0.18238109807747482,0.2397217990518659,0.189831394899996,0.4031388582744562,0.6481982359318671,0.6056194073415468,0.0003683680449259191,0.0005920013532474741,0.0009603693798161839,0.022852109161179794,-3.353206994605064
