group,x_index,label,split,quantile_lo,quantile_hi,au_mean,au_mean_mean,au_mean_std,au_mean_ci95_low,au_mean_ci95_high,au_mean_n,eu_mean,eu_mean_mean,eu_mean_std,eu_mean_ci95_low,eu_mean_ci95_high,eu_mean_n
id,0,ID,id,0.0,1.0,0.00028886919601072667,0.00028886919601072667,4.954717697028568e-05,0.00022735811287124912,0.0003503802791502042,5,0.00012826366970502152,0.00012826366970502152,1.2441144955626687e-05,0.0001128184244153698,0.00014370891499467322,5
q10,5,0.90-1.00,ood,0.9,1.0,0.013764443923599785,0.013764443923599785,0.016165034998242494,-0.0063038802985002015,0.03383276814569977,5,0.6408407126150851,0.6408407126150851,1.1783492610942874,-0.822038583413852,2.1037200086440224,5
q6,1,0.50-0.60,ood,0.5,0.6000000000000001,0.00040377300204110303,0.00040377300204110303,8.042221289422346e-05,0.0003039316442466103,0.0005036143598355958,5,0.0002172697379230752,0.0002172697379230752,1.2868764642111385e-05,0.00020129361778452518,0.00023324585806162523,5
q7,2,0.60-0.70,ood,0.6000000000000001,0.7000000000000001,0.00046150801438779067,0.00046150801438779067,6.21168762346584e-05,0.0003843920902913248,0.0005386239384842565,5,0.000246204632042408,0.000246204632042408,1.2139693910958479e-05,0.00023113362765617222,0.00026127563642864383,5
q8,3,0.70-0.80,ood,0.7000000000000001,0.8,0.0005541778860282143,0.0005541778860282143,3.6861753218392393e-05,0.0005084153117398095,0.0005999404603166191,5,0.00030537415603210983,0.00030537415603210983,2.0514841138191773e-05,0.000279905699986647,0.0003308426120775727,5
q9,4,0.80-0.90,ood,0.8,0.9,0.0008059688712045296,0.0008059688712045296,0.00010777064468332558,0.0006721753941495862,0.000939762348259473,5,0.000422942816265109,0.000422942816265109,6.154326538185228e-05,0.00034653900993224094,0.0004993466225979771,5
