epoch,au_var,eu_var,tu_var,rmse_energy
0,0.01576263969084248,0.0015964943432525615,0.017359134035604074,0.08956850928901873
10,0.0031197576797159852,0.001865766818333941,0.004985524506418733,0.033875642195387586
20,0.0018833540469175205,0.0007964032423333265,0.002679757293575676,0.01919122745595432
30,0.0010940446267399238,0.0004931162852015405,0.0015871609063993675,0.017429926848114684
40,0.0004299411511514336,0.00021183981737613066,0.0006417809681035578,0.011705315641917893
50,0.002215238708091783,0.0008650511168923913,0.0030802898423949957,0.011131670301386242
60,0.0003230976327584358,0.00016494477354717674,0.00048804240704048427,0.008849406445575372
70,0.0003008212327447836,0.00013403532396014272,0.00043485655660479097,0.007862051444807547
80,0.00020259238902217475,0.00019459123278875266,0.0003971836215663643,0.006772722350605557
90,0.00018391098054053147,0.00011933043681474373,0.00030324141790770225,0.006137633835477827
100,0.00017634946167163434,0.00010267771692542737,0.0002790271789446706,0.006291320662666537
110,0.00013020656679400418,8.546992231708828e-05,0.0002156764894592925,0.004754457614766557
120,0.0001559618749346555,9.50508479144446e-05,0.00025101272316169345,0.005356304741495409
130,0.00014070987148952555,0.00011457137275560854,0.00025528124324118836,0.004960813079610398
140,9.310924431702006e-05,5.803575198706312e-05,0.00015114499641713338,0.0036225201501489095
150,8.472018185020715e-05,6.595077106660483e-05,0.0001506709529156069,0.003287972201869124
160,7.621080100616381e-05,5.501682677304416e-05,0.00013122762786151724,0.003178416090503013
170,7.548408957409265e-05,4.6543877711565074e-05,0.00012202796736855817,0.0030412921972689916
180,6.255539477242565e-05,5.136722699481879e-05,0.00011392262156041398,0.003341796670720837
190,0.0003456447779042719,5.261716094696567e-05,0.0003982619354830604,0.004050423762007218
200,4.4557611207710577e-05,3.746853428724535e-05,8.202614532638109e-05,0.0027630647339495695
210,7.712995765568849e-05,3.172225483580178e-05,0.00010885221255721263,0.002598114286998381
220,3.606756638482693e-05,2.7727094200054126e-05,6.379466055896046e-05,0.0024604114185873363
230,4.625205107140573e-05,2.6360480413973165e-05,7.261253150718402e-05,0.002824868013811164
240,3.327633639364649e-05,2.114890754709222e-05,5.4425243956575286e-05,0.0020707538084905916
250,2.8852837096746952e-05,2.0306067632827763e-05,4.915890470128943e-05,0.001964952621799545
260,2.4283848615323223e-05,1.8812068499585167e-05,4.309591713708869e-05,0.001889552685679821
270,2.2303012175871117e-05,1.685590834263735e-05,3.91589204761658e-05,0.0017661078671558808
280,2.445593854067738e-05,1.9876154724192928e-05,4.433209326471115e-05,0.001709898513447519
290,2.928699343979133e-05,1.4739672293637795e-05,4.4026665706769564e-05,0.0016483367323019739
