epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,rmse_e_atom,nll_energy,magnitude_aleatoric,magnitude_epistemic,magnitude_total
0,0.39429724336956773,0.08893929767563274,0.3635288139164652,0.179627275185756,-0.02551811492934319,0.16102589404493978,0.40038047710874025,0.5767237548964042,0.409327857602392,2.6504458386058207,61.408566002693085,2.36224957264237,0.2297511829581177,0.22860024456754327,0.017962574487691747,0.0017498104723556026,0.019712384954933077
5,0.18222746699953113,0.1840020164689725,0.1858261681027905,0.3955260928072521,0.47008029394860484,0.49348438412990187,0.2862916961714682,0.2842310561245395,0.2375146940779352,1.7488499066519587,4.949300483261785,0.7685530437227353,0.132303858785713,0.14462247363328934,0.008189427977171726,0.004571377862519876,0.012760805824981071
10,0.3134434806467465,0.3343347096910277,0.32858910754766135,0.43979496322980943,0.43332228289375185,0.48046557188977057,0.27185120972060206,0.32172983276232636,0.2526799057789277,2.4083462509739224,5.833060470598799,1.0166016866939187,0.10980153587455131,0.13091148563183377,0.0044395147304865535,0.0036898325957954513,0.008129347326932474
15,0.11516785296583587,0.11230666349365578,0.11927741611172231,0.48931263132467645,0.29165556940492565,0.47513759841970077,0.23623578031516204,0.43524233416825164,0.24404829298179942,2.6061662204718754,14.773081470756837,1.55187985706276,0.09050751443409644,0.11848838435875222,0.002017090376871056,0.000964290635267389,0.0029813810172025115
20,0.0609139177259918,0.08414025883035223,0.07171017653815333,0.49191367835545796,0.2833759540896357,0.4844773083460437,0.2307855973051625,0.4790192542248223,0.23735826974444624,2.3563755432464073,11.539512887354942,1.2573687699001512,0.08851468389736594,0.11319242691858017,0.002790921088025789,0.0012944382880887132,0.004085359383653849
25,0.07940521500864992,0.05839242156725118,0.07871416508714045,0.4972675050103727,0.3513892410794583,0.49268587866328695,0.23021352877567752,0.3866223728214222,0.2322159919252787,1.8875730289461685,8.868782188752691,0.8418608340235193,0.08325687503864117,0.09759522341760167,0.0027144494151929393,0.0016103478393983096,0.004324797255080193
30,0.26550548771269084,0.334755012232917,0.3776083551828656,0.5304096624525204,0.35171086725656825,0.5308414296758779,0.20940478760341827,0.38547190938800674,0.21183056881858656,2.0496003196236288,11.786958103843208,1.0984274801666583,0.08352667159641755,0.09706321693543905,0.0018137299807771342,0.0010516256799797702,0.0028653556625708007
35,0.3923218176735619,0.4077941330566917,0.451518972389703,0.5551545423639902,0.40855846884315145,0.5550715987889017,0.19480672377281963,0.3387591262873043,0.19587209410705586,2.02213665304681,10.932178562370272,1.0198774028462085,0.08043291293619091,0.08461506180245487,0.001694813019502908,0.0009069614096493752,0.0026017744209239028
40,0.5529484517594436,0.5724258392346909,0.6239724145232223,0.5340963619597222,0.4006084413430014,0.5422618774104306,0.20173855411041652,0.3293574389252049,0.19673797461168607,2.851273459186897,14.355540773850864,1.4242882371674355,0.07930203598796459,0.08700626694073563,0.0012342681604903191,0.000988390512530532,0.0022226586712684364
45,0.4858396159305328,0.5876391712287453,0.6115445449052598,0.5411989559502861,0.45419723568493253,0.5603349793304534,0.19823603718132699,0.2841369420869646,0.1873249917978608,3.289269445608551,10.753973302508976,1.540149725406499,0.08089541802862468,0.09491097859953934,0.0015619794596379505,0.0010915325710069738,0.002653512031992432
