epoch,pearson_aleatoric,pearson_aleatoric_mean,pearson_aleatoric_std,pearson_aleatoric_ci95_low,pearson_aleatoric_ci95_high,pearson_aleatoric_n,pearson_epistemic,pearson_epistemic_mean,pearson_epistemic_std,pearson_epistemic_ci95_low,pearson_epistemic_ci95_high,pearson_epistemic_n,pearson_total,pearson_total_mean,pearson_total_std,pearson_total_ci95_low,pearson_total_ci95_high,pearson_total_n,spearman_aleatoric,spearman_aleatoric_mean,spearman_aleatoric_std,spearman_aleatoric_ci95_low,spearman_aleatoric_ci95_high,spearman_aleatoric_n,spearman_epistemic,spearman_epistemic_mean,spearman_epistemic_std,spearman_epistemic_ci95_low,spearman_epistemic_ci95_high,spearman_epistemic_n,spearman_total,spearman_total_mean,spearman_total_std,spearman_total_ci95_low,spearman_total_ci95_high,spearman_total_n,ause_aleatoric,ause_aleatoric_mean,ause_aleatoric_std,ause_aleatoric_ci95_low,ause_aleatoric_ci95_high,ause_aleatoric_n,ause_epistemic,ause_epistemic_mean,ause_epistemic_std,ause_epistemic_ci95_low,ause_epistemic_ci95_high,ause_epistemic_n,ause_total,ause_total_mean,ause_total_std,ause_total_ci95_low,ause_total_ci95_high,ause_total_n,ence_aleatoric,ence_aleatoric_mean,ence_aleatoric_std,ence_aleatoric_ci95_low,ence_aleatoric_ci95_high,ence_aleatoric_n,ence_epistemic,ence_epistemic_mean,ence_epistemic_std,ence_epistemic_ci95_low,ence_epistemic_ci95_high,ence_epistemic_n,ence_total,ence_total_mean,ence_total_std,ence_total_ci95_low,ence_total_ci95_high,ence_total_n,magnitude_aleatoric,magnitude_aleatoric_mean,magnitude_aleatoric_std,magnitude_aleatoric_ci95_low,magnitude_aleatoric_ci95_high,magnitude_aleatoric_n,magnitude_epistemic,magnitude_epistemic_mean,magnitude_epistemic_std,magnitude_epistemic_ci95_low,magnitude_epistemic_ci95_high,magnitude_epistemic_n,magnitude_total,magnitude_total_mean,magnitude_total_std,magnitude_total_ci95_low,magnitude_total_ci95_high,magnitude_total_n,rmse_e_atom,rmse_e_atom_mean,rmse_e_atom_std,rmse_e_atom_ci95_low,rmse_e_atom_ci95_high,rmse_e_atom_n,nll_energy,nll_energy_mean,nll_energy_std,nll_energy_ci95_low,nll_energy_ci95_high,nll_energy_n
0,0.7983093754657016,0.7983093754657016,0.057772667798326696,0.7265866338398066,0.8700321170915966,5,0.2835560410771596,0.2835560410771596,0.06063581926498299,0.20827879728432924,0.35883328486998994,5,0.7128051697028678,0.7128051697028678,0.08850437988230694,0.6029300849444899,0.8226802544612457,5,0.1919653939566762,0.1919653939566762,0.07445645748059103,0.09953031235543265,0.28440047555791975,5,0.1176446160030071,0.1176446160030071,0.03922417860771965,0.06894917341776934,0.16634005858824485,5,0.19275950638508912,0.19275950638508912,0.06894924294198129,0.10716143855668919,0.27835757421348906,5,0.3974748489882606,0.3974748489882606,0.031659616733402826,0.35817054476482846,0.4367791532116927,5,0.4913580120081291,0.4913580120081291,0.04342577128065585,0.4374464394226253,0.545269584593633,5,0.39798894464709667,0.39798894464709667,0.028405276403627635,0.36272478984951395,0.4332530994446794,5,0.5148905072390786,0.5148905072390786,0.06128196998424582,0.4388110899816118,0.5909699244965454,5,3.9426637223007353,3.9426637223007353,1.065728289075253,2.6195994146669213,5.265728029934549,5,0.5753865151160401,0.5753865151160401,0.04949795125110396,0.5139365439811274,0.6368364862509528,5,0.013790091502368452,0.013790091502368452,0.0022877102275487564,0.010949979459452733,0.016630203545284168,5,0.0023397899673483335,0.0023397899673483335,0.0005926617439339795,0.0016040211903184404,0.0030755587443782265,5,0.016129881468918174,0.016129881468918174,0.0023447277286737594,0.013218984197326185,0.01904077874051016,5,0.08883708997944421,0.08883708997944421,0.00129927711839387,0.08722408298817455,0.09045009697071388,5,-1.0666015312159063,-1.0666015312159063,0.04914328664392714,-1.1276111986751571,-1.0055918637566554,5
5,0.6620810338266248,0.6620810338266248,0.15946657523849136,0.4641088713894953,0.8600531962637542,5,0.6228459825319904,0.6228459825319904,0.12496764890237504,0.46770302764701277,0.7779889374169681,5,0.6577488764882476,0.6577488764882476,0.144310242491143,0.4785927697927165,0.8369049831837788,5,0.3078430311415145,0.3078430311415145,0.024297089203595145,0.2776790467242803,0.33800701555874874,5,0.2270718811170151,0.2270718811170151,0.03553936206656044,0.1829510090820409,0.27119275315198926,5,0.31077380138348526,0.31077380138348526,0.027211796237429024,0.27699131037014574,0.3445562923968248,5,0.3354922064267606,0.3354922064267606,0.010456738941881353,0.32251053163209736,0.3484738812214238,5,0.4129136515575585,0.4129136515575585,0.02346132413459673,0.3837872401724884,0.4420400629426286,5,0.3331421341922988,0.3331421341922988,0.010836831240794913,0.3196885881341493,0.34659568025044835,5,0.6615584078340281,0.6615584078340281,0.07307505744599087,0.5708382859453859,0.7522785297226703,5,0.4024017322907971,0.4024017322907971,0.23442670526319737,0.11136919644710674,0.6934342681344875,5,0.7542506697107004,0.7542506697107004,0.04141058727394075,0.7028408774194147,0.8056604620019862,5,0.005587571015078574,0.005587571015078574,0.0011724083790991468,0.004132067115765864,0.007043074914391285,5,0.002277906336667365,0.002277906336667365,0.0007400049187590965,0.0013592161737805593,0.003196596499554171,5,0.007865477347276172,0.007865477347276172,0.0014756312140984551,0.00603353292896848,0.009697421765583865,5,0.04072359115390171,0.04072359115390171,0.002573171662478848,0.03752908874748193,0.04391809356032148,5,-1.637689451608658,-1.637689451608658,0.08128049862064286,-1.7385963410419538,-1.5367825621753621,5
10,0.7280390144451816,0.7280390144451816,0.2357925102540343,0.435310879588977,1.0207671493013861,5,0.7083635624241033,0.7083635624241033,0.2174239336743489,0.4384393714096334,0.9782877534385731,5,0.7277688948862668,0.7277688948862668,0.2320611086013091,0.43967316436311255,1.0158646254094212,5,0.3355081031827847,0.3355081031827847,0.017052879652169842,0.31433755094968385,0.3566786554158855,5,0.2457760173435207,0.2457760173435207,0.038623085558334914,0.19782681070543773,0.29372522398160367,5,0.3348943490903299,0.3348943490903299,0.018653070570684244,0.31173721593281417,0.3580514822478456,5,0.32477983226517093,0.32477983226517093,0.009765231958098213,0.3126566391474057,0.33690302538293615,5,0.40517573759546555,0.40517573759546555,0.041029249918809824,0.3542393622613097,0.4561121129296214,5,0.32358756611945927,0.32358756611945927,0.010904623484324737,0.31004985836768845,0.3371252738712301,5,0.6428325189698036,0.6428325189698036,0.04506351516980066,0.5868877447634129,0.6987772931761944,5,0.4078076080987705,0.4078076080987705,0.09338696554182009,0.2918709644221509,0.5237442517753901,5,0.7392038221778796,0.7392038221778796,0.02728837845532689,0.7053262570259076,0.7730813873298517,5,0.0029157602791069076,0.0029157602791069076,0.00036432180493599315,0.002463467530997727,0.003368053027216088,5,0.001277981683506514,0.001277981683506514,0.0004064815576517794,0.0007733490804749071,0.001782614286538121,5,0.004193741970750271,0.004193741970750271,0.0006990837536892613,0.0033258539996469543,0.005061629941853588,5,0.02969242477203645,0.02969242477203645,0.0034094041936024166,0.025459768995612857,0.033925080548460045,5,-2.0506811807942396,-2.0506811807942396,0.05843226773828376,-2.123222792620748,-1.978139568967731,5
15,0.46409362940985366,0.46409362940985366,0.21605740340455645,0.19586593781629386,0.7323213210034134,5,0.5057469974732358,0.5057469974732358,0.2211229707348245,0.23123058163232674,0.7802634133141448,5,0.4806856422956448,0.4806856422956448,0.2176308736048456,0.21050454261254803,0.7508667419787416,5,0.29723968028448383,0.29723968028448383,0.0348721306910682,0.25394715260979045,0.3405322079591772,5,0.1664503184183104,0.1664503184183104,0.06414097281079081,0.08682154938515965,0.24607908745146115,5,0.29463529105669267,0.29463529105669267,0.03806309122548493,0.24738129775006204,0.34188928436332333,5,0.3502921306606177,0.3502921306606177,0.020670537815912254,0.32463038264831795,0.37595387867291746,5,0.47069346623856206,0.47069346623856206,0.050691970513739096,0.4077611620500804,0.5336257704270437,5,0.3527579872612787,0.3527579872612787,0.023562555278401058,0.3235059009602273,0.38201007356233013,5,0.6709277277409538,0.6709277277409538,0.10891242223688799,0.5357167738827188,0.8061386815991888,5,0.3607578253016961,0.3607578253016961,0.10712752796177658,0.22776275510959604,0.49375289549379614,5,0.7672772594729478,0.7672772594729478,0.07225031949405533,0.6775810208372346,0.856973498108661,5,0.002439765955290641,0.002439765955290641,0.0011902530305622416,0.0009621085468002083,0.003917423363781074,5,0.0009664216039640452,0.0009664216039640452,0.0006313985925657824,0.00018256238742876587,0.0017502808204993246,5,0.003406187557560625,0.003406187557560625,0.0018162024699876743,0.0011514358651173854,0.005660939250003865,5,0.022142685189616502,0.022142685189616502,0.002047823471126589,0.01960038414463499,0.024684986234598014,5,-2.188592647116184,-2.188592647116184,0.1607530500683777,-2.3881619229522353,-1.9890233712801328,5
20,0.37574576602426263,0.37574576602426263,0.21918038540488272,0.10364100176558677,0.6478505302829385,5,0.531939029234518,0.531939029234518,0.27631323501644683,0.18890583519749615,0.8749722232715398,5,0.4268455905439653,0.4268455905439653,0.25954859930745494,0.10462510399010222,0.7490660770978284,5,0.32344257020509337,0.32344257020509337,0.026322754952718627,0.2907637927779193,0.35612134763226744,5,0.23267317315806918,0.23267317315806918,0.05214906060116323,0.16793194271001466,0.2974144036061237,5,0.3178000047227094,0.3178000047227094,0.022420947794100504,0.2899651840899235,0.34563482535549533,5,0.33990781568050155,0.33990781568050155,0.024223625546191105,0.30983503381838,0.3699805975426231,5,0.4229104912699557,0.4229104912699557,0.047522313993909944,0.36391320452619597,0.4819077780137155,5,0.34348189859166894,0.34348189859166894,0.022136238975011296,0.31600053397620653,0.37096326320713136,5,0.6286067145649976,0.6286067145649976,0.04110184436291772,0.5775802157735626,0.6796332133564327,5,0.39085767953364414,0.39085767953364414,0.07954772709474098,0.2921019652007056,0.4896133938665827,5,0.7396278362580337,0.7396278362580337,0.023790845513107242,0.7100923356341973,0.7691633368818702,5,0.003352202614626731,0.003352202614626731,0.002687124532736145,1.6231714843904788e-05,0.006688173514409557,5,0.0008675823064984434,0.0008675823064984434,0.00018492212727736051,0.0006380079686485105,0.0010971566443483763,5,0.0042197849178512116,0.0042197849178512116,0.002594931643379929,0.0009982682580235657,0.007441301577678857,5,0.019738355983913144,0.019738355983913144,0.0014462431379733242,0.017942895831801413,0.021533816136024876,5,-2.378361854854822,-2.378361854854822,0.040943990091307114,-2.429192383102248,-2.327531326607396,5
25,0.34975167852156314,0.34975167852156314,0.07546560291100966,0.25606377824797566,0.4434395787951506,5,0.3800678809515817,0.3800678809515817,0.1737140772340033,0.16440794428865954,0.5957278176145039,5,0.35658481819330173,0.35658481819330173,0.09203188588509412,0.24233045840291595,0.4708391779836875,5,0.3018417459544304,0.3018417459544304,0.03627341105579591,0.2568095778342647,0.3468739140745961,5,0.2190535019627923,0.2190535019627923,0.03596401747889085,0.1744054351213582,0.2637015688042264,5,0.2967774650281141,0.2967774650281141,0.03384647212948761,0.25475825649917017,0.338796673557058,5,0.34972757399292886,0.34972757399292886,0.01219727303030271,0.33458508714868734,0.3648700608371704,5,0.4234938171230139,0.4234938171230139,0.025478822172587796,0.391862752655024,0.45512488159100384,5,0.35444401634983735,0.35444401634983735,0.011125202472631353,0.3406324675173388,0.36825556518233593,5,0.6601615897011021,0.6601615897011021,0.034799920502480416,0.6169587084439312,0.7033644709582729,5,0.3007279940962194,0.3007279940962194,0.0720091678158947,0.21133113681443205,0.3901248513780068,5,0.7606949359277693,0.7606949359277693,0.019319751742782082,0.7367101414681974,0.7846797303873412,5,0.0020990452306930093,0.0020990452306930093,0.0010618486688102093,0.0007807973356030588,0.0034172931257829596,5,0.0007219706196074548,0.0007219706196074548,0.00010530443775335951,0.0005912388519935816,0.000852702387221328,5,0.0028210158507886805,0.0028210158507886805,0.0010704015000497116,0.0014921499155676756,0.0041498817860096855,5,0.016625075404465204,0.016625075404465204,0.0008066962638284655,0.015623590274799449,0.017626560534130958,5,-2.4735094214928153,-2.4735094214928153,0.056363742292266775,-2.543483031498304,-2.4035358114873264,5
30,0.48686159917156563,0.48686159917156563,0.19410583321300312,0.24588601237308816,0.7278371859700431,5,0.511925406748017,0.511925406748017,0.29801770777198494,0.14194687071976342,0.8819039427762706,5,0.5160332523555943,0.5160332523555943,0.22396266193063277,0.2379914594515165,0.7940750452596721,5,0.2949589697711933,0.2949589697711933,0.015399582990244635,0.27584092738112326,0.3140770121612633,5,0.2022678918143621,0.2022678918143621,0.01626708071381459,0.18207288141398908,0.22246290221473514,5,0.2860197245786417,0.2860197245786417,0.012170115559637816,0.27091095278211985,0.3011284963751636,5,0.34770434810475254,0.34770434810475254,0.005336925116633461,0.341078742679134,0.35432995353037106,5,0.43483155658465555,0.43483155658465555,0.013694638171563842,0.4178301434135013,0.45183296975580983,5,0.3541062481035535,0.3541062481035535,0.004041016272965145,0.34908946807422087,0.35912302813288616,5,0.6452478229621204,0.6452478229621204,0.02559579791666191,0.6134715372089024,0.6770241087153384,5,0.35523150969228207,0.35523150969228207,0.1222077106678144,0.20351492136513463,0.5069480980194295,5,0.745123486020046,0.745123486020046,0.021342042097825416,0.7186280889839471,0.7716188830561448,5,0.0012690632339881266,0.0012690632339881266,0.0004334133383621559,0.0007309957694029818,0.0018071306985732714,5,0.00047147957381446764,0.00047147957381446764,0.00020125399774723057,0.000221629791353476,0.0007213293562754593,5,0.0017405428109283094,0.0017405428109283094,0.0006178698300235073,0.0009734790787858382,0.0025076065430707805,5,0.0157277233945124,0.0157277233945124,0.0011493918665968484,0.014300793688537865,0.017154653100486937,5,-2.585347162262201,-2.585347162262201,0.050590961086221936,-2.648154066787699,-2.5225402577367033,5
35,0.28629937671934536,0.28629937671934536,0.22026886476455232,0.012843303496520131,0.5597554499421706,5,0.27397296817866446,0.27397296817866446,0.25524172449502686,-0.04290068428982857,0.5908466206471574,5,0.2895814221189677,0.2895814221189677,0.229396068119818,0.004794245920217932,0.5743685983177175,5,0.26459199617332446,0.26459199617332446,0.04560895556983785,0.20797007683282365,0.3212139155138253,5,0.1656365119821675,0.1656365119821675,0.06164962809115688,0.08910066007465653,0.24217236388967847,5,0.24582572308278264,0.24582572308278264,0.05084474446165756,0.18270375539404557,0.30894769077151973,5,0.37295098496341705,0.37295098496341705,0.01897615847975269,0.34939274949389704,0.39650922043293707,5,0.4510078767391551,0.4510078767391551,0.032065088092876816,0.4112001940383127,0.4908155594399975,5,0.38425337113012487,0.38425337113012487,0.020957686277967045,0.358235138369291,0.41027160389095874,5,0.6507657613108423,0.6507657613108423,0.04916477563437463,0.5897294160233311,0.7118021065983535,5,0.4363122818414403,0.4363122818414403,0.2287808586010262,0.15228886669170633,0.7203356969911743,5,0.7503531681936436,0.7503531681936436,0.04202901829033522,0.6981756154770105,0.8025307209102768,5,0.0009034783071817946,0.0009034783071817946,0.00024201409908150098,0.0006030262879183016,0.0012039303264452877,5,0.00040332809827081287,0.00040332809827081287,0.0001458220322221443,0.0002222951576259167,0.000584361038915709,5,0.0013068064050344402,0.0013068064050344402,0.0003366530590528247,0.0008888634349036365,0.001724749375165244,5,0.01384044548204621,0.01384044548204621,0.0009086526471373694,0.012712385076980293,0.014968505887112127,5,-2.6400873814892765,-2.6400873814892765,0.05339885760155735,-2.706380191096822,-2.5737945718817308,5
40,0.320731661690271,0.320731661690271,0.22810599314928964,0.03754606833883295,0.6039172550417091,5,0.2536517549892491,0.2536517549892491,0.19791868476206098,0.007942646666967396,0.49936086331153073,5,0.3008709060503828,0.3008709060503828,0.21922025440452358,0.028716645826415754,0.5730251662743499,5,0.2874906003732024,0.2874906003732024,0.03693536456443592,0.24163664017941677,0.333344560566988,5,0.1906859608325711,0.1906859608325711,0.030368659018910987,0.1529843353521334,0.22838758631300882,5,0.2746120842736055,0.2746120842736055,0.02433562297893184,0.24440026152524225,0.30482390702196877,5,0.36892654940960606,0.36892654940960606,0.028559193162930603,0.33347131235149974,0.4043817864677124,5,0.45655606230775925,0.45655606230775925,0.03157376661061268,0.4173583380019609,0.49575378661355757,5,0.3815389711549803,0.3815389711549803,0.02108164093281273,0.3553668530358684,0.4077110892740922,5,0.6235552005709429,0.6235552005709429,0.06367121953640097,0.5445096137589178,0.702600787382968,5,0.41080111942106007,0.41080111942106007,0.09248841583229189,0.2959799937066624,0.5256222451354577,5,0.7371192509287814,0.7371192509287814,0.04864882918724648,0.6767234350668689,0.7975150667906938,5,0.0005569198955819594,0.0005569198955819594,0.0001372479442330502,0.00038653138457749774,0.0007273084065864211,5,0.0002757599697907699,0.0002757599697907699,9.059140679186385e-05,0.0001632939142930284,0.00038822602528851144,5,0.0008326798656579922,0.0008326798656579922,0.00022642172566682864,0.0005515852313374775,0.001113774499978507,5,0.01261414559737058,0.01261414559737058,0.0007099547388261674,0.01173276167934449,0.01349552951539667,5,-2.7543904911899566,-2.7543904911899566,0.06241795056659202,-2.8318801885141855,-2.6769007938657277,5
45,0.6561547743804057,0.6561547743804057,0.22010389814617506,0.38290350143074897,0.9294060473300625,5,0.7161441958724982,0.7161441958724982,0.24082419136353264,0.4171694053240166,1.0151189864209798,5,0.682749837598599,0.682749837598599,0.22753012778353662,0.4002791609095416,0.9652205142876564,5,0.2900107769669694,0.2900107769669694,0.021010444529331394,0.2639270466867126,0.31609450724722626,5,0.1994666916087587,0.1994666916087587,0.017890665618428205,0.1772560574703959,0.2216773257471215,5,0.27747264307005665,0.27747264307005665,0.01854658717605216,0.25444770531378685,0.30049758082632644,5,0.35135587704887117,0.35135587704887117,0.01606424385973082,0.3314126814916078,0.37129907260613454,5,0.42985127708549864,0.42985127708549864,0.023570884665984206,0.40058885014178186,0.4591137040292154,5,0.3608975686876367,0.3608975686876367,0.016943971877243544,0.33986222163892094,0.3819329157363525,5,0.6915707230806762,0.6915707230806762,0.026818332778357774,0.6582767031573807,0.7248647430039717,5,0.3613233649397141,0.3613233649397141,0.06145490640862063,0.28502925317434546,0.4376174767050828,5,0.7817970003744389,0.7817970003744389,0.019763802720488503,0.7572609321939798,0.806333068554898,5,0.00126021041040367,0.00126021041040367,0.0009335906722773338,0.0001011903214260207,0.002419230499381319,5,0.0005111353455331845,0.0005111353455331845,0.0002973330267882136,0.00014200681694212633,0.0008802638741242428,5,0.001771345758799289,0.001771345758799289,0.0012122896680682451,0.0002663306374252499,0.003276360880173328,5,0.012722239913382494,0.012722239913382494,0.0016847274024548204,0.010630709907911085,0.014813769918853904,5,-2.810615191297531,-2.810615191297531,0.03197419837939825,-2.8503100376055825,-2.7709203449894795,5
