epoch,pearson_aleatoric,pearson_aleatoric_mean,pearson_aleatoric_std,pearson_aleatoric_ci95_low,pearson_aleatoric_ci95_high,pearson_aleatoric_n,pearson_aleatoric_geometric_mean,pearson_aleatoric_geometric_ci95_low,pearson_aleatoric_geometric_ci95_high,pearson_aleatoric_geometric_n,pearson_epistemic,pearson_epistemic_mean,pearson_epistemic_std,pearson_epistemic_ci95_low,pearson_epistemic_ci95_high,pearson_epistemic_n,pearson_epistemic_geometric_mean,pearson_epistemic_geometric_ci95_low,pearson_epistemic_geometric_ci95_high,pearson_epistemic_geometric_n,pearson_total,pearson_total_mean,pearson_total_std,pearson_total_ci95_low,pearson_total_ci95_high,pearson_total_n,pearson_total_geometric_mean,pearson_total_geometric_ci95_low,pearson_total_geometric_ci95_high,pearson_total_geometric_n,spearman_aleatoric,spearman_aleatoric_mean,spearman_aleatoric_std,spearman_aleatoric_ci95_low,spearman_aleatoric_ci95_high,spearman_aleatoric_n,spearman_aleatoric_geometric_mean,spearman_aleatoric_geometric_ci95_low,spearman_aleatoric_geometric_ci95_high,spearman_aleatoric_geometric_n,spearman_epistemic,spearman_epistemic_mean,spearman_epistemic_std,spearman_epistemic_ci95_low,spearman_epistemic_ci95_high,spearman_epistemic_n,spearman_epistemic_geometric_mean,spearman_epistemic_geometric_ci95_low,spearman_epistemic_geometric_ci95_high,spearman_epistemic_geometric_n,spearman_total,spearman_total_mean,spearman_total_std,spearman_total_ci95_low,spearman_total_ci95_high,spearman_total_n,spearman_total_geometric_mean,spearman_total_geometric_ci95_low,spearman_total_geometric_ci95_high,spearman_total_geometric_n,ause_aleatoric,ause_aleatoric_mean,ause_aleatoric_std,ause_aleatoric_ci95_low,ause_aleatoric_ci95_high,ause_aleatoric_n,ause_aleatoric_geometric_mean,ause_aleatoric_geometric_ci95_low,ause_aleatoric_geometric_ci95_high,ause_aleatoric_geometric_n,ause_epistemic,ause_epistemic_mean,ause_epistemic_std,ause_epistemic_ci95_low,ause_epistemic_ci95_high,ause_epistemic_n,ause_epistemic_geometric_mean,ause_epistemic_geometric_ci95_low,ause_epistemic_geometric_ci95_high,ause_epistemic_geometric_n,ause_total,ause_total_mean,ause_total_std,ause_total_ci95_low,ause_total_ci95_high,ause_total_n,ause_total_geometric_mean,ause_total_geometric_ci95_low,ause_total_geometric_ci95_high,ause_total_geometric_n,ence_aleatoric,ence_aleatoric_mean,ence_aleatoric_std,ence_aleatoric_ci95_low,ence_aleatoric_ci95_high,ence_aleatoric_n,ence_aleatoric_geometric_mean,ence_aleatoric_geometric_ci95_low,ence_aleatoric_geometric_ci95_high,ence_aleatoric_geometric_n,ence_epistemic,ence_epistemic_mean,ence_epistemic_std,ence_epistemic_ci95_low,ence_epistemic_ci95_high,ence_epistemic_n,ence_epistemic_geometric_mean,ence_epistemic_geometric_ci95_low,ence_epistemic_geometric_ci95_high,ence_epistemic_geometric_n,ence_total,ence_total_mean,ence_total_std,ence_total_ci95_low,ence_total_ci95_high,ence_total_n,ence_total_geometric_mean,ence_total_geometric_ci95_low,ence_total_geometric_ci95_high,ence_total_geometric_n,magnitude_aleatoric,magnitude_aleatoric_mean,magnitude_aleatoric_std,magnitude_aleatoric_ci95_low,magnitude_aleatoric_ci95_high,magnitude_aleatoric_n,magnitude_aleatoric_geometric_mean,magnitude_aleatoric_geometric_ci95_low,magnitude_aleatoric_geometric_ci95_high,magnitude_aleatoric_geometric_n,magnitude_epistemic,magnitude_epistemic_mean,magnitude_epistemic_std,magnitude_epistemic_ci95_low,magnitude_epistemic_ci95_high,magnitude_epistemic_n,magnitude_epistemic_geometric_mean,magnitude_epistemic_geometric_ci95_low,magnitude_epistemic_geometric_ci95_high,magnitude_epistemic_geometric_n,magnitude_total,magnitude_total_mean,magnitude_total_std,magnitude_total_ci95_low,magnitude_total_ci95_high,magnitude_total_n,magnitude_total_geometric_mean,magnitude_total_geometric_ci95_low,magnitude_total_geometric_ci95_high,magnitude_total_geometric_n,rmse_e_atom,rmse_e_atom_mean,rmse_e_atom_std,rmse_e_atom_ci95_low,rmse_e_atom_ci95_high,rmse_e_atom_n,rmse_e_atom_geometric_mean,rmse_e_atom_geometric_ci95_low,rmse_e_atom_geometric_ci95_high,rmse_e_atom_geometric_n,nll_energy,nll_energy_mean,nll_energy_std,nll_energy_ci95_low,nll_energy_ci95_high,nll_energy_n,nll_energy_geometric_mean,nll_energy_geometric_ci95_low,nll_energy_geometric_ci95_high,nll_energy_geometric_n
0,0.7325003744721992,0.7325003744721992,0.12411575509485767,0.5784150158828012,0.8865857330615972,5,0.7238226482184146,0.583114004817204,0.8984850676638408,5,0.44128051493311704,0.44128051493311704,0.23349581441669143,0.15140364743936202,0.731157382426872,5,0.3802873510464831,0.16559358527263848,0.8733337654828034,5,0.724076305394133,0.724076305394133,0.13344460833858957,0.5584095025619014,0.8897431082263647,5,0.7138514418645873,0.5634542289192102,0.9043926816018553,5,0.1533708334430373,0.1533708334430373,0.04914800299372208,0.09235531080086606,0.21438635608520856,5,0.14690246276065433,0.09714108295810671,0.22215454993900177,5,0.1548264873549044,0.1548264873549044,0.039116813306957474,0.10626433502645438,0.2033886396833544,5,0.1506056114313038,0.10801327285244886,0.2099931757977707,5,0.18509276133132052,0.18509276133132052,0.05427539872761503,0.11771175664633506,0.252473766016306,5,0.17859357762452951,0.12258690654392136,0.2601881951993055,5,0.4124740166614356,0.4124740166614356,0.05893051406888686,0.3393138494834477,0.4856341838394235,5,0.409284491465987,0.3450283800294288,0.4855072934588271,5,0.4184255310098715,0.4184255310098715,0.0441629489681432,0.36359877816998515,0.47325228384975787,5,0.41651531500368005,0.3643933623711195,0.47609266673723755,5,0.3970638734003051,0.3970638734003051,0.06693160124872743,0.31397063699779737,0.4801571098028128,5,0.3926726057304183,0.319643757955724,0.4823863174342815,5,0.5435795976667579,0.5435795976667579,0.16050013356827592,0.34432430879861087,0.7428348865349049,5,0.5248706954676015,0.3632261055873281,0.7584511210040479,5,7.670060000190494,7.670060000190494,2.4787866440691575,4.59273328509217,10.747386715288819,5,7.209237731584643,4.209403844335753,12.346904833196183,5,0.5611528349256973,0.5611528349256973,0.11062335391449839,0.42381781937307805,0.6984878504783166,5,0.5528797115931063,0.4364317414415576,0.7003981298005781,5,5.5289358195015944e-05,5.5289358195015944e-05,1.3291909270256177e-05,3.878791883560604e-05,7.179079755442585e-05,5,5.3997609602563014e-05,3.986533030241774e-05,7.313978890108361e-05,5,6.905351031299198e-06,6.905351031299198e-06,2.9674243829543214e-06,3.221397694472715e-06,1.058930436812568e-05,5,6.482321586467502e-06,4.033491190689995e-06,1.041789634928997e-05,5,6.219470927764913e-05,6.219470927764913e-05,1.5910687368542434e-05,4.244214872067565e-05,8.19472698346226e-05,5,6.0589664672280315e-05,4.4118909528464384e-05,8.320938809085635e-05,5,0.007635167838345574,0.007635167838345574,0.0003257769357657988,0.007230727193970781,0.008039608482720369,5,0.0076296036348962575,0.007235662002382972,0.008044993202619359,5,-3.6849790417231048,-3.6849790417231048,0.061312672582231345,-3.7610965751795713,-3.608861508266638,5,nan,nan,nan,0
5,0.788849518248075,0.788849518248075,0.1195017573814124,0.6404922760582714,0.9372067604378786,5,0.7813039226660317,0.6430369866187564,0.9493012568112872,5,0.41757051999416694,0.41757051999416694,0.31588357302345116,0.025412138613660484,0.8097289013746733,5,0.31730355875036526,0.10802162647444974,0.9320499207578642,5,0.7833646613533372,0.7833646613533372,0.12486903695099892,0.6283441297487672,0.9383851929579071,5,0.7750149429721168,0.630738693758642,0.952293188563943,5,0.1593135275287309,0.1593135275287309,0.02666189941040471,0.1262137141473685,0.1924133409100933,5,0.15763002542311938,0.1290827884018893,0.19249061181986052,5,0.11252643671777288,0.11252643671777288,0.08695246637256994,0.0045779981733651415,0.22047487526218063,5,0.07929279240403808,0.022287059447311082,0.282107513649067,5,0.1781350549443618,0.1781350549443618,0.034212721613566394,0.1356611605212352,0.2206089493674884,5,0.17533787619528382,0.13638334612659161,0.2254188044347918,5,0.38635372121084355,0.38635372121084355,0.062091639275881606,0.30926912791391925,0.46343831450776785,5,0.3827230737455096,0.3175962628795876,0.4612048953256909,5,0.4152590329583427,0.4152590329583427,0.059821726150261344,0.3409924572262366,0.4895256086904488,5,0.41171124714131896,0.3427259848242242,0.49458214004285617,5,0.3790556726934183,0.3790556726934183,0.054414533258642164,0.31150193736606513,0.4466094080207714,5,0.37616187499186565,0.31773528600737255,0.44533220711945964,5,0.5409408288379042,0.5409408288379042,0.15667229175851716,0.3464376713766796,0.7354439862991288,5,0.5257479539808849,0.38260993885042355,0.7224352612103628,5,8.631067835821312,8.631067835821312,4.012601892431229,3.6495632637447972,13.612572407897828,5,7.873596228905907,4.3109750774913635,14.380393405548636,5,0.5823827031575195,0.5823827031575195,0.125111069837127,0.4270616962102264,0.7377037101048126,5,0.5730447482950406,0.4502038990076039,0.7294034642356133,5,5.316215813274119e-05,5.316215813274119e-05,8.521951809826156e-06,4.258245373103115e-05,6.374186253445124e-05,5,5.263460162949434e-05,4.332746227689089e-05,6.39410005365855e-05,5,5.406654268278124e-06,5.406654268278124e-06,2.406941742846331e-06,2.4185204792452983e-06,8.39478805731095e-06,5,4.973462941092923e-06,2.7958988158112672e-06,8.847006009853538e-06,5,5.856881242764828e-05,5.856881242764828e-05,1.0787240136064837e-05,4.517683198741196e-05,7.196079286788461e-05,5,5.78032502506986e-05,4.6225245987834064e-05,7.228118895082258e-05,5,0.00731655610091887,0.00731655610091887,0.00043720850312833003,0.0067737770723307915,0.007859335129506947,5,0.007305962423417897,0.006778110161326679,0.007874921720355577,5,-3.804695479686443,-3.804695479686443,0.09636044198802238,-3.924323590124233,-3.6850673692486535,5,nan,nan,nan,0
10,0.8231095521719674,0.8231095521719674,0.0819620363222271,0.7213565575761115,0.9248625467678232,5,0.8198517935601924,0.7245277928765671,0.9277172939566931,5,0.35841034733885235,0.35841034733885235,0.3658824882901994,-0.09581993443874581,0.8126406291164505,5,nan,nan,nan,0,0.8204919540928175,0.8204919540928175,0.08389983660469794,0.7163332483834052,0.9246506598022298,5,0.8170489097273063,0.7192797797008283,0.9281074482091561,5,0.15539974597681583,0.15539974597681583,0.013084199921261901,0.13915617049212264,0.171643321461509,5,0.15494433984353356,0.13918396023100826,0.17248933289225254,5,0.14035774947315435,0.14035774947315435,0.07535654282567202,0.04680524347198778,0.23391025547432093,5,0.12520175246190923,0.06444333324349891,0.2432443827867105,5,0.18148304913685914,0.18148304913685914,0.014615936680030328,0.16333787616714873,0.19962822210656955,5,0.1810026019640714,0.16351796006303454,0.20035684095578654,5,0.3809644683912007,0.3809644683912007,0.04469476658174978,0.3254774826289581,0.4364514541534433,5,0.3790034581445949,0.3298942205723619,0.4354232730611103,5,0.430385609487501,0.430385609487501,0.09930130914445115,0.30710651557854923,0.5536647033964527,5,0.42141674669790635,0.3172603661676808,0.5597676020571227,5,0.35999267047295486,0.35999267047295486,0.03164865968629494,0.32070196903936526,0.39928337190654445,5,0.3588802695631482,0.32173363039223707,0.4003157758941744,5,0.5136817307973629,0.5136817307973629,0.13005865225018268,0.3522184737410192,0.6751449878537066,5,0.502027767801651,0.37595211667963785,0.6703829250113618,5,8.190043362352842,8.190043362352842,4.859899601161776,2.156648390206314,14.22343833449937,5,7.0734974609695955,3.3045472441758186,15.14106551768253,5,0.5691746597378123,0.5691746597378123,0.10951761513237866,0.4332123801172181,0.7051369393584066,5,0.5616313562737002,0.4503040560689097,0.7004817658172859,5,5.3230376377961455e-05,5.3230376377961455e-05,1.0577608140049287e-05,4.00986467113129e-05,6.636210604461001e-05,5,5.245209870818418e-05,4.15034519941412e-05,6.628900794279645e-05,5,5.981153937000272e-06,5.981153937000272e-06,2.643901682995714e-06,2.6988426898249653e-06,9.26346518417558e-06,5,5.576072912337653e-06,3.357508967785902e-06,9.26061238317693e-06,5,5.921153088610691e-05,5.921153088610691e-05,1.3124873478418682e-05,4.2917460606173444e-05,7.550560116604039e-05,5,5.8151705171674816e-05,4.49159391300059e-05,7.528776821487663e-05,5,0.0072255527208356955,0.0072255527208356955,0.000436048657251827,0.006684213600240385,0.007766891841431006,5,0.0072150479428386045,0.0066947208767041775,0.007775815866887537,5,-3.8445375992701605,-3.8445375992701605,0.10003503989864436,-3.9687275941866558,-3.720347604353665,5,nan,nan,nan,0
15,0.8375014144500457,0.8375014144500457,0.07692425994673024,0.7420026426055107,0.9330001862945806,5,0.8346531054356985,0.7441009545799435,0.9362248524552997,5,0.482220284595022,0.482220284595022,0.3028945622702303,0.10618730468431248,0.8582532645057315,5,0.3219472671619395,0.06300295435849236,1.645161625965401,5,0.8340804181769169,0.8340804181769169,0.07981721280735575,0.7349901467796376,0.9331706895741962,5,0.830974206435216,0.7366783248120189,0.9373400960817454,5,0.16735020411935864,0.16735020411935864,0.022033459591686125,0.1399964365049631,0.19470397173375417,5,0.16624701495642596,0.14198186057933185,0.1946591618756781,5,0.12170497450999058,0.12170497450999058,0.05049465943539706,0.05901762510776276,0.1843923239122184,5,0.11175467352199314,0.060983649396054974,0.20479435353068906,5,0.1764216340486114,0.1764216340486114,0.0107679885532816,0.16305355377346128,0.1897897143237615,5,0.17616115591008427,0.1633850329236044,0.18993632584501982,5,0.3685940576976813,0.3685940576976813,0.022392631412004052,0.34079439086052715,0.3963937245348354,5,0.3680424093386054,0.3410237594394831,0.39720169437579306,5,0.4446449745848108,0.4446449745848108,0.08814008794849611,0.33522214549058743,0.5540678036790341,5,0.4384474610992936,0.34974790051702664,0.5496421161077364,5,0.3683797759150139,0.3683797759150139,0.017550023303148494,0.3465920372685287,0.3901675145614991,5,0.36804310168751747,0.34679575783733757,0.390592219306509,5,0.5070067640969242,0.5070067640969242,0.12789876978330103,0.3482249254001277,0.6657886027937208,5,0.49562517665375133,0.37182417712197957,0.6606464314247023,5,7.8450376316295545,7.8450376316295545,4.659585294211434,2.060325848764199,13.62974941449491,5,6.883456143798128,3.4213524877729817,13.848900004580921,5,0.570711783190504,0.570711783190504,0.13062445498214956,0.40854610187884033,0.7328774645021676,5,0.5599527360230797,0.4298185523793883,0.7294870471365181,5,5.286645586378515e-05,5.286645586378515e-05,1.1731710259003408e-05,3.8301948877996736e-05,6.743096284957356e-05,5,5.190037261373668e-05,3.9930519304901346e-05,6.745839333760109e-05,5,5.664256338447488e-06,5.664256338447488e-06,2.4893448528794384e-06,2.5738219772703045e-06,8.754690699624673e-06,5,5.248676553991526e-06,3.0662460242508798e-06,8.984473310536396e-06,5,5.8530711788849795e-05,5.8530711788849795e-05,1.4056093943524957e-05,4.108056394904471e-05,7.598085962865488e-05,5,5.728014468978782e-05,4.313695032576634e-05,7.60604296526551e-05,5,0.007101074489381675,0.007101074489381675,0.0004347989690425486,0.006561286812885499,0.0076408621658778505,5,0.0070902297289648225,0.006564051871205348,0.007658586281138775,5,-3.8827603358488814,-3.8827603358488814,0.09643918972696187,-4.002486208843756,-3.763034462854007,5,nan,nan,nan,0
20,0.8420169557143311,0.8420169557143311,0.08521472520463316,0.7362258619066367,0.9478080495220255,5,0.8383696066998039,0.7352652450326825,0.9559320288649595,5,0.4651472623541196,0.4651472623541196,0.25990412087337805,0.14248540824035516,0.787809116467884,5,0.4069372958474232,0.19580892276036144,0.8457120360867236,5,0.8388288903520692,0.8388288903520692,0.08833423335948044,0.7291650365366318,0.9484927441675066,5,0.8348576113175786,0.7275855329055394,0.9579454231195953,5,0.18862598419967225,0.18862598419967225,0.02875160601083853,0.15293187333666952,0.22432009506267497,5,0.18700222288901003,0.15630140019028496,0.22373332115296407,5,0.24125992804579505,0.24125992804579505,0.07932260480061105,0.14278369514848055,0.33973616094310954,5,0.229829333598402,0.14743750753818757,0.358263805894876,5,0.22132846365737174,0.22132846365737174,0.021856975948829977,0.1941937942982611,0.24846313301648237,5,0.22049575872299848,0.1956628561919124,0.248480373644062,5,0.3571268046890008,0.3571268046890008,0.018169870723381984,0.33456954720145954,0.3796840621765421,5,0.356749729689001,0.3345910967181231,0.38037584048566137,5,0.349364531627443,0.349364531627443,0.05626912518006913,0.2795083854495764,0.41922067780530964,5,0.3458372963542349,0.28406183341176233,0.4210471857943531,5,0.33419303103684256,0.33419303103684256,0.01744558395309629,0.31253495018191924,0.3558511118917659,5,0.33382903319436846,0.312883834937122,0.356176353520732,5,0.49258864849298545,0.49258864849298545,0.10994246670269855,0.3560989305426644,0.6290783664433065,5,0.4842458158767068,0.37842784490972553,0.6196531606970842,5,7.537386298450855,7.537386298450855,6.887353379604511,-1.0130214593490408,16.08779405625075,5,5.909883451904676,2.4431786317850723,14.295607353760312,5,0.5778082801833927,0.5778082801833927,0.137986765798946,0.40650254810713693,0.7491140122596485,5,0.5659195404536983,0.4291544061624988,0.7462696914407472,5,5.290482717100531e-05,5.290482717100531e-05,1.2970703284062739e-05,3.680215378232854e-05,6.900750055968208e-05,5,5.1738567768735366e-05,3.8808441212873486e-05,6.89767306055068e-05,5,6.439181893649849e-06,6.439181893649849e-06,3.1957635468152913e-06,2.471753490208084e-06,1.0406610297091614e-05,5,5.628478843874092e-06,2.5828570714250603e-06,1.2265399602022618e-05,5,5.934400887781521e-05,5.934400887781521e-05,1.5202562068075869e-05,4.0470561055282464e-05,7.821745670034795e-05,5,5.789113669024547e-05,4.268405047253624e-05,7.851606560734042e-05,5,0.00707777720601378,0.00707777720601378,0.00046787900388056057,0.006496921826015585,0.007658632586011975,5,0.007065034247025898,0.00649600413009988,0.0076839096638445835,5,-3.9121812167534458,-3.9121812167534458,0.1030415131041305,-4.040103642750933,-3.7842587907559593,5,nan,nan,nan,0
25,0.8391566948484694,0.8391566948484694,0.09928417757382212,0.7158988691838397,0.9624145205130992,5,0.834028061589298,0.7127031846067258,0.9760063130659924,5,0.49637929271414816,0.49637929271414816,0.24910644563175569,0.18712237385832653,0.8056362115699698,5,0.42594349595465264,0.17893070941214015,1.0139559740311495,5,0.8354025995729539,0.8354025995729539,0.10347241950152856,0.7069452183901985,0.9638599807557093,5,0.8297667402196856,0.7032062185729078,0.9791051685692947,5,0.18413455938083645,0.18413455938083645,0.06363919891448941,0.10512872504830699,0.2631403937133659,5,0.17385763002760812,0.1058383311357275,0.28559100653291764,5,0.15099752034431377,0.15099752034431377,0.053578908378052056,0.0844811840101307,0.21751385667849682,5,0.14284508485799044,0.08902073384154074,0.22921309887657662,5,0.19757925571769047,0.19757925571769047,0.05960053178288484,0.12358728503785282,0.2715712263975281,5,0.1894863908067416,0.1248143053588275,0.28766808578345227,5,0.35759605572818254,0.35759605572818254,0.0292779273505683,0.3212485353741484,0.3939435760822167,5,0.3566648289481289,0.3228631054669139,0.3940053789194385,5,0.40679673050106296,0.40679673050106296,0.07548312927753593,0.3130870718578881,0.5005063891442378,5,0.40159083492584485,0.3225410067644633,0.5000145572628195,5,0.34991293019115505,0.34991293019115505,0.024746896265638557,0.3191905260761312,0.3806353343061789,5,0.3492391389537477,0.3206586862913085,0.38036698019261184,5,0.47490373219238197,0.47490373219238197,0.10037741412685425,0.35028869167482524,0.5995187727099387,5,0.46761693814144245,0.36961087861341485,0.5916102947432058,5,6.416506737030106,6.416506737030106,6.21492295075046,-1.2991022180133447,14.132115692073558,5,4.776310543097894,1.75274816738816,13.01564185236198,5,0.5518676578723503,0.5518676578723503,0.08414794862151424,0.44740092979259294,0.6563343859521076,5,0.54730382036081,0.45999879194741977,0.651178822695206,5,5.2442440809010384e-05,5.2442440809010384e-05,1.4550679433645474e-05,3.4378282422840026e-05,7.050659919518074e-05,5,5.0984617934293176e-05,3.6933927924855776e-05,7.038057991542474e-05,5,7.02677400165787e-06,7.02677400165787e-06,3.295178407079821e-06,2.9359255345725526e-06,1.1117622468743188e-05,5,6.3919503322572225e-06,3.4532165644320607e-06,1.1831586084367934e-05,5,5.946921452750058e-05,5.946921452750058e-05,1.7582322674603642e-05,3.764137734373397e-05,8.129705171126719e-05,5,5.7576339574388084e-05,4.0733364448954974e-05,8.1383772826806e-05,5,0.006970848411892922,0.006970848411892922,0.0004485063515948834,0.006414043500523668,0.007527653323262175,5,0.0069590064612657715,0.006414458297411145,0.007549783424031933,5,-3.926882960429559,-3.926882960429559,0.0953202935529868,-4.045219763051704,-3.808546157807414,5,nan,nan,nan,0
30,0.842548116189084,0.842548116189084,0.10492832784171269,0.7122832758445234,0.9728129565336445,5,0.8367464064936526,0.7076364258806027,0.9894128159227549,5,0.5321840387213467,0.5321840387213467,0.23150226750477332,0.24478208982719185,0.8195859876155015,5,0.48146538564645913,0.24546603116716295,0.94436251107116,5,0.8400650544486812,0.8400650544486812,0.10821039498842046,0.705725642807121,0.9744044660902413,5,0.8338456058845373,0.700662789082562,0.9923439710040335,5,0.19762987674333057,0.19762987674333057,0.06934372517018784,0.1115420730587221,0.28371768042793905,5,0.18925747682830182,0.1272831448235843,0.2814071932702468,5,0.15670709605588404,0.15670709605588404,0.043174129905526916,0.10310792741533498,0.2103062646964331,5,0.15152562845235065,0.10457367279751548,0.2195582833007785,5,0.21394513805971802,0.21394513805971802,0.06390686469486821,0.134607006044914,0.29328327007452204,5,0.2076266427931131,0.15001483157764572,0.28736373826628214,5,0.35506184097252175,0.35506184097252175,0.03274804089470699,0.3144062963117758,0.3957173856332677,5,0.3539189659228876,0.3170639171926805,0.3950579919310279,5,0.38300431656705747,0.38300431656705747,0.044798104714070815,0.32738904013645875,0.4386195929976562,5,0.38105294996386646,0.3319680951280745,0.43739549916730913,5,0.35130398079674274,0.35130398079674274,0.017437019907356716,0.3296565319043592,0.3729514296891263,5,0.3509504159774517,0.3296448018485184,0.3736330552888405,5,0.5183119583907076,0.5183119583907076,0.12882770502695848,0.3583768791563509,0.6782470376250644,5,0.5063687569309793,0.37662830798884017,0.6808020336151225,5,5.178842636351282,5.178842636351282,4.2544495376921185,-0.10290730840612472,10.460592581108688,5,3.5838616862552186,0.9912212137490685,12.95781850514312,5,0.5732476726366204,0.5732476726366204,0.10289792518059672,0.4455035060121675,0.7009918392610732,5,0.5664938109606587,0.45950174656202764,0.698398298282443,5,5.407173948417318e-05,5.407173948417318e-05,1.6748444535936266e-05,3.3279132774718416e-05,7.486434619362794e-05,5,5.2243415994591274e-05,3.6667145717877346e-05,7.443651425131756e-05,5,7.822607545379539e-06,7.822607545379539e-06,5.0907378272459465e-06,1.5026350084819767e-06,1.41425800822771e-05,5,6.583195880493809e-06,2.898678552996787e-06,1.4951112104564116e-05,5,6.189434680261633e-05,6.189434680261633e-05,2.1671484110909512e-05,3.498995905714563e-05,8.879873454808703e-05,5,5.924205587747152e-05,3.9757297364578035e-05,8.827615097691155e-05,5,0.006900127092585151,0.006900127092585151,0.00044801263186110474,0.006343935116956117,0.0074563190682141855,5,0.0068883243746298665,0.006349011895772474,0.007473448383631812,5,-3.931371703514686,-3.931371703514686,0.08313830582753298,-4.034584995462674,-3.8281584115666987,5,nan,nan,nan,0
35,0.8425730275036969,0.8425730275036969,0.12204418790341208,0.6910594469556279,0.9940866080517659,5,0.8344525444959919,0.6831188697067483,1.0193116892155978,5,0.4901903989939,0.4901903989939,0.28241130209091175,0.13958666847540563,0.8407941295123944,5,0.36910706943970395,0.10146558489752414,1.3427215626654398,5,0.8390360777506503,0.8390360777506503,0.12587460177134294,0.6827671726756117,0.9953049828256888,5,0.8303158612467103,0.6743021624599633,1.0224265437956397,5,0.19485188249332108,0.19485188249332108,0.06368287097248601,0.11579183083188281,0.27391193415475934,5,0.1861608640091304,0.12119688349860251,0.28594685183489515,5,0.21140477422276494,0.21140477422276494,0.05080252415849539,0.14833522156020665,0.27447432688532325,5,0.20535116925191413,0.14409729041428815,0.2926432731100609,5,0.21374544472477064,0.21374544472477064,0.05446653305551472,0.14612715347265548,0.2813637359768858,5,0.20813299310692107,0.15065858862208253,0.2875331782664543,5,0.351388238362801,0.351388238362801,0.032428563592336264,0.311129313572428,0.39164716315317394,5,0.3502371368431714,0.31330919058846,0.3915175670196905,5,0.3907399378460964,0.3907399378460964,0.08701386346886397,0.28271527695915377,0.498764598733039,5,0.3838387535310792,0.297355302021903,0.4954752368983828,5,0.34081443987563803,0.34081443987563803,0.026923925925309858,0.3073893297623802,0.37423954998889586,5,0.33999398250639107,0.30901633047877963,0.37407702033564283,5,0.4770909272805731,0.4770909272805731,0.09921382430717611,0.35392044272997686,0.6002614118311693,5,0.46958947382686916,0.368731734598839,0.598034433268685,5,6.947017196341948,6.947017196341948,6.991571183363376,-1.7327733110638377,15.626807703747733,5,4.6399749005911195,1.2662108757295931,17.00298701486852,5,0.5598619166778528,0.5598619166778528,0.08345884285939877,0.45625068924247725,0.6634731441132283,5,0.5552723853444117,0.4662671212513747,0.661267775215587,5,5.2359293232047305e-05,5.2359293232047305e-05,1.8159249013958095e-05,2.9815222224370434e-05,7.490336423972418e-05,5,5.017190341078376e-05,3.386252036958013e-05,7.433646002683016e-05,5,7.246307586858446e-06,7.246307586858446e-06,4.188424353545767e-06,2.0465255934489264e-06,1.2446089580267965e-05,5,6.390789968474126e-06,3.222405954666168e-06,1.2674441704655007e-05,5,5.960560085021336e-05,5.960560085021336e-05,2.102717597742473e-05,3.350109906373467e-05,8.571010263669205e-05,5,5.690997534247945e-05,3.762216749637866e-05,8.608608990413342e-05,5,0.006878755835475536,0.006878755835475536,0.0005195453777012943,0.006233758463744726,0.007523753207206347,5,0.006862858675020043,0.006242427371604234,0.007544954292546935,5,-3.953982116442461,-3.953982116442461,0.0778767506972903,-4.050663372160546,-3.857300860724376,5,nan,nan,nan,0
