epoch,train_loss,val_loss,train_rmse_e_atom,val_rmse_e_atom
0,-3.593975902520693,-3.13348748087883,0.00766515245675915,0.01525474761847794
5,-3.6760299196610084,-3.115600037574768,0.007210260917678837,0.01643107365555394
10,-3.712137709214137,-3.036904811859131,0.00706988823189614,0.016536121907841955
15,-3.7476292435939493,-3.176996612548828,0.0070272592789937085,0.016661637316965513
20,-3.7868239146012526,-3.2566538572311403,0.007076862728233764,0.01681005707782135
25,-3.799562276326693,-3.5279685258865356,0.006923585758973096,0.016316853219180416
30,-3.8112290437404925,-3.5679321765899656,0.006906710139541224,0.016428181275037694
35,-3.8408641705146205,-3.6174532413482665,0.006840463858470342,0.01622087758445279
40,-3.8591839643625114,-3.661239331960678,0.00680806982446419,0.016217577318448365
45,-3.8655303606620204,-3.671126979589462,0.006796803304351446,0.016168048291864374
50,-3.871706018081078,-3.6564728796482084,0.0067496247852949064,0.016106501149852296
55,-3.8967168184427114,-3.667618042230606,0.006726702179247061,0.01604181356789829
60,-3.9127313714761,-3.6883136332035065,0.006802348259204494,0.016157128900651848
65,-3.9020307770142186,-3.6599303066730497,0.006884402173402354,0.01624344609617223
70,-3.9232390202008762,-3.694905549287796,0.006678637795545137,0.01586721298541131
75,-3.941122396175678,-3.6804975509643554,0.0066749349614353345,0.015922304013595935
80,-3.9511880177717944,-3.722961837053299,0.006668952009325586,0.015937601017865566
85,-3.9512360095977783,-3.695660728216171,0.006725418850269677,0.01606455610120518
90,-3.936776660955869,-3.6683749496936797,0.006663524243794359,0.01595672864521959
95,-3.9112142379467305,-3.6159363090991974,0.006909195992486062,0.016353626309048405
