phase,source_epoch,epoch,pearson_aleatoric,pearson_epistemic,pearson_total,spearman_aleatoric,spearman_epistemic,spearman_total,ause_aleatoric,ause_epistemic,ause_total,ence_aleatoric,ence_epistemic,ence_total,magnitude_aleatoric,magnitude_epistemic,magnitude_total,rmse_e_atom,nll_energy
pretrain,0,0,0.3573394852484521,0.3736773576145632,0.3825310672801153,0.5799046195648511,0.4245732792937111,0.5642145721307553,0.09028017011629752,0.1207258239790254,0.091751234722374,109.01051112152496,633.5546676885635,87.2418810457632,0.0128259564031614,0.003675051412718312,0.016501007828116417,0.9380554595092835,43.46485933039188
pretrain,5,5,0.24281276276582955,0.24495167306420654,0.24653420671308351,0.4919710729426402,0.39424209804475885,0.47971444545032854,0.09820743306193394,0.11559339200400623,0.09830273942788362,1775.8578640303244,5866.951096064335,1290.9366386065306,0.003282717798372323,0.0011259625509146645,0.004408680365787586,0.9390732387818902,651.2368605972886
pretrain,10,10,0.2548985412052832,0.24622107003365618,0.2606676079690001,0.46783065310212435,0.3834999902334155,0.45634999683326005,0.10031929192983176,0.118294703731066,0.10147019142436946,2778.6453192721424,9043.00107189305,2013.2178498073822,0.0013212194421306776,0.0003073097527175378,0.0016285291932596011,0.9367717299452125,1016.4132299440622
pretrain,15,15,0.2196934515280795,0.27319445322366287,0.23548630866982007,0.43045281991308953,0.3575293322919478,0.4159106656166135,0.10703286586379603,0.12597289755990534,0.10959988835182322,3255.1596252540685,8448.421996681067,2206.2591666293397,0.0013497826281040034,0.0003416597801877288,0.001691442402766552,0.9371145649925664,1113.8375958359004
pretrain,20,20,0.19279721781310957,0.2775295347090029,0.21092283090003597,0.43126116589142355,0.4415952209853068,0.4513992358592721,0.10630009334962694,0.10639907229082204,0.10146661598487441,4493.588095021836,12745.07515142614,3108.814828174569,0.0008973554866624909,0.000218711499381061,0.0011160669844473886,0.9381524854235512,1573.710740362978
pretrain,25,25,0.2082092907462373,0.24283817882969047,0.23039986619612052,0.40246974572630173,0.3512223773128512,0.3922387240492748,0.1104627704575285,0.12805174942037062,0.11329805756072904,5230.922163487162,13402.569649894087,3536.4204065256095,0.0010211479138884897,0.00037624215612977425,0.0013973900728000445,0.9359757974738603,1789.2012190149785
pretrain,30,30,0.18817616605798385,0.23274203846622357,0.20149455294908541,0.3924486295951844,0.39317415542289263,0.4154937328523912,0.11260970719213671,0.11845314557834223,0.10559306358532153,5154.330735928713,9602.17980148955,3105.7120561698403,0.0011345669551206812,0.0003515021023358713,0.0014860690583496762,0.935597844609699,1568.638422295332
pretrain,35,35,0.1524981249167094,0.22719956447341175,0.16789191233048142,0.4029242839814152,0.34541419748785784,0.39513577554884377,0.10869717050742148,0.13595501401416893,0.11440608892923818,6524.255103372135,15678.57153384458,4328.779035480559,0.0007524305125682076,0.00017986442658248053,0.0009322949399444042,0.9354822428602982,2190.808094962096
pretrain,40,40,0.22680686155892896,0.32984923592313214,0.23275865630310363,0.40910805085642094,0.4402634176778787,0.43438538798939585,0.10872709264614253,0.10849451929839059,0.10430575976521508,7249.741188895376,17255.083825917412,4801.766327263454,0.0015440621941323115,0.00016680928168839274,0.0017108714782778406,0.9362914344209754,2433.0486230166434
pretrain,45,45,0.18261300987982657,0.20120224739634573,0.18489434195491897,0.40613564834303345,0.39830784671170627,0.4152020166050661,0.10823287260678587,0.12186083578701772,0.10934044552805168,6521.685725304787,15416.989768272118,4313.712542566509,0.00327546003805237,0.0004563807460054022,0.003731840805499087,0.9361170969662076,2185.4759068445446
pretrain,50,50,0.10889183894131432,0.1810079660449241,0.12167159620886714,0.38909598365586906,0.35291758837255777,0.3862480756922033,0.11136298775234663,0.1288351379249787,0.11371849056577298,8014.654801490166,18613.825736698494,5298.767194702833,0.0005677968475201851,0.00013456010572820105,0.0007023569559325551,0.9358864251539356,2681.9316130306006
pretrain,55,55,0.09781737185404618,0.1351410651557665,0.10691793735524732,0.37604244380776886,0.39864459623232307,0.3954557358720798,0.11351642365355052,0.11686879388787429,0.11103867183966448,7918.757395331312,14570.461431706237,4849.022013160981,0.0005531761859245307,0.00014956793664541693,0.0007027441201858892,0.934129019353533,2454.523237212491
